amino_acid	enzyme
ala__L_c	generic_ala_ligase
arg__L_c	generic_arg_ligase
asn__L_c	CPLX_dummy
asp__L_c	generic_asp_ligase
cys__L_c	generic_cys_ligase
gln__L_c	CPLX_dummy
glu__L_c	generic_glu_ligase
gly_c	CPLX1W2W-3
his__L_c	generic_his_ligase
ile__L_c	generic_ile_ligase
leu__L_c	generic_leu_ligase
lys__L_c	generic_lys_ligase
met__L_c	generic_met_ligase
phe__L_c	CPLX1W2W-4
pro__L_c	generic_pro_ligase
ser__L_c	generic_ser_ligase
thr__L_c	generic_thr_ligase
trp__L_c	generic_trp_ligase
tyr__L_c	generic_tyr_ligase
val__L_c	generic_val_ligase
