complex_id,name,genes,mod,replace
CPLX_ACCOAC-0,acetyl-CoA carboxylase,ZMO0583() AND ZMO0599() AND ZMO0735() AND ZMO0736(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,ZMO1139() AND ZMO1140(),,
CPLX_ACHBS-1,2-aceto-2-hydroxybutanoate synthase,ZMO0687() AND ZMO1140(),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,ZMO1279() AND ZMO1899(),,
CPLX_ACPPAT120-0,acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),ZMO1279() AND ZMO1900(),,
CPLX_ADCS-0,4-amino-4-deoxychorismate synthase,ZMO0114() AND ZMO0113(),,
CPLX_ANS-0,anthranilate synthase,ZMO0201() AND ZMO0468(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),ZMO0671() AND ZMO0669() AND ZMO0668() AND ZMO0667() AND ZMO0242() AND ZMO0241() AND ZMO0240() AND ZMO0239() AND ZMO0238(),,
CPLX_BUTSO3abcpp-0,butanesulfonate transport via ABC system (periplasm),ZMO1262(2) AND ZMO1263(2) AND ZMO1261(),,
CPLX_CYOR_Q10-0,cytochrome c reductase,ZMO0956() AND ZMO0957() AND ZMO0958(),,
CPLX_CYTBDpp_Q10-0,cytochrome oxidase bd (ubiquinol-10: 2 protons) (periplasm),ZMO1571() AND ZMO1572(),,
CPLX_FADRx2-0,FAD reductase,ZMO0008() AND ZMO0009(),,
CPLX_FLDR2-0,flavodoxin reductase (NADPH),ZMO1753() AND ZMO1851(),,
CPLX_GLUSy-0,glutamate synthase (NADPH),ZMO1116() AND ZMO1117(),,
CPLX_GLYTRS-0,Glycyl-tRNA synthetase,ZMO1444(2) AND ZMO1446(2),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,ZMO1500(1) AND ZMO1502(1),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,ZMO0105() AND ZMO0106(),,
CPLX_K2L4Aabctex-0,KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular),ZMO0276() AND ZMO0275() AND ZMO0277() AND ZMO1393() AND ZMO1394(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,ZMO1223() AND ZMO1279(),,
CPLX_MECDPDH5-0,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",ZMO0180() AND ZMO1851(),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,ZMO0998() AND ZMO1097(),,
CPLX_NIT1b-0,nitrogenase,ZMO1823() AND ZMO1824() AND ZMO1825(),,
CPLX_OBTFL-0,2-Oxobutanoate formate lyase,ZMO1569() AND ZMO1570(),,
CPLX_PAPSR-0,phosphoadenylyl-sulfate reductase (thioredoxin),ZMO0007() AND ZMO1097(),,
CPLX_PAPSR2-0,phosphoadenylyl-sulfate reductase (glutaredoxin),ZMO0007() AND ZMO0573(),,
CPLX_PAPSR2-1,phosphoadenylyl-sulfate reductase (glutaredoxin),ZMO0007() AND ZMO1873(),,
CPLX_PAPSR2-2,phosphoadenylyl-sulfate reductase (glutaredoxin),ZMO0007() AND ZMO0753(),,
CPLX_PDH-0,pyruvate dehydrogenase,ZMO1605() AND ZMO1606() AND ZMO0510() AND ZMO0512(),,
CPLX_PDX5PS-0,Pyridoxine 5'-phosphate synthase,ZMO1313() AND ZMO1708(),,
CPLX_PEPTIDOr_ZM-0,Peptidoglycan reaction,ZMO0197() AND ZMO0359() AND ZMO0719() AND ZMO0825() AND ZMO1089() AND ZMO1639(),,
CPLX_PHETRS-0,Phenylalanyl-tRNA synthetase,ZMO1513(2) AND ZMO1514(2),,
CPLX_PIuabcpp-0,"phosphate transport via ABC system (uptake, periplasm)",ZMO1050(2) AND ZMO1047(1) AND ZMO1049(1) AND ZMO1048(1),,
CPLX_PRFGS-0,phosphoribosylformylglycinamidine synthase,ZMO1531() AND ZMO1532() AND ZMO0820(),,
CPLX_RNDR1b-0,ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),ZMO0443() AND ZMO0573() AND ZMO1039(),,
CPLX_RNDR1b-1,ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),ZMO0443() AND ZMO0753() AND ZMO1039(),,
CPLX_RNDR1b-2,ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),ZMO0443() AND ZMO1039() AND ZMO1873(),,
CPLX_RNTR1c2-0,ribonucleoside-triphosphate reductase (ATP) (flavodoxin),ZMO1025() AND ZMO1851(),,
CPLX_S2FE2SR-0,SUF [2Fe-2S] regeneration,ZMO1067() AND ZMO0427() AND ZMO0423() AND ZMO0425() AND ZMO0426(),,
CPLX_S2FE2SS-0,SUF [2Fe-2S] Synthesis,ZMO1067() AND ZMO0427() AND ZMO0422() AND ZMO0423() AND ZMO0425() AND ZMO0426(),,
CPLX_S2FE2ST-0,SUF [2Fe-2S] Transfer,ZMO0429() AND ZMO0423() AND ZMO0425() AND ZMO0426(),,
CPLX_S4FE4SR-0,SUF [4Fe-4S] Reduction,ZMO0423() AND ZMO0425() AND ZMO0426(),,
CPLX_SADT2-0,Sulfate adenyltransferase,ZMO0004() AND ZMO0005(),,
CPLX_SCYSDS-0,SUF Cysteine desulfuration,ZMO1067() AND ZMO0427(),,
CPLX_SUCOAS-0,succinyl-CoA synthetase (ADP-forming),ZMO1481(2) AND ZMO0567(2),,
CPLX_TRDR-0,thioredoxin reductase (NADPH),ZMO1097() AND ZMO1142(),,
CPLX_TRPS1-0,tryptophan synthase (indoleglycerol phosphate),ZMO0584(2) AND ZMO0585(2),,
CPLX_PROTEINr_ZM-0,Protein reaction,ZMO0890() AND ZMO1508() AND ZMO0900() AND ZMO0186() AND ZMO0323() AND ZMO0460() AND ZMO0715() AND ZMO0765() AND ZMO0843() AND ZMO0845() AND ZMO0986() AND ZMO1092() AND ZMO1435() AND ZMO1444() AND ZMO1446() AND ZMO1513() AND ZMO1514() AND ZMO1640() AND ZMO1643() AND ZMO1878() AND ZMO1964(),,
