Transcription-Units	Genes of transcription unit	Direction
TU0-13962	EG11400	-
TU00326	EG10776 // EG10777 // EG10778 // EG10779 // EG10780	+
TU871	EG10812	+
TU0-13623	EG12133	-
TU0-13134	EG11118	+
TU0-1188	EG30075 // EG30082 // EG30035 // EG30089	-
TU-8439	G495	+
TU0-14375	EG11263 // G7701	-
TU0-2581	EG10306	-
TU0-12804	EG11571	+
TU0-7581	EG10747	-
TU0-45190	G0-10617 // EG11754 // G0-9941	+
TU0-1981	EG11391	+
TU0-3364	EG30071 // EG30078 // EG30032 // EG30085	+
TU0-13172	EG11393	-
TU0-4522	EG12630	-
TU0-8730	G7164	+
TU0-8044	EG12162	-
TU0-45160	EG10215 // G0-10651	-
TU0-8245	EG11136	+
TU0-8765	EG11692	+
TU0-13204	EG11528	-
TU0-13538	EG11289 // G7145	+
TU0-13574	G7176	+
TU0-13141	G6575 // G6574 // G6573	+
TU0-8804	EG10406	-
TU00277	EG11506 // EG11507	-
TU00305	EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059 // EG12060 // EG12061 // EG12062 // EG12064 // EG12067 // EG12143 // EG12068	-
TU00242	EG10087	-
TU0-14317	EG11985 // EG11984 // EG11983	-
TU0-7681	G6820 // G6821 // EG11634	-
TU0-13603	G7227 // G7226 // G7225 // G7224 // G7223	-
TU793	EG12615	-
TU0-14352	G6890	+
TU0-14272	EG10859	-
TU0-13977	EG12269	-
TU0-8736	G7256	+
TU0-1241	EG11616	+
TU0-1062	EG11297	+
TU0-3	EG10163 // EG10020	-
TU592	EG12281 // EG12287 // EG12286 // EG12285 // EG12284 // EG12283 // EG12282 // EG12280 // EG12279	+
TU0-2342	EG10944	-
TU0-13546	EG11646 // EG12033	-
TU0-45202	EG10843 // EG10842	+
TU0-45174	EG11886 // EG11885	+
TU0-13184	G6632	-
TU0-13935	EG10088	-
TU0-13154	EG10573	+
TU00248	EG12198 // EG10144 // EG10143 // EG10142 // EG10141 // EG10140	-
TU0-8148	G6764	-
TU0-7803	G6881	+
TU0-8781	EG10202	+
TU-8398	EG12146 // EG11682 // EG11681 // EG10898 // EG11680	+
TU0-8748	G7488	-
TU0-14282	G7033	+
TU0-13586	G7192	-
TU0-13558	EG12049 // EG12043	+
TU00289	G7554 // EG11805 // EG11804 // EG11803 // EG11802 // EG11801 // EG11800 // EG11799	-
TU0-1603	G6347	-
TU00260	G0-8893 // EG10241 // EG10240	+
TU641	EG10084	-
TU0-14332	G0-10574	+
TU0-14299	EG11078	+
TU864	EG11734	+
TU0-44225	EG10505	-
TU701	EG10773 // EG10772 // EG10771	+
TU0-13943	EG12214	+
TU0-1183	EG30072 // EG30079 // EG30033 // EG30086	+
TU0-13956	EG12232	+
TU0-2504	EG11013	+
TU0-13118	G6536 // G6535	+
TU-8433	EG11263 // G7701	-
TU-8411	G379 // G378 // G377 // EG11656 // EG11654 // EG11347	+
TU0-45186	G6492 // G6491 // G6490	+
TU0-1902	G7679	+
TU0-13168	G0-10444	+
TU0-7262	EG11598 // EG11597 // EG11666 // EG11596	+
TU0-45153	G7571	-
TU0-1761	EG10680	+
TU0-7962	G6628	+
TU0-13136	G6568 // G6567 // G6566 // G6565 // G6564 // EG12172	+
TU0-8761	G7679	+
TU0-8714	G6980	+
TU0-7602	G6274	-
TU0-4482	EG13236 // EG13235	+
TU0-13570	G7172	-
TU0-8732	G7180	-
TU00273	G358 // G359 // G360 // G361 // G362 // G363 // G364 // G365 // G366	+
TU0-13519	EG10586	+
TU0-13541	EG12105	-
TU0-13124	EG12689	+
TU0-14313	EG11816 // G7423	-
TU00244	EG11617 // EG11618	+
TU789	G6852	-
TU00226	EG11286	-
TU0-14274	EG11605	-
TU0-7342	EG12100	+
TU0-13972	EG12265 // EG12264 // EG12263	+
TU601	EG10890 // EG11119	+
TU0-1021	EG11539	+
TU0-14244	G0-8891	+
TU0-13937	G7757	-
TU0-8720	G7048	+
TU0-2101	G6447 // EG10852 // EG11261 // EG12842	+
TU-8401	EG12051	-
TU0-45170	EG12957	-
TU526	EG10493 // EG10496 // EG10497	+
TU0-1701	G6855	+
TU0-13526	EG12007 // EG12006	-
TU0-13150	G6589	-
TU0-4441	EG12450 // G7413	+
TU0-7781	G7667	+
TU0-13918	G7717 // EG20110 // G0-10466	-
TU0-13120	G6541 // G6540	+
TU00232	EG10217	-
TU0-8744	G7359	-
TU0-7282	EG11604	-
TU0-13554	EG11419	-
TU0-1482	EG10274	-
TU0-8716	EG12861	+
TU0-14252	EG11003	+
TU00256	EG10658 // EG10205	-
TU0-13522	G0-10458	+
TU0-14294	EG12386	+
TU0-44209	G7901	+
TU00228	EG12631 // EG12629	-
TU561	G6492 // G6491 // G6490	+
TU684	G7022 // G7023	-
TU0-14246	G6335	+
TU0-13951	EG11525	+
TU0-13102	G6500	-
TU542	EG11073	+
TU0-13925	G7735 // G7734	-
TU-8427	EG10644 // EG10645	-
TU0-13920	EG12365	+
TU0-1821	EG12367 // G6322 // G6321 // G6320	+
TU0-7021	G6456 // G6457	-
TU-8382	EG11241	-
TU-8387	EG12658 // G7575	+
TU0-45145	G6749 // G0-10451	+
TU0-14821	EG10258	-
TU0-13132	G6561	+
TU0-8697	G6673	-
TU0-44210	EG13159	-
TU0-1541	EG11034	+
TU0-7541	EG11610 // EG11609	+
TU0-13104	EG12876	-
TU0-8728	EG12881	+
TU0-13502	G0-8884	+
TU0-7043	EG11064	+
TU0-44214	EG10129	-
TU0-13535	EG12024 // EG12023	+
TU0-8699	G6701	-
TU00240	EG11627 // EG11626 // EG11625 // EG11624	-
TU00209	EG11221	-
TU0-13504	G7117	+
TU0-13108	G6508	-
TU0-14264	EG11879	-
TU00211	EG10958	-
TU586	EG12243 // EG50009	-
TU0-14226	EG10950	+
TU0-14228	EG10922	-
TU0-7141	EG11508 // G6776	-
TU0-13933	EG11750	+
TU487	EG10467	+
TU-8396	G7644	+
TU484	EG10247 // EG10693	-
TU0-13902	G7689	-
TU0-8703	G6769	-
TU0-1582	EG10166	+
TU0-14798	EG11014 // EG10943	-
TU0-44223	G0-10695	+
TU0-13900	G7684	-
TU0-44195	EG11401	+
TU0-13509	G7132 // G7131 // G7130	+
TU0-13116	EG11735 // G6527	+
TU0-13086	G6470	+
TU0-7202	G7336 // G7335 // G7334 // M015 // M009	+
TU0-14795	G0-10677	+
TU0-6881	EG10499 // EG10500	+
TU00215	EG10278 // EG10279	-
TU0-8712	G6975	+
TU0-8682	G6532	+
TU0-13517	EG11991	-
TU0-44193	EG10128	-
TU0-13486	EG11891	-
TU0-14232	EG11292	+
TU00224	EG10944	-
TU00195	EG10742	-
TU0-14242	G6747	-
TU0-13084	G6468	-
TU0-14211	G7944	-
TU491	EG11072	+
TU524	G0-10641 // G8221 // EG10493 // EG10496 // EG10497 // EG10501 // EG11270	+
TU4	G6708	-
TU0-13915	G7715 // G7714 // G7713 // G7712	-
TU0-6843	G7920 // G7921	-
TU0-13886	EG10656	+
TU0-13906	G7694	+
TU0-14818	EG10282 // EG10703	-
TU0-14769	G0-10654	-
TU0-44207	G6718	+
TU0-8680	G6499	+
TU0-42696	EG10234	+
TU0-14803	G6120 // G6121 // G0-10432 // G6122 // G6123 // G6124 // G6125	-
TU0-13100	G6497	-
TU0-13070	G0-8880	-
TU0-7001	EG10369	-
TU0-13484	G0-10456	+
TU0-6652	EG10634	-
TU0-44199	G7727	+
TU0-8695	G6658	-
TU0-8663	G7864	-
TU0-13500	EG11361	-
TU00193	EG10615 // EG10616 // EG11965	+
TU0-13467	G7057 // G7056	-
TU0-13090	EG11253	+
TU00207	G7103 // G7104 // G7105 // G7106 // G7107	-
TU00179	EG11575 // EG11576 // EG11577 // EG11226 // EG11280	-
TU0-14224	EG10945	+
TU0-1421	EG11636	+
TU0-14194	G7916	-
TU0-6886	EG11286	-
