amino_acid	enzyme
ala__L_c	Ala_RS_tetra_mod_zn2(4)
arg__L_c	ArgS_mono_mod_mg2(1)
asn__L_c	Asn_RS_dim
asp__L_c	Asp_RS_dim
cys__L_c	CysS_mono_mod_zn2(1)
gln__L_c	GlnS_mono
glu__L_c	GltX_mono_mod_mg2(1)_mod_zn2(1)
gly_c	Gly_RS_tetra
his__L_c	His_RS_dim_mod_mg2(4)
ile__L_c	IleS_mono_mod_zn2(2)
leu__L_c	LeuS_mono
lys__L_c	generic_LYSINEaaRS
met__L_c	Met_RS_dim_mod_zn2(2)
phe__L_c	Phe_RS_tetra_mod_mg2(1)
pro__L_c	Pro_RS_dim
ser__L_c	Ser_RS_dim_mod_mg2(1)
thr__L_c	Thr_RS_dim_mod_zn2(1)
trp__L_c	Trp_RS_dim_mod_mg2(1)
tyr__L_c	Tyr_RS_dim
val__L_c	ValS_mono_mod_mg2(1)
