,chaperone
b0008,DnaK
b0014,GroEL
b0015,GroEL
b0032,DnaK
b0033,DnaK
b0059,DnaK
b0061,GroEL
b0062,GroEL
b0064,GroEL
b0095,DnaK
b0114,DnaK
b0115,DnaK
b0116,GroEL
b0118,DnaK
b0130,GroEL
b0134,GroEL
b0143,GroEL
b0144,GroEL
b0167,GroEL
b0170,GroEL
b0172,GroEL
b0185,GroEL
b0194,DnaK
b0209,GroEL
b0369,GroEL
b0404,GroEL
b0438,DnaK
b0439,DnaK
b0593,GroEL
b0607,GroEL
b0628,GroEL
b0642,DnaK
b0660,GroEL
b0680,DnaK
b0726,DnaK
b0727,GroEL
b0728,DnaK
b0755,DnaK
b0782,GroEL
b0783,GroEL
b0797,GroEL
b0870,GroEL
b0893,DnaK
b0902,GroEL
b0903,DnaK
b0929,GroEL
b0930,DnaK
b0932,DnaK
b0957,GroEL
b1014,DnaK
b1062,GroEL
b1095,DnaK
b1107,GroEL
b1109,GroEL
b1114,DnaK
b1136,DnaK
b1175,DnaK
b1189,GroEL
b1190,GroEL
b1215,GroEL
b1224,DnaK
b1241,DnaK
b1243,GroEL
b1275,DnaK
b1398,GroEL
b1479,DnaK
b1612,DnaK
b1614,DnaK
b1676,DnaK
b1713,DnaK
b1718,GroEL
b1719,DnaK
b1748,GroEL
b1779,DnaK
b1831,GroEL
b1945,DnaK
b2029,DnaK
b2036,DnaK
b2096,GroEL
b2097,GroEL
b2114,DnaK
b2140,GroEL
b2149,GroEL
b2155,GroEL
b2231,DnaK
b2234,DnaK
b2284,DnaK
b2285,GroEL
b2286,GroEL
b2287,DnaK
b2296,GroEL
b2297,DnaK
b2435,GroEL
b2441,GroEL
b2463,DnaK
b2478,GroEL
b2507,DnaK
b2508,DnaK
b2533,GroEL
b2551,GroEL
b2557,DnaK
b2607,GroEL
b2608,GroEL
b2614,GroEL
b2620,GroEL
b2697,DnaK
b2699,DnaK
b2764,DnaK
b2780,DnaK
b2830,GroEL
b2834,GroEL
b2913,DnaK
b2916,GroEL
b2925,DnaK
b2926,DnaK
b2935,DnaK
b2942,GroEL
b3067,DnaK
b3162,GroEL
b3189,DnaK
b3212,DnaK
b3256,GroEL
b3260,GroEL
b3295,DnaK
b3339,DnaK
b3340,DnaK
b3357,GroEL
b3384,DnaK
b3390,GroEL
b3405,GroEL
b3433,GroEL
b3607,GroEL
b3650,GroEL
b3651,GroEL
b3686,DnaK
b3687,DnaK
b3708,DnaK
b3725,GroEL
b3741,GroEL
b3744,DnaK
b3775,GroEL
b3780,GroEL
b3783,DnaK
b3829,DnaK
b3831,DnaK
b3845,GroEL
b3847,GroEL
b3850,GroEL
b3865,GroEL
b3870,DnaK
b3893,DnaK
b3931,DnaK
b3941,GroEL
b3942,DnaK
b3957,GroEL
b3962,GroEL
b3980,DnaK
b3987,DnaK
b3988,DnaK
b3990,GroEL
b3991,GroEL
b3993,GroEL
b3997,GroEL
b4019,DnaK
b4039,GroEL
b4129,DnaK
b4131,DnaK
b4147,DnaK
b4154,GroEL
b4177,DnaK
b4232,DnaK
b4239,DnaK
b4258,DnaK
b4260,DnaK
b4375,DnaK
b4381,GroEL
b4382,DnaK
b4383,DnaK
b4384,DnaK
b4391,DnaK
