reaction,keff,complex,mods
12DGR120tipp,65,CPLX_dummy,
12DGR140tipp,65,CPLX_dummy,
12DGR141tipp,65,CPLX_dummy,
12DGR160tipp,65,CPLX_dummy,
12DGR161tipp,65,CPLX_dummy,
12DGR180tipp,65,CPLX_dummy,
12DGR181tipp,65,CPLX_dummy,
12PPDRtex,34.19401863135169,G6700-MONOMER,
12PPDRtpp,65,CPLX_dummy,
12PPDStex,34.19401863135169,G6700-MONOMER,
12PPDStpp,65,CPLX_dummy,
14GLUCANabcpp,117.90076757745126,ABC-16-CPLX,
14GLUCANtexi,89.9906082896791,CPLX0-7655,
23CAMPtex,34.19401863135169,G6700-MONOMER,
23CCMPtex,34.19401863135169,G6700-MONOMER,
23CGMPtex,34.19401863135169,G6700-MONOMER,
23CUMPtex,34.19401863135169,G6700-MONOMER,
23DAPPAt2pp,65,CPLX_dummy,
23DAPPAtex,34.19401863135169,G6700-MONOMER,
23PDE2pp,51.34051782070311,CPDB-MONOMER,
23PDE4pp,51.34051782070311,CPDB-MONOMER,
23PDE7pp,51.34051782070311,CPDB-MONOMER,
23PDE9pp,51.34051782070311,CPDB-MONOMER,
26DAHtex,34.19401863135169,G6700-MONOMER,
2AGPA120tipp,34.483880620712725,EG12455-MONOMER,
2AGPA140tipp,34.483880620712725,EG12455-MONOMER,
2AGPA141tipp,34.483880620712725,EG12455-MONOMER,
2AGPA160tipp,34.483880620712725,EG12455-MONOMER,
2AGPA161tipp,34.483880620712725,EG12455-MONOMER,
2AGPA180tipp,34.483880620712725,EG12455-MONOMER,
2AGPA181tipp,34.483880620712725,EG12455-MONOMER,
2AGPE120tipp,34.483880620712725,EG12455-MONOMER,
2AGPE140tipp,34.483880620712725,EG12455-MONOMER,
2AGPE141tipp,34.483880620712725,EG12455-MONOMER,
2AGPE160tipp,34.483880620712725,EG12455-MONOMER,
2AGPE161tipp,34.483880620712725,EG12455-MONOMER,
2AGPE180tipp,34.483880620712725,EG12455-MONOMER,
2AGPE181tipp,34.483880620712725,EG12455-MONOMER,
2AGPEAT120,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPEAT140,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPEAT141,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPEAT160,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPEAT161,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPEAT180,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPEAT181,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPG120tipp,34.483880620712725,EG12455-MONOMER,
2AGPG140tipp,34.483880620712725,EG12455-MONOMER,
2AGPG141tipp,34.483880620712725,EG12455-MONOMER,
2AGPG160tipp,34.483880620712725,EG12455-MONOMER,
2AGPG161tipp,34.483880620712725,EG12455-MONOMER,
2AGPG180tipp,34.483880620712725,EG12455-MONOMER,
2AGPG181tipp,34.483880620712725,EG12455-MONOMER,
2AGPGAT120,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPGAT140,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPGAT141,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPGAT160,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPGAT161,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPGAT180,56.63308549859794,AAS-MONOMER,mg2(1)
2AGPGAT181,56.63308549859794,AAS-MONOMER,mg2(1)
2DGULRGx,51.30123534005563,CPLX0-235,
2DGULRGy,51.30123534005563,CPLX0-235,
2DGULRx,51.30123534005563,CPLX0-235,
2DGULRy,51.30123534005563,CPLX0-235,
2MAHMP,27.192645786709875,G6246-MONOMER,
34dhpactex,34.19401863135169,G6700-MONOMER,
3AMACHYD,26.199938211868023,G6520-MONOMER,
3AMPtex,34.19401863135169,G6700-MONOMER,
3CMPtex,34.19401863135169,G6700-MONOMER,
3GMPtex,34.19401863135169,G6700-MONOMER,
3HCINNMH,46.570369191004524,MHPHYDROXY-MONOMER,
3HPPPNH,46.570369191004524,MHPHYDROXY-MONOMER,
3HPPtex,34.19401863135169,G6700-MONOMER,
3HPPtpp,65,CPLX_dummy,
3KGK,71.5641293408596,LYXK-CPLX,
3NTD2pp,51.34051782070311,CPDB-MONOMER,
3NTD4pp,51.34051782070311,CPDB-MONOMER,
3NTD7pp,51.34051782070311,CPDB-MONOMER,
3NTD9pp,51.34051782070311,CPDB-MONOMER,
3OXCOAT,34.860664994608975,G6718-MONOMER,
3PEPTabcpp,112.14715773640529,CPLX0-3970,
3PEPTtex,34.19401863135169,G6700-MONOMER,
3UMPtex,34.19401863135169,G6700-MONOMER,
42A12BOOXpp,98.45412030783199,AMINEOXID-CPLX,
4HOXPACDtex,34.19401863135169,G6700-MONOMER,
4HTHRS,37.80677227517145,THRESYN-MONOMER,pydx5p(1)
4PCP,29.318114453378666,G6621-MONOMER,
4PCPpp,65,CPLX_dummy,
4PEPTabcpp,112.56171757670523,ABC-22-CPLX,
4PEPTtex,34.19401863135169,G6700-MONOMER,
5DGLCNR,25.287134967943473,GLUCONREDUCT-MONOMER,
5DGLCNt2rpp,37.16633850116184,YJGT-MONOMER,
5DGLCNtex,34.19401863135169,G6700-MONOMER,
5DOAN,1915.4773815888204,CPLX0-1541,
5MTRtex,34.19401863135169,G6700-MONOMER,
5MTRtpp,65,CPLX_dummy,
A5PISO,42.27519364983546,CPLX0-3929,
AACTOOR,65,CPLX_dummy,
AADDGT,33.845286822688074,G7800-MONOMER,
AAMYL,43.3920749475025,ALPHA-AMYL-CYTO-MONOMER,
AAMYLpp,53.968234526135426,ALPHA-AMYL-PERI-MONOMER,ca2(1)
AB6PGH,42.67319373048942,G495-MONOMER,
ABTA,62.22703513106688,GABATRANSAM-CPLX,pydx5p(1)
ABUTD,113.2068472369263,CPLX0-3641,
ABUTt2pp,40.18727108630013,GABP-MONOMER,
ABUTtex,34.19401863135169,G6700-MONOMER,
ACACCT,62.92986079469866,ACETOACETYL-COA-TRANSFER-CPLX,
ACACT1r,95.2192809682725,ACETYL-COA-ACETYLTRANSFER-CPLX,
ACACT2r,37.4646849788567,CPLX0-1667,
ACACT3r,37.4646849788567,CPLX0-1667,
ACACT4r,37.4646849788567,CPLX0-1667,
ACACT5r,37.4646849788567,CPLX0-1667,
ACACT6r,37.4646849788567,CPLX0-1667,
ACACT7r,37.4646849788567,CPLX0-1667,
ACACT8r,37.4646849788567,CPLX0-1667,
ACACt2pp,38.065525818758914,EG11671-MONOMER,
ACACtex,34.19401863135169,G6700-MONOMER,
ACALD,1026.8935724725548,ADHE-CPLX,fe2(1)
ACALDtex,34.19401863135169,G6700-MONOMER,
ACALDtpp,65,,
ACANTHAT,47.86904122289026,CPLX0-236,
ACBIPGT,33.6290262749219,COBU-CPLX,
ACCOAC,27.55499491607182,ACETYL-COA-CARBOXYLMULTI-CPLX,btn(1)
ACCOAL,52.02175114470202,ACS-MONOMER,
ACGAL1PPpp,65,CPLX_dummy,
ACGAL1Ptex,34.19401863135169,G6700-MONOMER,
ACGALtex,34.19401863135169,G6700-MONOMER,
ACGAM1PPpp,65,CPLX_dummy,
ACGAM1Ptex,34.19401863135169,G6700-MONOMER,
ACGAMK,28.97077629368514,G6576-MONOMER,
ACGAMT,34.056206362098465,GLCNACPTRANS-MONOMER,mg2(1)
ACGAptspp,134.48956760073816,CPLX-157,
ACGAtex,34.19401863135169,G6700-MONOMER,
ACGK,0.6100659741726961,ACETYLGLUTKIN-CPLX,mg2(1)
ACGS,31.38626503094771,N-ACETYLTRANSFER-CPLX,
ACHBS,86.97372410429617,ACETOLACTSYNI-CPLX,mg2(1) AND fad(1) AND thmpp(1)
ACKr,34.95408622384066,GARTRANSFORMYL2-MONOMER,
ACLS,86.97372410429617,ACETOLACTSYNI-CPLX,mg2(1) AND fad(1) AND thmpp(1)
ACM6PH,46.69787554791258,CPLX0-7732,
ACMAMUT,25.547393468454864,UDPMANACATRANS-MONOMER,
ACMANAptspp,135.2742333717016,CPLX-165,
ACMANAtex,34.19401863135169,G6700-MONOMER,
ACMUMptspp,85.89499563243186,CPLX0-7,
ACMUMtex,34.19401863135169,G6700-MONOMER,
ACNAMt2pp,41.63688377732881,NANT-MONOMER,
ACNAMtex,75.26768199270408,CPLX0-7534,
ACNML,81.11348398316292,ACNEULY-CPLX,
