reaction	direction	complex	mods	keff
12PPDRtex	FWD	CPLX0-7530		74.67911373302745
12PPDRtex	REV	CPLX0-7530		74.67911373302745
12PPDRtex	FWD	CPLX0-7533		76.74472378998097
12PPDRtex	REV	CPLX0-7533		76.74472378998097
12PPDRtex	FWD	CPLX0-7534		75.26768199270408
12PPDRtex	REV	CPLX0-7534		75.26768199270408
12PPDRtex	FWD	G6700-MONOMER		34.19401863135169
12PPDRtex	REV	G6700-MONOMER		34.19401863135169
12PPDStex	FWD	CPLX0-7530		74.67911373302745
12PPDStex	REV	CPLX0-7530		74.67911373302745
12PPDStex	FWD	CPLX0-7533		76.74472378998097
12PPDStex	REV	CPLX0-7533		76.74472378998097
12PPDStex	FWD	CPLX0-7534		75.26768199270408
12PPDStex	REV	CPLX0-7534		75.26768199270408
12PPDStex	FWD	G6700-MONOMER		34.19401863135169
12PPDStex	REV	G6700-MONOMER		34.19401863135169
14GLUCANabcpp	FWD	ABC-16-CPLX		117.90076757745126
14GLUCANtexi	FWD	CPLX0-7655		89.9906082896791
#1NITRATREDUCTZ-CPLX	FWD	2pheme_bmocogdp_integration_NARW-MONOMER		1233.3143868027246
23CAMPtex	FWD	CPLX0-7530		74.67911373302745
23CAMPtex	REV	CPLX0-7530		74.67911373302745
23CAMPtex	FWD	CPLX0-7533		76.74472378998097
23CAMPtex	REV	CPLX0-7533		76.74472378998097
23CAMPtex	FWD	CPLX0-7534		75.26768199270408
23CAMPtex	REV	CPLX0-7534		75.26768199270408
23CAMPtex	FWD	G6700-MONOMER		34.19401863135169
23CAMPtex	REV	G6700-MONOMER		34.19401863135169
23CCMPtex	FWD	CPLX0-7530		74.67911373302745
23CCMPtex	REV	CPLX0-7530		74.67911373302745
23CCMPtex	FWD	CPLX0-7533		76.74472378998097
23CCMPtex	REV	CPLX0-7533		76.74472378998097
23CCMPtex	FWD	CPLX0-7534		75.26768199270408
23CCMPtex	REV	CPLX0-7534		75.26768199270408
23CCMPtex	FWD	G6700-MONOMER		34.19401863135169
23CCMPtex	REV	G6700-MONOMER		34.19401863135169
23CGMPtex	FWD	CPLX0-7530		74.67911373302745
23CGMPtex	REV	CPLX0-7530		74.67911373302745
23CGMPtex	FWD	CPLX0-7533		76.74472378998097
23CGMPtex	REV	CPLX0-7533		76.74472378998097
23CGMPtex	FWD	CPLX0-7534		75.26768199270408
23CGMPtex	REV	CPLX0-7534		75.26768199270408
23CGMPtex	FWD	G6700-MONOMER		34.19401863135169
23CGMPtex	REV	G6700-MONOMER		34.19401863135169
23CUMPtex	FWD	CPLX0-7530		74.67911373302745
23CUMPtex	REV	CPLX0-7530		74.67911373302745
23CUMPtex	FWD	CPLX0-7533		76.74472378998097
23CUMPtex	REV	CPLX0-7533		76.74472378998097
23CUMPtex	FWD	CPLX0-7534		75.26768199270408
23CUMPtex	REV	CPLX0-7534		75.26768199270408
23CUMPtex	FWD	G6700-MONOMER		34.19401863135169
23CUMPtex	REV	G6700-MONOMER		34.19401863135169
23DAPPAtex	FWD	CPLX0-7530		74.67911373302745
23DAPPAtex	REV	CPLX0-7530		74.67911373302745
23DAPPAtex	FWD	CPLX0-7533		76.74472378998097
23DAPPAtex	REV	CPLX0-7533		76.74472378998097
23DAPPAtex	FWD	CPLX0-7534		75.26768199270408
23DAPPAtex	REV	CPLX0-7534		75.26768199270408
23DAPPAtex	FWD	G6700-MONOMER		34.19401863135169
23DAPPAtex	REV	G6700-MONOMER		34.19401863135169
23PDE2pp	FWD	CPDB-MONOMER		51.34051782070311
23PDE4pp	FWD	CPDB-MONOMER		51.34051782070311
23PDE7pp	FWD	CPDB-MONOMER		51.34051782070311
23PDE9pp	FWD	CPDB-MONOMER		51.34051782070311
26DAHtex	FWD	CPLX0-7530		74.67911373302745
26DAHtex	REV	CPLX0-7530		74.67911373302745
26DAHtex	FWD	CPLX0-7533		76.74472378998097
26DAHtex	REV	CPLX0-7533		76.74472378998097
26DAHtex	FWD	CPLX0-7534		75.26768199270408
26DAHtex	REV	CPLX0-7534		75.26768199270408
26DAHtex	FWD	G6700-MONOMER		34.19401863135169
26DAHtex	REV	G6700-MONOMER		34.19401863135169
2AGPA120tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPA140tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPA141tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPA160tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPA161tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPA180tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPA181tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPE120tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPE140tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPE141tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPE160tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPE161tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPE180tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPE181tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPEAT120	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPEAT140	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPEAT141	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPEAT160	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPEAT161	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPEAT180	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPEAT181	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPG120tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPG140tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPG141tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPG160tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPG161tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPG180tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPG181tipp	FWD	EG12455-MONOMER		34.483880620712725
2AGPGAT120	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPGAT140	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPGAT141	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPGAT160	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPGAT161	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPGAT180	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2AGPGAT181	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
2DGULRGx	FWD	CPLX0-235		51.30123534005563
2DGULRGy	FWD	CPLX0-235		51.30123534005563
2DGULRx	FWD	CPLX0-235		51.30123534005563
2DGULRy	FWD	CPLX0-235		51.30123534005563
2Fe2S_to_ErpA_by_IscU	FWD	EG12130-MONOMER_EG12131-MONOMER		59.257239147917275
2Fe2S_to_IscA_by_IscU	FWD	EG12130-MONOMER_EG12131-MONOMER		59.257239147917275
2Fe2S_to_SufA_by_IscU	FWD	EG12130-MONOMER_EG12131-MONOMER		59.257239147917275
2MAHMP	FWD	G6246-MONOMER		27.192645786709875
2MAHMP	FWD	G6580-MONOMER		17.92469621580634
#2OXOGLUTARATEDEH-CPLX_mod_mg2(1)	FWD	LipA_mediated_lipo_modification_EG11796-MONOMER	mg2(1)_FWD_LipA_mediated_lipo_modification_EG11796-MONOMER	1647.6273162486996
#2OXOGLUTARATEDEH-CPLX_mod_mg2(1)	FWD	LipB_mediated_lipo_modification_EG11591-MONOMER	mg2(1)_FWD_LipB_mediated_lipo_modification_EG11591-MONOMER	1108.678078089981
34dhpactex	FWD	CPLX0-7530		74.67911373302745
34dhpactex	REV	CPLX0-7530		74.67911373302745
34dhpactex	FWD	CPLX0-7533		76.74472378998097
34dhpactex	REV	CPLX0-7533		76.74472378998097
34dhpactex	FWD	CPLX0-7534		75.26768199270408
34dhpactex	REV	CPLX0-7534		75.26768199270408
34dhpactex	FWD	G6700-MONOMER		34.19401863135169
34dhpactex	REV	G6700-MONOMER		34.19401863135169
3AMACHYD	FWD	G6520-MONOMER		26.199938211868023
3AMPtex	FWD	CPLX0-7530		74.67911373302745
3AMPtex	REV	CPLX0-7530		74.67911373302745
3AMPtex	FWD	CPLX0-7533		76.74472378998097
3AMPtex	REV	CPLX0-7533		76.74472378998097
3AMPtex	FWD	CPLX0-7534		75.26768199270408
3AMPtex	REV	CPLX0-7534		75.26768199270408
3AMPtex	FWD	G6700-MONOMER		34.19401863135169
3AMPtex	REV	G6700-MONOMER		34.19401863135169
3CMPtex	FWD	CPLX0-7530		74.67911373302745
3CMPtex	REV	CPLX0-7530		74.67911373302745
3CMPtex	FWD	CPLX0-7533		76.74472378998097
3CMPtex	REV	CPLX0-7533		76.74472378998097
3CMPtex	FWD	CPLX0-7534		75.26768199270408
3CMPtex	REV	CPLX0-7534		75.26768199270408
3CMPtex	FWD	G6700-MONOMER		34.19401863135169
3CMPtex	REV	G6700-MONOMER		34.19401863135169
3GMPtex	FWD	CPLX0-7530		74.67911373302745
3GMPtex	REV	CPLX0-7530		74.67911373302745
3GMPtex	FWD	CPLX0-7533		76.74472378998097
3GMPtex	REV	CPLX0-7533		76.74472378998097
3GMPtex	FWD	CPLX0-7534		75.26768199270408
3GMPtex	REV	CPLX0-7534		75.26768199270408
3GMPtex	FWD	G6700-MONOMER		34.19401863135169
3GMPtex	REV	G6700-MONOMER		34.19401863135169
3HAD1001	FWD	FABA-CPLX		32.13001307928567
3HAD1001	FWD	FABZ-CPLX		17.621941612925323
3HAD1201	FWD	FABA-CPLX		32.13001307928567
3HAD1201	FWD	FABZ-CPLX		17.621941612925323
3HAD1211	FWD	FABA-CPLX		32.13001307928567
3HAD1211	FWD	FABZ-CPLX		17.621941612925323
3HAD1401	FWD	FABA-CPLX		32.13001307928567
3HAD1401	FWD	FABZ-CPLX		17.621941612925323
