Modified_enzyme	Core_enzyme	Modifications	Source
ACETYL-COA-CARBOXYLMULTI-CPLX_mod_btn(1)	ACETYL-COA-CARBOXYLMULTI-CPLX	btn(1)	M_protein_recon
ACETOLACTSYNI-CPLX_mod_mg2(1)_mod_fad(1)_mod_thmpp(1)	ACETOLACTSYNI-CPLX	mg2(1) AND fad(1) AND thmpp(1)	M_protein_recon
PABASYN-CPLX_mod_mg2(1)	PABASYN-CPLX	mg2(1)	M_protein_recon
2OXOGLUTARATEDEH-CPLX_mod_mg2(1)_mod_lipoyl(1)	2OXOGLUTARATEDEH-CPLX	mg2(1) AND lipoyl(1)	M_protein_recon
ANTHRANSYN-CPLX_mod_mg2(1)	ANTHRANSYN-CPLX	mg2(1)	M_protein_recon
ANTHRANSYN-CPLX_mod_cobalt2(1)	ANTHRANSYN-CPLX	cobalt2(1)	M_protein_recon
ANTHRANSYN-CPLX_mod_fe2(1)	ANTHRANSYN-CPLX	fe2(1)	M_protein_recon
ASPCARBTRANS-CPLX_mod_zn2(1)	ASPCARBTRANS-CPLX	zn2(1)	M_protein_recon
ATPSYN-CPLX_mod_mg2(1)	ATPSYN-CPLX	mg2(1)	M_protein_recon
CARBPSYN-CPLX_mod_mg2(1)	CARBPSYN-CPLX	mg2(1)	M_protein_recon
CARBPSYN-CPLX_mod_mn2(1)	CARBPSYN-CPLX	mn2(1)	M_protein_recon
CARBPSYN-CPLX_mod_cobalt2(1)	CARBPSYN-CPLX	cobalt2(1)	M_protein_recon
CARBPSYN-CPLX_mod_cd2(1)	CARBPSYN-CPLX	cd2(1)	M_protein_recon
CARBPSYN-CPLX_mod_zn2(1)	CARBPSYN-CPLX	zn2(1)	M_protein_recon
APP-UBIOX-CPLX_mod_pheme(1)_mod_hemed(1)	APP-UBIOX-CPLX	pheme(1) AND hemed(1)	M_protein_recon
CYT-D-UBIOX-CPLX_mod_pheme(1)_mod_hemed(1)	CYT-D-UBIOX-CPLX	pheme(1) AND hemed(1)	M_protein_recon
CYT-O-UBIOX-CPLX_mod_pheme(1)_mod_hemeO(1)_mod_cu2(1)	CYT-O-UBIOX-CPLX	pheme(1) AND hemeO(1) AND cu2(1)	M_protein_recon
DIMESULFREDUCT-CPLX_mod_bmocogdp(1)	DIMESULFREDUCT-CPLX	bmocogdp(1)	M_protein_recon
ETHAMLY-CPLX_mod_adocbl(1)	ETHAMLY-CPLX	adocbl(1)	M_protein_recon
SULFITE-REDUCT-CPLX_mod_4fe4s(1)_mod_sheme(1)_mod_fmn(1)_mod_fad(1)	SULFITE-REDUCT-CPLX	4fe4s(1) AND sheme(1) AND fmn(1) AND fad(1)	M_protein_recon
FORMATEDEHYDROGO-CPLX_mod_bmocogdp(1)	FORMATEDEHYDROGO-CPLX	bmocogdp(1)	M_protein_recon
FORMATEDEHYDROGN-CPLX_mod_bmocogdp(1)	FORMATEDEHYDROGN-CPLX	bmocogdp(1)	M_protein_recon
HYDROG3-CPLX_mod_ni2(1)	HYDROG3-CPLX	ni2(1)	M_protein_recon
FUMARATE-REDUCTASE_mod_pheme(1)_mod_3fe4s(1)_mod_4fe4s(1)_mod_fad(1)_mod_2fe2s(1)	FUMARATE-REDUCTASE	pheme(1) AND 3fe4s(1) AND 4fe4s(1) AND fad(1) AND 2fe2s(1)	M_protein_recon
