Reaction	Metabolites	Stoichiometry
RNDR1b3	CPLX0-7817_mod_Oxidized(1)	1.0
RNDR1b3	CPLX0-7817	-1.0
RNDR1b3	adp	-1.0
RNDR1b3	dadp	1.0
RNDR1b3	h2o	1.0
RNDR1b1	GLUTAREDOXIN-MONOMER_mod_Oxidized(1)	1.0
RNDR1b1	h2o	1.0
RNDR1b1	GLUTAREDOXIN-MONOMER	-1.0
RNDR1b1	dadp	1.0
RNDR1b1	adp	-1.0
RNDR1b4	GRXC-MONOMER_mod_Oxidized(1)	1.0
RNDR1b4	h2o	1.0
RNDR1b4	GRXC-MONOMER	-1.0
RNDR1b4	dadp	1.0
RNDR1b4	adp	-1.0
RNDR1b2	GRXB-MONOMER	-1.0
RNDR1b2	h2o	1.0
RNDR1b2	GRXB-MONOMER_mod_Oxidized(1)	1.0
RNDR1b2	adp	-1.0
RNDR1b2	dadp	1.0
3OAR401	nadp	1.0
3OAR401	h	-1.0
3OAR401	nadph	-1.0
3OAR401	EG50003-MONOMER_mod_pan4p(1)_mod_3ha(1)	1.0
3OAR401	EG50003-MONOMER_mod_pan4p(1)_mod_act(1)	-1.0
ACPPAT1201	pi	-1.0
ACPPAT1201	h	-1.0
ACPPAT1201	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1.0
ACPPAT1201	ddcap	1.0
ACPPAT1201	EG50003-MONOMER_mod_pan4p(1)	1.0
3OAS1401	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS1401	h	-1.0
3OAS1401	EG50003-MONOMER_mod_pan4p(1)_mod_3omrs(1)	1.0
3OAS1401	co2	1.0
3OAS1401	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1.0
3OAS1401	EG50003-MONOMER_mod_pan4p(1)	1.0
AOXSr21	co2	1.0
AOXSr21	EG50003-MONOMER_mod_pan4p(1)_mod_pim(1)	-1.0
AOXSr21	EG50003-MONOMER_mod_pan4p(1)	1.0
AOXSr21	8aonn	1.0
AOXSr21	ala_DASH_L	-1.0
SufBCD_mod_2Fe2S(1)_mod_fe2atp_mediated_FE_loading(1)	CPLX0-1341_mod_2fe2s(1)_mod_fe2(2)	1.0
SufBCD_mod_2Fe2S(1)_mod_fe2atp_mediated_FE_loading(1)	CPLX0-1341_mod_2fe2s(1)_mod_fe2(1)	-1.0
SufBCD_mod_2Fe2S(1)_mod_fe2atp_mediated_FE_loading(1)	adp	1.0
SufBCD_mod_2Fe2S(1)_mod_fe2atp_mediated_FE_loading(1)	pi	1.0
SufBCD_mod_2Fe2S(1)_mod_fe2atp_mediated_FE_loading(1)	atp	-1.0
SufBCD_mod_2Fe2S(1)_mod_fe2atp_mediated_FE_loading(1)	fe2	-1.0
OPMEACPS1	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
OPMEACPS1	EG50003-MONOMER_mod_pan4p(1)_mod_opme(1)	1.0
OPMEACPS1	h	-1.0
OPMEACPS1	co2	1.0
OPMEACPS1	EG50003-MONOMER_mod_pan4p(1)_mod_gme(1)	-1.0
OPMEACPS1	EG50003-MONOMER_mod_pan4p(1)	1.0
3HAD1411	h2o	1.0
3HAD1411	EG50003-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1)	1.0
3HAD1411	EG50003-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1)	-1.0
PAPSR24	h	2.0
PAPSR24	paps	-1.0
PAPSR24	GRXC-MONOMER	-1.0
PAPSR24	GRXC-MONOMER_mod_Oxidized(1)	1.0
PAPSR24	so3	1.0
PAPSR24	pap	1.0
2Fe2S_to_IscA_by_IscU	pi	1.0
2Fe2S_to_IscA_by_IscU	IscU	1.0
2Fe2S_to_IscA_by_IscU	IscA_tetra	-1.0
2Fe2S_to_IscA_by_IscU	atp	-1.0
2Fe2S_to_IscA_by_IscU	IscA_tetra_mod_2fe2s(1)	1.0
2Fe2S_to_IscA_by_IscU	IscU_mod_2fe2s(1)	-1.0
2Fe2S_to_IscA_by_IscU	adp	1.0
3OAR1611	nadp	1.0
3OAR1611	h	-1.0
3OAR1611	nadph	-1.0
3OAR1611	EG50003-MONOMER_mod_pan4p(1)_mod_3ocpalm9e(1)	-1.0
3OAR1611	EG50003-MONOMER_mod_pan4p(1)_mod_3hcpalm9e(1)	1.0
AGPAT1811	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	-1.0
AGPAT1811	EG50003-MONOMER_mod_pan4p(1)	1.0
AGPAT1811	pa181	1.0
AGPAT1811	1odec11eg3p	-1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_fe2(1)	IscU_mod_fe2(2)	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_fe2(1)	EG11653-MONOMER	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_fe2(1)	IscU_mod_fe2(1)	-1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_fe2(1)	EG11653-MONOMER_mod_fe2(1)	-1.0
3OAS801	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS801	EG50003-MONOMER_mod_pan4p(1)_mod_3ooct(1)	1.0
3OAS801	h	-1.0
3OAS801	co2	1.0
3OAS801	EG50003-MONOMER_mod_pan4p(1)_mod_hex(1)	-1.0
3OAS801	EG50003-MONOMER_mod_pan4p(1)	1.0
EAR120y1	nadp	1.0
EAR120y1	EG50003-MONOMER_mod_pan4p(1)_mod_tddec2e(1)	-1.0
EAR120y1	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	1.0
EAR120y1	nadph	-1.0
EAR120y1	h	-1.0
U23GAAT1	h	1.0
U23GAAT1	u3hga	-1.0
U23GAAT1	EG50003-MONOMER_mod_pan4p(1)_mod_3hmrs(1)	-1.0
U23GAAT1	u23ga	1.0
U23GAAT1	EG50003-MONOMER_mod_pan4p(1)	1.0
EAR60y1	nadp	1.0
EAR60y1	EG50003-MONOMER_mod_pan4p(1)_mod_thex2e(1)	-1.0
EAR60y1	h	-1.0
EAR60y1	nadph	-1.0
EAR60y1	EG50003-MONOMER_mod_pan4p(1)_mod_hex(1)	1.0
FA120ACPHi1	h2o	-1.0
FA120ACPHi1	h	1.0
FA120ACPHi1	EG50003-MONOMER_mod_pan4p(1)	1.0
FA120ACPHi1	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1.0
FA120ACPHi1	ddca	1.0
3HAD601	EG50003-MONOMER_mod_pan4p(1)_mod_thex2e(1)	1.0
3HAD601	EG50003-MONOMER_mod_pan4p(1)_mod_3hhex(1)	-1.0
3HAD601	h2o	1.0
3HAD1611	EG50003-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)	1.0
3HAD1611	EG50003-MONOMER_mod_pan4p(1)_mod_3hcpalm9e(1)	-1.0
3HAD1611	h2o	1.0
FA141ACPHi1	h2o	-1.0
FA141ACPHi1	h	1.0
FA141ACPHi1	ttdcea	1.0
FA141ACPHi1	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	-1.0
FA141ACPHi1	EG50003-MONOMER_mod_pan4p(1)	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)_mod_fe2(1)	IscU_mod_2fe2s(1)_mod_fe2(1)	-1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)_mod_fe2(1)	EG11653-MONOMER	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)_mod_fe2(1)	IscU_mod_2fe2s(1)_mod_fe2(2)	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)_mod_fe2(1)	EG11653-MONOMER_mod_fe2(1)	-1.0
DSBDR1	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
DSBDR1	RED-THIOREDOXIN-MONOMER	-1.0
DSBDR1	DSBD-MONOMER	1.0
DSBDR1	DSBD-MONOMER_mod_Oxidized(1)	-1.0
DSBDR2	RED-THIOREDOXIN2-MONOMER	-1.0
DSBDR2	DSBD-MONOMER	1.0
DSBDR2	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
DSBDR2	DSBD-MONOMER_mod_Oxidized(1)	-1.0
OPMEACPR1	nadp	1.0
OPMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_opme(1)	-1.0
OPMEACPR1	h	-1.0
OPMEACPR1	nadph	-1.0
OPMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_hpme(1)	1.0
EAR60x1	nadh	-1.0
EAR60x1	EG50003-MONOMER_mod_pan4p(1)_mod_thex2e(1)	-1.0
EAR60x1	h	-1.0
EAR60x1	EG50003-MONOMER_mod_pan4p(1)_mod_hex(1)	1.0
EAR60x1	nad	1.0
EPMEACPR1	nadp	1.0
EPMEACPR1	h	-1.0
EPMEACPR1	nadph	-1.0
EPMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_pme(1)	1.0
EPMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_epme(1)	-1.0
EAR160y1	nadp	1.0
EAR160y1	h	-1.0
EAR160y1	nadph	-1.0
EAR160y1	EG50003-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)	-1.0
EAR160y1	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	1.0
SCYSDS1	cys_DASH_L	-1.0
SCYSDS1	CPLX0-246_CPLX0-1342_mod_pydx5p(1)	-1.0
SCYSDS1	CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1)	1.0
SCYSDS1	ala_DASH_L	1.0
AACPS91	ppi	1.0
AACPS91	octa	-1.0
AACPS91	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	1.0
AACPS91	atp	-1.0
AACPS91	amp	1.0
AACPS91	EG50003-MONOMER_mod_pan4p(1)	-1.0
EAR120x1	nadh	-1.0
EAR120x1	EG50003-MONOMER_mod_pan4p(1)_mod_tddec2e(1)	-1.0
EAR120x1	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	1.0
EAR120x1	nad	1.0
EAR120x1	h	-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	CPLX0-1341_mod_2fe1s(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)	1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	h	4.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	CPLX0-1341_mod_2fe2s(1)	1.0
AGPAT1601	1hdecg3p	-1.0
AGPAT1601	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	-1.0
AGPAT1601	pa160	1.0
AGPAT1601	EG50003-MONOMER_mod_pan4p(1)	1.0
3HAD1601	EG50003-MONOMER_mod_pan4p(1)_mod_3hpalm(1)	-1.0
3HAD1601	EG50003-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)	1.0
3HAD1601	h2o	1.0
G3PAT1801	glyc3p	-1.0
