Reaction	Metabolites	Stoichiometry
# Acetylation of proteins
mod_acetyl_c	accoa_c	-1.0
mod_acetyl_c	coa_c	+1.0

# biotin---[acetyl-CoA-carboxylase] ligase
biotin_ligase	atp_c	-1.0
biotin_ligase	btn_c	-1.0
biotin_ligase	amp_c	+1.0
biotin_ligase	ppi_c	+1.0

# Lipoylation (scavenging)
lipoyl_scavenging	lipoate_c	-1.0
lipoyl_scavenging	atp_c	-1.0
lipoyl_scavenging	amp_c	+1.0
lipoyl_scavenging	ppi_c	+1.0

# Lipoylation (de novo synthesis)
lipoyl_denovo	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	-1.0
lipoyl_denovo	CPLX0-782_mod_4fe4s(2)	-1.0
lipoyl_denovo	amet_c	-2.0
lipoyl_denovo	nad_c	-1.0
lipoyl_denovo	h_c	-1.0
lipoyl_denovo	EG50003-MONOMER_mod_pan4p(1)	1.0
lipoyl_denovo	CPLX0-782_mod_2fe2s(1)_mod_4fe4s(1)	1.0
lipoyl_denovo	fe2_c	2.0
lipoyl_denovo	met__L_c	2.0
lipoyl_denovo	dad__5_c	2.0
lipoyl_denovo	nadh_c	1.0

# Lipoylation (de novo synthesis using CoA)
lipoyl_denovo_from_coa	occoa_c	-1.0
lipoyl_denovo_from_coa	CPLX0-782_mod_4fe4s(2)	-1.0
lipoyl_denovo_from_coa	amet_c	-2.0
lipoyl_denovo_from_coa	nad_c	-1.0
lipoyl_denovo_from_coa	h_c	-1.0
lipoyl_denovo_from_coa	coa_c	1.0
lipoyl_denovo_from_coa	CPLX0-782_mod_2fe2s(1)_mod_4fe4s(1)	1.0
lipoyl_denovo_from_coa	fe2_c	2.0
lipoyl_denovo_from_coa	met__L_c	2.0
lipoyl_denovo_from_coa	dad__5_c	2.0
lipoyl_denovo_from_coa	nadh_c	1.0

# 2'-(5-triphosphoribosyl)-3'-dephospho-CoA:apo-[citrate (pro-3S)-lyase] 2'-(5-phosphoribosyl)-3'-dephospho-CoA-transferase
citx_transfer_to_citd	2tpr3dpcoa	-1.0
citx_transfer_to_citd	ppi_c	+1.0

# activation of glycyl radical enzymes
gre_activation	FLAVODOXIN1-MONOMER	-1.0
gre_activation	amet_c	-1.0
gre_activation	dad__2_c	1.0
gre_activation	FLAVODOXIN1-MONOMER_mod_Oxidized(1)	1.0
gre_activation	met__L_c	1.0

# CoA-[4'-phosphopantetheine]:apo-[acyl-carrier protein] 4'-pantetheinephosphotransferase
acpP_activation	coa_c	-1.0
acpP_activation	h_c	+1.0
acpP_activation	pap_c	+1.0

# lipid modifications
mod_2nd_pg160_p	pg160_p	-1.0
mod_2nd_pg160_p	2agpg160_p	+1.0
mod_2nd_pe160_p	pe160_p	-1.0
mod_2nd_pe160_p	2agpe160_p	+1.0
mod_1st_pe120_p	pe120_p	-1.0
mod_1st_pe120_p	g3p_c	+1.0
mod_1st_pe140_p	pe140_p	-1.0
mod_1st_pe140_p	g3p_c	+1.0
mod_1st_pe141_p	pe141_p	-1.0
mod_1st_pe141_p	g3p_c	+1.0
