,central_CE,central_AFN,intermediate,secondary,other
Alternate Carbon Metabolism,0,0,0,0,1
Pyruvate Metabolism,0,0,0,0,1
Citric Acid Cycle,0,0,0,0,1
Glutamate Metabolism,0,0,0,0,1
Pentose Phosphate Pathway,0,0,0,0,1
tRNA Charging,0,0,0,0,1
Lipopolysaccharide Biosynthesis / Recycling,0,0,0,0,1
"Transport, Outer Membrane",0,0,0,0,1
Murein Recycling,0,0,0,0,1
Glycine and Serine Metabolism,0,0,0,0,1
Nucleotide Salvage Pathway,0,0,0,0,1
"Tyrosine, Tryptophan, and Phenylalanine Metabolism",0,0,0,0,1
Oxidative Phosphorylation,0,0,0,0,1
Threonine and Lysine Metabolism,0,0,0,0,1
Cofactor and Prosthetic Group Biosynthesis,0,0,0,0,1
Methylglyoxal Metabolism,0,0,0,0,1
"Valine, Leucine, and Isoleucine Metabolism",0,0,0,0,1
"Transport, Outer Membrane Porin",0,0,0,0,1
Anaplerotic Reactions,0,0,0,0,1
Arginine and Proline Metabolism,0,0,0,0,1
Alanine and Aspartate Metabolism,0,0,0,0,1
Histidine Metabolism,0,0,0,0,1
Inorganic Ion Transport and Metabolism,0,0,0,0,1
Glycolysis/Gluconeogenesis,0,0,0,0,1
Unassigned,0,0,0,0,1
Membrane Lipid Metabolism,0,0,0,0,1
Folate Metabolism,0,0,0,0,1
Cell Envelope Biosynthesis,0,0,0,0,1
Methionine Metabolism,0,0,0,0,1
Glycerophospholipid Metabolism,0,0,0,0,1
Nitrogen Metabolism,0,0,0,0,1
Purine and Pyrimidine Biosynthesis,0,0,0,0,1
Cysteine Metabolism,0,0,0,0,1
Glyoxylate Metabolism,0,0,0,0,1
Murein Biosynthesis,0,0,0,0,1
"Transport, Inner Membrane",0,0,0,0,1
