,YidC_MONOMER,TatE_MONOMER,TatA_MONOMER
b1855,2.0,0.0,0.0
b3731,2.0,0.0,0.0
b4072,0.0,20.0,20.0
b1475,0.0,5.166666666666667,5.166666666666667
b1474,0.0,5.166666666666667,5.166666666666667
b2817,0.0,22.0,22.0
b0973,0.0,14.0,14.0
b0972,0.0,14.0,14.0
b0997,0.0,13.5,13.5
b3893,0.0,15.5,15.5
b0152,0.0,21.0,21.0
b3894,0.0,15.5,15.5
b1589,0.0,14.0,14.0
b1588,0.0,15.0,15.0
b2938,0.0,6.25,6.25
b1587,0.0,14.0,14.0
b1872,0.0,26.0,26.0
b2997,0.0,14.0,14.0
b2996,0.0,21.0,21.0
b2994,0.0,14.0,14.0
b2435,0.0,20.0,20.0
b0894,0.0,26.0,26.0
b0123,0.0,23.0,23.0
b2206,0.0,27.0,27.0
b2205,0.0,20.0,20.0
