,M_CP008896,ME_CP008896,CP008896,M_CP053697,ME_CP053697,CP053697,M_CP026386,ME_CP026386,CP026386,M_CP069317,ME_CP069317,CP069317,M_AE004091.2,ME_AE004091.2,AE004091.2,M_CP073105,ME_CP073105,CP073105,M_CP065866,ME_CP065866,CP065866,M_CP061848,ME_CP061848,CP061848,M_CP012831,ME_CP012831,CP012831,M_CP008749.1,ME_CP008749.1,CP008749.1,M_CP032419,ME_CP032419,CP032419,M_CP038001,ME_CP038001,CP038001,M_CP022560,ME_CP022560,CP022560,M_CP076683,ME_CP076683,CP076683,M_CP045416,ME_CP045416,CP045416,M_LS483372,ME_LS483372,LS483372,M_CP022562,ME_CP022562,CP022562,M_LR590473,ME_LR590473,LR590473,M_CP065865,ME_CP065865,CP065865,M_CP012830,ME_CP012830,CP012830,M_AP014655.1,ME_AP014655.1,AP014655.1,M_CP061335,ME_CP061335,CP061335,M_CP068238,ME_CP068238,CP068238,M_CP050291,ME_CP050291,CP050291,M_CP070982,ME_CP070982,CP070982,M_CP000712,ME_CP000712,CP000712,M_AP024503,ME_AP024503,AP024503,M_CP045349,ME_CP045349,CP045349,M_CP063780,ME_CP063780,CP063780,M_CP024478,ME_CP024478,CP024478,M_CP022561,ME_CP022561,CP022561,M_CP065867,ME_CP065867,CP065867,M_CP020100,ME_CP020100,CP020100,M_CP039749,ME_CP039749,CP039749,M_CP041013,ME_CP041013,CP041013,M_CP015225,ME_CP015225,CP015225,M_CP045359,ME_CP045359,CP045359,M_CP043320,ME_CP043320,CP043320,M_CP060288,ME_CP060288,CP060288,M_CP043179,ME_CP043179,CP043179
Folate biosynthesis,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,1.0,0.0,-1.0
Cell Envelope Biosynthesis,0.8639771032390545,0.9998494917841588,0.1358723885451043,0.9667521394594019,1.0,0.03324786054059814,0.8639771032390546,1.0,0.13602289676094537,0.8656920278558612,0.0,-0.8656920278558612,0.9623739632673557,0.0,-0.9623739632673557,0.9646267445449249,0.0,-0.9646267445449249,0.9623739632673464,0.9021560606658112,-0.060217902601535145,0.8656920278554828,1.0,0.13430797214451717,0.964626744544925,0.938762662943819,-0.02586408160110598,0.9623739632673558,-0.8411429154655883,-1.803516878732944,0.843972183866849,0.0,-0.843972183866849,0.8639771032390547,0.0,-0.8639771032390547,0.8656920278558613,0.0,-0.8656920278558613,0.9646267445449215,0.0,-0.9646267445449215,0.9646267445413478,0.0,-0.9646267445413478,0.8656920278558613,0.954394437514355,0.08870240965849374,0.8656920278558858,0.0,-0.8656920278558858,0.9623739632673558,0.358686299781694,-0.6036876634856618,0.9654561585648194,1.0,0.03454384143518063,0.9623739632673557,0.0,-0.9623739632673557,0.964626744544925,1.0,0.03537325545507497,0.8656920278558611,0.9999339258252098,0.1342418979693487,0.9623739632673557,0.0,-0.9623739632673557,0.8656920278558596,0.0,-0.8656920278558596,0.8656920278558611,1.0,0.13430797214413892,0.8639771032390545,0.0,-0.8639771032390545,0.9623739632673557,-1.0,-1.9623739632673556,0.9646267445449227,-0.5017559493421004,-1.4663826938870232,0.8656920278558613,1.0,0.1343079721441387,0.9645088955813208,-1.0,-1.9645088955813208,0.8656920278558609,0.0,-0.8656920278558609,0.9623739632673557,0.0,-0.9623739632673557,0.9597771212336331,0.8458056710618117,-0.11397145017182142,0.9623739632673297,0.0,-0.9623739632673297,0.9623739632673297,0.5220581990857207,-0.440315764181609,0.9673643353830231,0.34446758785727544,-0.6228967475257476,0.9646267445449227,1.0,0.0353732554550773,0.960449126941055,0.0,-0.960449126941055,0.964626744544925,0.007567194155324903,-0.9570595503896001,0.9623739632673539,0.999997300048531,0.03762333678117713
S_Fatty_Acid_Metabolism,-1.0,-1.0,0.0,1.0,1.0,0.0,,,,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973851593601573,0.9973851593601573,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,,,,1.0,0.0,-1.0,0.0,0.0,0.0,,,,,,,-1.0,3.1188157808008006e-09,1.0000000031188159,0.0,0.0,0.0,-0.09987131375770125,0.0,0.09987131375770125,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,,,,,,,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.5111469911793267,1.5111469911793267,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,1.0,,,,0.0,0.0,0.0,-0.031301483537099065,0.0,0.031301483537099065
Glycine and Serine Metabolism,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.990816020146321,1.0,1.990816020146321,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Riboflavin metabolism,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Nucleotide Salvage Pathway,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9999999999999998,1.0,2.220446049250313e-16,0.9999999999985844,1.0,1.4156453786995371e-12,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9999999999970893,1.0,2.910671703659773e-12,1.0,1.0,0.0,0.9999999999999852,1.0,1.4765966227514582e-14,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9999999999999598,1.0,4.0190073491430667e-14,1.0,1.0,0.0,0.9999999999998248,1.0,1.751931932858497e-13,1.0,1.0,0.0,0.999999999999996,1.0,3.9968028886505635e-15,1.0,1.0,0.0,0.999999999999851,1.0,1.48991929904696e-13,0.9999999999999144,1.0,8.559819519859957e-14,1.0,1.0,0.0,0.9999999999999989,1.0,1.1102230246251565e-15,0.9999999999997815,1.0,2.184918912462308e-13,0.9999999999997815,1.0,2.184918912462308e-13,1.0,1.0,0.0,0.999999999999996,1.0,3.9968028886505635e-15,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Glycerophospholipid Metabolism,1.0,0.44923431078416004,-0.5507656892158399,1.0,0.3933522506643615,-0.6066477493356385,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.9819149513494122,-0.0180850486505878,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.35022733390443384,-0.6497726660955662,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.9999999999808691,0.0,-0.9999999999808691,1.0,0.6375966421269427,-0.36240335787305733,1.0,0.0,-1.0,0.9999999999999994,-0.999999130299585,-1.9999991302995843,1.0,0.0,-1.0,0.9999999999999993,0.0,-0.9999999999999993,1.0,0.0,-1.0,1.0,0.8470711634789723,-0.15292883652102773,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-0.03371575264743549,-1.0337157526474354,0.9999999999999987,0.0,-0.9999999999999987,0.9999999999999987,0.330977342459241,-0.6690226575407576,1.0,-0.7271345714392002,-1.7271345714392004,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,-0.07144357385542797,-1.071443573855428,1.0,0.0,-1.0
Cysteine Metabolism,-0.22639487700885025,1.0,1.2263948770088502,-0.22639487700820582,1.0,1.2263948770082058,-0.2263948770078338,1.0,1.226394877007834,-0.22639487700768168,1.0,1.2263948770076816,-1.0,1.0,2.0,-0.22639487700805694,1.0,1.2263948770080568,-1.0,1.0,2.0,-0.22639487700461447,1.0,1.2263948770046145,-0.22639487700797692,1.0,1.226394877007977,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-0.22639487700760336,1.0,1.2263948770076034,-0.2263948770082156,1.0,1.2263948770082156,-0.22639487700529215,1.0,1.2263948770052921,-1.0,1.0,2.0,-0.22639487700827382,1.0,1.2263948770082738,-1.0,1.0,2.0,-1.0,1.0,2.0,-0.9999999999999997,1.0,1.9999999999999996,-0.2263948770077761,1.0,1.2263948770077762,-0.22639487700785996,1.0,1.2263948770078599,-1.0,1.0,2.0,0.3127847999887177,1.0,0.6872152000112823,-0.22639487700819738,1.0,1.2263948770081974,-0.22639487700819827,1.0,1.2263948770081983,-0.22639487700769784,1.0,1.2263948770076978,-0.2263948770082291,1.0,1.2263948770082291,-1.0,1.0,2.0,-0.22639487700777727,1.0,1.2263948770077773,-0.2263948770082017,1.0,1.2263948770082016,-1.0,1.0,2.0,-0.22639487700776606,1.0,1.226394877007766,-1.0,1.0,2.0,-1.0,1.0,2.0,-0.22639487700763725,1.0,1.2263948770076372,-0.2263948770082291,1.0,1.2263948770082291,-0.22639487700817823,1.0,1.2263948770081783,-0.22639487700814942,1.0,1.2263948770081494,-0.22639487700820932,1.0,1.2263948770082094
S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism,0.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,,,,0.0,0.0,0.0,,,,0.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.9972630698991142,0.9972630698991142,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
