Reaction,Metabolites,Compartment,Stoichiometry
3HAD160,G1G01-2027-MONOMER_mod_pan4p_mod_3hpalm,Cytosol,-1.0
3HAD160,h2o,Cytosol,1.0
3HAD160,G1G01-2027-MONOMER_mod_pan4p_mod_tpalm2e,Cytosol,1.0
13DAMPPabcpp,13dampp,Cytosol,1.0
13DAMPPabcpp,13dampp,Periplasm,-1.0
13DAMPPabcpp,adp,Cytosol,1.0
13DAMPPabcpp,atp,Cytosol,-1.0
13DAMPPabcpp,h2o,Cytosol,-1.0
13DAMPPabcpp,h,Cytosol,1.0
13DAMPPabcpp,pi,Cytosol,1.0
13DAMPPtex,13dampp,Extra-organism,-1.0
13DAMPPtex,13dampp,Periplasm,1.0
15DAPabcpp,15dap,Cytosol,1.0
15DAPabcpp,15dap,Periplasm,-1.0
15DAPabcpp,adp,Cytosol,1.0
15DAPabcpp,atp,Cytosol,-1.0
15DAPabcpp,h2o,Cytosol,-1.0
15DAPabcpp,h,Cytosol,1.0
15DAPabcpp,pi,Cytosol,1.0
1P2CBXLCYCL,1p2cbxl,Cytosol,1.0
1P2CBXLCYCL,5a2opntn,Cytosol,-1.0
1P2CBXLCYCL,h2o,Cytosol,1.0
1P2CBXLCYCL,h,Cytosol,1.0
1P2CBXLR,1p2cbxl,Cytosol,-1.0
1P2CBXLR,h,Cytosol,-2.0
1P2CBXLR,nadp,Cytosol,1.0
1P2CBXLR,nadph,Cytosol,-1.0
1P2CBXLR,pro__L,Cytosol,1.0
1PPDCRc,1pipdn2c,Cytosol,-1.0
1PPDCRc,Lpipecol,Cytosol,1.0
1PPDCRc,h,Cytosol,-1.0
1PPDCRc,nadp,Cytosol,1.0
1PPDCRc,nadph,Cytosol,-1.0
1PQQS,1pqq,Cytosol,1.0
1PQQS,2pqq,Cytosol,-1.0
1PQQS,o2,Cytosol,-1.0
1PY4h3cAH,1py4h3c,Cytosol,-1.0
1PY4h3cAH,25dop,Cytosol,1.0
1PY4h3cAH,h2o,Cytosol,-1.0
1PY4h3cAH,h,Cytosol,-1.0
1PY4h3cAH,nh4,Cytosol,1.0
23CTI1,dc2coa,Cytosol,1.0
23CTI1,decoa,Cytosol,-1.0
23CTI2,dd2coa,Cytosol,1.0
23CTI2,dded3coa,Cytosol,-1.0
23CTI3,dd6_2_coa,Cytosol,1.0
23CTI3,dd_3_6_coa,Cytosol,-1.0
24DECOAR,dc2coa,Cytosol,1.0
24DECOAR,dec4_2_coa,Cytosol,-1.0
24DECOAR,h,Cytosol,-1.0
24DECOAR,nadp,Cytosol,1.0
24DECOAR,nadph,Cytosol,-1.0
25DKGLCNt2rpp,25dkglcn,Cytosol,1.0
25DKGLCNt2rpp,25dkglcn,Periplasm,-1.0
25DKGLCNt2rpp,h,Cytosol,1.0
25DKGLCNt2rpp,h,Periplasm,-1.0
