,central_CE,central_AFN,intermediate,secondary,other
S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_,0,0,0,0,1
S_Sulfur_Metabolism,0,0,0,0,1
S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,0,0,0,0,1
S_Fatty_Acid__Biosynthesis,0,0,0,0,1
S_Heavy_Metal_Tolerance,0,0,0,0,1
S_Formaldehyde_Metabolism,0,0,0,0,1
Biomass and maintenance functions,0,0,0,0,1
S_Cell_Envelope_Biosynthesis,0,0,0,0,1
S_Xenobiotic_tolerance,0,0,0,0,1
S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate,0,0,0,0,1
S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism,0,0,0,0,1
S_Transport__Inner_Membrane,0,0,0,0,1
S_Alternate_Carbon,0,0,0,0,1
S_Alginate_biosynthesis,0,0,0,0,1
S_Alternate_Carbon__Butanediol_Metabolism,0,0,0,0,1
S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,0,0,0,0,1
S_Nitrogen_Metabolism,0,0,0,0,1
S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis,0,0,0,0,1
S_Alanine_and_Aspartate_Metabolism,0,0,0,0,1
S_Aromatic_Compounds_Degradation__Nicotinic_acid_pathway,0,0,0,0,1
S_Cysteine_Metabolism,0,0,0,0,1
S_Alternate_Carbon__Levulinate_Metabolism,0,0,0,0,1
S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,0,0,0,0,1
S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,0,0,0,0,1
S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis,0,0,0,0,1
S_Plant_growth_promoting,0,0,0,0,1
S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,0,0,0,0,1
S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,0,0,0,0,1
S_Glycerophospholipid_Metabolism,0,0,0,0,1
S_Methionine_Metabolism,0,0,0,0,1
S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis,0,0,0,0,1
S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis,0,0,0,0,1
S_Pyruvate_Metabolism,0,0,0,0,1
S_Transport__Outer_Membrane,0,0,0,0,1
S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0,0,0,0,1
S_Cofactor_and_Prosthetic_Group_Biosynthesis,0,0,0,0,1
Unassigned,0,0,0,0,1
S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis,0,0,0,0,1
S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom,0,0,0,0,1
S_Inorganic_polyphosphates_metabolism,0,0,0,0,1
S_Urea_cycleamino_group_metabolism,0,0,0,0,1
Extracellular exchange,0,0,0,0,1
S_Lysine_Metabolism,0,0,0,0,1
S_Glycolysis,0,0,0,0,1
S_Arginine_and_Proline_Metabolism,0,0,0,0,1
S_Butanoate_Metabolism,0,0,0,0,1
S_Pyrimidine_Metabolism,0,0,0,0,1
