Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
222.273.peg.6055-MONOMER	Periplasm	222.273.peg.6055()	Periplasm	s
222.273.peg.535-MONOMER	Outer_Membrane	222.273.peg.535()	Outer_Membrane	sb
CPLX_INDOLEt2pp-0	Outer_Membrane	222.273.peg.535()	Outer_Membrane	sb
222.273.peg.5978-MONOMER	Inner_Membrane	222.273.peg.5978()	Inner_Membrane	r
CPLX_DSBDR-0	Inner_Membrane	222.273.peg.5978()	Inner_Membrane	r
222.273.peg.1896-MONOMER	Inner_Membrane	222.273.peg.1896()	Inner_Membrane	r
222.273.peg.884-MONOMER	Inner_Membrane	222.273.peg.884()	Inner_Membrane	r
222.273.peg.2953-MONOMER	Periplasm	222.273.peg.2953()	Periplasm	s
222.273.peg.4935-MONOMER	Periplasm	222.273.peg.4935()	Periplasm	s
222.273.peg.5948-MONOMER	Inner_Membrane	222.273.peg.5948()	Inner_Membrane	r
222.273.peg.3751-MONOMER	Inner_Membrane	222.273.peg.3751()	Inner_Membrane	r
222.273.peg.5145-MONOMER	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-0	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-2	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-4	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-6	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-8	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-10	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-12	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-14	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-16	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-18	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-20	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
CPLX_CYTBO3_4pp-22	Inner_Membrane	222.273.peg.5145()	Inner_Membrane	r
222.273.peg.5070-MONOMER	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-0	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-1	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-2	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-3	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-4	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-5	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-6	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-7	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-8	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-9	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-10	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
CPLX_CYTBO3_4pp-11	Inner_Membrane	222.273.peg.5070()	Inner_Membrane	p
222.273.peg.5071-MONOMER	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-0	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-1	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-4	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-5	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-8	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-9	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-12	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-13	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-16	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-17	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-20	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
CPLX_CYTBO3_4pp-21	Inner_Membrane	222.273.peg.5071()	Inner_Membrane	r
222.273.peg.5142-MONOMER	Inner_Membrane	222.273.peg.5142()	Inner_Membrane	p
CPLX_CYTBO3_4pp-8	Inner_Membrane	222.273.peg.5142()	Inner_Membrane	p
CPLX_CYTBO3_4pp-9	Inner_Membrane	222.273.peg.5142()	Inner_Membrane	p
CPLX_CYTBO3_4pp-10	Inner_Membrane	222.273.peg.5142()	Inner_Membrane	p
CPLX_CYTBO3_4pp-11	Inner_Membrane	222.273.peg.5142()	Inner_Membrane	p
CPLX_CYTBO3_4pp-20	Inner_Membrane	222.273.peg.5142()	Inner_Membrane	p
CPLX_CYTBO3_4pp-21	Inner_Membrane	222.273.peg.5142()	Inner_Membrane	p
CPLX_CYTBO3_4pp-22	Inner_Membrane	222.273.peg.5142()	Inner_Membrane	p
CPLX_CYTBO3_4pp-23	Inner_Membrane	222.273.peg.5142()	Inner_Membrane	p
222.273.peg.5832-MONOMER	Periplasm	222.273.peg.5832()	Periplasm	s
222.273.peg.532-MONOMER	Inner_Membrane	222.273.peg.532()	Inner_Membrane	r
222.273.peg.1586-MONOMER	Inner_Membrane	222.273.peg.1586()	Periplasm	s
CPLX_MOBDabcpp-1	Inner_Membrane	222.273.peg.1586()	Periplasm	s
CPLX_SELabcpp-1	Inner_Membrane	222.273.peg.1586()	Periplasm	s
222.273.peg.2926-MONOMER	Inner_Membrane	222.273.peg.2926()	Inner_Membrane	r
CPLX_MOBDabcpp-0	Inner_Membrane	222.273.peg.2926()	Inner_Membrane	r
CPLX_MOBDabcpp-1	Inner_Membrane	222.273.peg.2926()	Inner_Membrane	r
CPLX_SELabcpp-0	Inner_Membrane	222.273.peg.2926()	Inner_Membrane	r
CPLX_SELabcpp-1	Inner_Membrane	222.273.peg.2926()	Inner_Membrane	r
222.273.peg.2927-MONOMER	Inner_Membrane	222.273.peg.2927()	Inner_Membrane	r
CPLX_MOBDabcpp-0	Inner_Membrane	222.273.peg.2927()	Inner_Membrane	r
CPLX_MOBDabcpp-1	Inner_Membrane	222.273.peg.2927()	Inner_Membrane	r
CPLX_SELabcpp-0	Inner_Membrane	222.273.peg.2927()	Inner_Membrane	r
CPLX_SELabcpp-1	Inner_Membrane	222.273.peg.2927()	Inner_Membrane	r
222.273.peg.3139-MONOMER	Periplasm	222.273.peg.3139()	Periplasm	s
222.273.peg.2651-MONOMER	Inner_Membrane	222.273.peg.2651()	Inner_Membrane	r
222.273.peg.3972-MONOMER	Inner_Membrane	222.273.peg.3972()	Inner_Membrane	s
CPLX_MPTG-2	Inner_Membrane	222.273.peg.3972()	Inner_Membrane	s
222.273.peg.3993-MONOMER	Inner_Membrane	222.273.peg.3993()	Inner_Membrane	r
222.273.peg.2928-MONOMER	Inner_Membrane	222.273.peg.2928()	Periplasm	s
CPLX_MOBDabcpp-1	Inner_Membrane	222.273.peg.2928()	Periplasm	s
CPLX_SELabcpp-0	Inner_Membrane	222.273.peg.2928()	Periplasm	s
222.273.peg.1893-MONOMER	Outer_Membrane	222.273.peg.1893()	Inner_Membrane	s
CPLX_CPGNtonex-0	Outer_Membrane	222.273.peg.1893()	Inner_Membrane	s
CPLX_FEENTERtonex-0	Outer_Membrane	222.273.peg.1893()	Inner_Membrane	s
CPLX_FECRMtonex-0	Outer_Membrane	222.273.peg.1893()	Inner_Membrane	s
CPLX_FE3DHBZStonex-0	Outer_Membrane	222.273.peg.1893()	Inner_Membrane	s
CPLX_FE3DHBZStonex-1	Outer_Membrane	222.273.peg.1893()	Inner_Membrane	s
222.273.peg.1482-MONOMER	Inner_Membrane	222.273.peg.1482()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	222.273.peg.1482()	Inner_Membrane	r
222.273.peg.1346-MONOMER	Inner_Membrane	222.273.peg.1346()	Inner_Membrane	r
222.273.peg.1318-MONOMER	Inner_Membrane	222.273.peg.1318()	Inner_Membrane	p
222.273.peg.1330-MONOMER	Inner_Membrane	222.273.peg.1330()	Inner_Membrane	r
222.273.peg.1327-MONOMER	Inner_Membrane	222.273.peg.1327()	Inner_Membrane	r
222.273.peg.1328-MONOMER	Inner_Membrane	222.273.peg.1328()	Inner_Membrane	p
222.273.peg.1329-MONOMER	Inner_Membrane	222.273.peg.1329()	Inner_Membrane	r
222.273.peg.1325-MONOMER	Inner_Membrane	222.273.peg.1325()	Inner_Membrane	r
222.273.peg.1331-MONOMER	Inner_Membrane	222.273.peg.1331()	Inner_Membrane	r
222.273.peg.5289-MONOMER	Inner_Membrane	222.273.peg.5289()	Inner_Membrane	r
222.273.peg.4369-MONOMER	Outer_Membrane	222.273.peg.4369()	Outer_Membrane	sb
222.273.peg.2748-MONOMER	Inner_Membrane	222.273.peg.2748()	Inner_Membrane	r
222.273.peg.313-MONOMER	Periplasm	222.273.peg.313()	Periplasm	s
222.273.peg.4431-MONOMER	Inner_Membrane	222.273.peg.4431()	Inner_Membrane	r
222.273.peg.3269-MONOMER	Inner_Membrane	222.273.peg.3269()	Inner_Membrane	r
222.273.peg.1797-MONOMER	Inner_Membrane	222.273.peg.1797()	Inner_Membrane	r
222.273.peg.2543-MONOMER	Outer_Membrane	222.273.peg.2543()	Inner_Membrane	pa
CPLX_INDOLEt2pp-0	Outer_Membrane	222.273.peg.2543()	Inner_Membrane	pa
222.273.peg.5699-MONOMER	Inner_Membrane	222.273.peg.5699()	Inner_Membrane	r
222.273.peg.1186-MONOMER	Inner_Membrane	222.273.peg.1186()	Inner_Membrane	r
222.273.peg.1105-MONOMER	Inner_Membrane	222.273.peg.1105()	Inner_Membrane	r
222.273.peg.5857-MONOMER	Inner_Membrane	222.273.peg.5857()	Inner_Membrane	r
222.273.peg.265-MONOMER	Inner_Membrane	222.273.peg.265()	Inner_Membrane	r
222.273.peg.122-MONOMER	Inner_Membrane	222.273.peg.122()	Inner_Membrane	r
222.273.peg.3951-MONOMER	Inner_Membrane	222.273.peg.3951()	Inner_Membrane	r
222.273.peg.5738-MONOMER	Inner_Membrane	222.273.peg.5738()	Inner_Membrane	r
CPLX_CYTBDpp-2	Inner_Membrane	222.273.peg.5738()	Inner_Membrane	r
222.273.peg.5737-MONOMER	Inner_Membrane	222.273.peg.5737()	Inner_Membrane	r
222.273.peg.5646-MONOMER	Inner_Membrane	222.273.peg.5646()	Inner_Membrane	r
222.273.peg.5293-MONOMER	Inner_Membrane	222.273.peg.5293()	Inner_Membrane	r
222.273.peg.1552-MONOMER	Inner_Membrane	222.273.peg.1552()	Inner_Membrane	r
222.273.peg.4775-MONOMER	Inner_Membrane	222.273.peg.4775()	Inner_Membrane	r
222.273.peg.5511-MONOMER	Inner_Membrane	222.273.peg.5511()	Inner_Membrane	r
CPLX_RIBabcpp-0	Inner_Membrane	222.273.peg.5511()	Inner_Membrane	r
222.273.peg.378-MONOMER	Inner_Membrane	222.273.peg.378()	Inner_Membrane	r
CPLX_FDH4pp-0	Inner_Membrane	222.273.peg.378()	Inner_Membrane	r
222.273.peg.377-MONOMER	Inner_Membrane	222.273.peg.377()	Inner_Membrane	t
CPLX_FDH4pp-0	Inner_Membrane	222.273.peg.377()	Inner_Membrane	t
222.273.peg.375-MONOMER	Inner_Membrane	222.273.peg.375()	Periplasm	t
CPLX_FDH4pp-0	Inner_Membrane	222.273.peg.375()	Periplasm	t
222.273.peg.2784-MONOMER	Inner_Membrane	222.273.peg.2784()	Inner_Membrane	r
222.273.peg.428-MONOMER	Inner_Membrane	222.273.peg.428()	Inner_Membrane	r
222.273.peg.434-MONOMER	Inner_Membrane	222.273.peg.434()	Inner_Membrane	y
CPLX_ATPS4rpp-0	Inner_Membrane	222.273.peg.434()	Inner_Membrane	y
CPLX_ATPS4rpp-1	Inner_Membrane	222.273.peg.434()	Inner_Membrane	y
222.273.peg.426-MONOMER	Inner_Membrane	222.273.peg.426()	Inner_Membrane	p
CPLX_ATPS4rpp-0	Inner_Membrane	222.273.peg.426()	Inner_Membrane	p
CPLX_ATPS4rpp-1	Inner_Membrane	222.273.peg.426()	Inner_Membrane	p
222.273.peg.2389-MONOMER	Inner_Membrane	222.273.peg.2389()	Periplasm	t
CPLX_DMSOR2-0	Inner_Membrane	222.273.peg.2389()	Periplasm	t
222.273.peg.5028-MONOMER	Inner_Membrane	222.273.peg.5028()	Inner_Membrane	r
222.273.peg.1299-MONOMER	Inner_Membrane	222.273.peg.1299()	Inner_Membrane	r
222.273.peg.5407-MONOMER	Inner_Membrane	222.273.peg.5407()	Inner_Membrane	r
222.273.peg.1452-MONOMER	Inner_Membrane	222.273.peg.1452()	Inner_Membrane	r
CPLX_ALAALAabcpp-1	Inner_Membrane	222.273.peg.1452()	Inner_Membrane	r
CPLX_GTHRDabcpp-0	Inner_Membrane	222.273.peg.1452()	Inner_Membrane	r
CPLX_GTHRDabcpp-1	Inner_Membrane	222.273.peg.1452()	Inner_Membrane	r
CPLX_GTHRDabcpp-2	Inner_Membrane	222.273.peg.1452()	Inner_Membrane	r
CPLX_GTHRDabcpp-3	Inner_Membrane	222.273.peg.1452()	Inner_Membrane	r
222.273.peg.1453-MONOMER	Inner_Membrane	222.273.peg.1453()	Inner_Membrane	r
CPLX_NI2uabcpp-0	Inner_Membrane	222.273.peg.1453()	Inner_Membrane	r
CPLX_GTHRDabcpp-0	Inner_Membrane	222.273.peg.1453()	Inner_Membrane	r
CPLX_GTHRDabcpp-1	Inner_Membrane	222.273.peg.1453()	Inner_Membrane	r
CPLX_GTHRDabcpp-2	Inner_Membrane	222.273.peg.1453()	Inner_Membrane	r
CPLX_GTHRDabcpp-3	Inner_Membrane	222.273.peg.1453()	Inner_Membrane	r
222.273.peg.3163-MONOMER	Inner_Membrane	222.273.peg.3163()	Periplasm	s
222.273.peg.3149-MONOMER	Inner_Membrane	222.273.peg.3149()	Inner_Membrane	p
222.273.peg.3150-MONOMER	Inner_Membrane	222.273.peg.3150()	Inner_Membrane	r
222.273.peg.4896-MONOMER	Inner_Membrane	222.273.peg.4896()	Inner_Membrane	r
222.273.peg.4619-MONOMER	Inner_Membrane	222.273.peg.4619()	Inner_Membrane	r
222.273.peg.17-MONOMER	Inner_Membrane	222.273.peg.17()	Inner_Membrane	r
222.273.peg.5216-MONOMER	Periplasm	222.273.peg.5216()	Periplasm	s
222.273.peg.4444-MONOMER	Inner_Membrane	222.273.peg.4444()	Inner_Membrane	r
222.273.peg.3212-MONOMER	Inner_Membrane	222.273.peg.3212()	Inner_Membrane	r
222.273.peg.4077-MONOMER	Inner_Membrane	222.273.peg.4077()	Inner_Membrane	r
CPLX_NI2uabcpp-0	Inner_Membrane	222.273.peg.4077()	Inner_Membrane	r
222.273.peg.1504-MONOMER	Outer_Membrane	222.273.peg.1504()	Outer_Membrane	sb
CPLX_FECRMtonex-0	Outer_Membrane	222.273.peg.1504()	Outer_Membrane	sb
CPLX_FEOXAMtonex-0	Outer_Membrane	222.273.peg.1504()	Outer_Membrane	sb
222.273.peg.2955-MONOMER	Inner_Membrane	222.273.peg.2955()	Inner_Membrane	r
222.273.peg.3230-MONOMER	Inner_Membrane	222.273.peg.3230()	Periplasm	s
CPLX_GLNabcpp-0	Inner_Membrane	222.273.peg.3230()	Periplasm	s
