complex_id,name,genes,mod,replace
CPLX_GLYCTO2-0,Glycolate oxidase,222.273.peg.1748() AND 222.273.peg.1747() AND 222.273.peg.1746(),,
CPLX_IPPMIb-0,2-isopropylmalate hydratase,222.273.peg.5847() AND 222.273.peg.2158(),,
CPLX_IPPMIb-1,2-isopropylmalate hydratase,222.273.peg.5847() AND 222.273.peg.5846(),,
CPLX_IPPMIb-2,2-isopropylmalate hydratase,222.273.peg.2158(1) AND 222.273.peg.2157(1),,
CPLX_IPPMIb-3,2-isopropylmalate hydratase,222.273.peg.2157() AND 222.273.peg.5846(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,222.273.peg.1218() AND 222.273.peg.1220(),,
CPLX_ACHBS-1,2-aceto-2-hydroxybutanoate synthase,222.273.peg.1219() AND 222.273.peg.1220(),,
CPLX_TRPS2-0,Tryptophan synthase (indole),222.273.peg.1382() AND 222.273.peg.1383(),,
CPLX_TRPS2-1,Tryptophan synthase (indole),222.273.peg.1382() AND 222.273.peg.3798(),,
CPLX_TRPS2-2,Tryptophan synthase (indole),222.273.peg.1383(2) AND 222.273.peg.3799(2),,
CPLX_TRPS2-3,Tryptophan synthase (indole),222.273.peg.3799() AND 222.273.peg.3798(),,
CPLX_ANS-0,Anthranilate synthase,222.273.peg.399() AND 222.273.peg.400(),,
CPLX_ANS-1,Anthranilate synthase,222.273.peg.399() AND 222.273.peg.401(),,
CPLX_ANS-2,Anthranilate synthase,222.273.peg.399() AND 222.273.peg.402(),,
CPLX_GLYCL-0,Glycine Cleavage System,222.273.peg.1500() AND 222.273.peg.2499() AND 222.273.peg.2557() AND 222.273.peg.3266() AND 222.273.peg.5587(),,
CPLX_CINNDO-0,Cinnamate dioxygenase,222.273.peg.1028() AND 222.273.peg.628() AND 222.273.peg.3010(),,
CPLX_SADT2-0,Sulfate adenyltransferase,222.273.peg.1592(4) AND 222.273.peg.1591(4),,
CPLX_ACACCT-0,Acetyl-CoA:acetoacetyl-CoA transferase,222.273.peg.1444(2) AND 222.273.peg.1443(2),,
CPLX_ADCS-0,4-amino-4-deoxychorismate synthase,222.273.peg.399(1) AND 222.273.peg.1034(1),,
CPLX_ADCS-1,4-amino-4-deoxychorismate synthase,222.273.peg.399() AND 222.273.peg.1035(),,
CPLX_NADTRHD-0,NAD transhydrogenase,222.273.peg.1749() AND 222.273.peg.1750() AND 222.273.peg.1751(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,222.273.peg.221() AND 222.273.peg.2111(),,
CPLX_GLUN-0,Glutaminase,222.273.peg.245(4) AND 222.273.peg.246(4),,
CPLX_PAPSR-0,Phosphoadenylyl-sulfate reductase (thioredoxin),222.273.peg.1590() AND 222.273.peg.2061(),,
CPLX_NTRIR2x-0,Nitrite Reductase (NADH),222.273.peg.5167(2) AND 222.273.peg.5166(1),,
CPLX_PDX5PS-0,Pyridoxine 5'-phosphate synthase,222.273.peg.1681() AND 222.273.peg.4624(),,
CPLX_CBPS-0,Carbamoyl-phosphate synthase (glutamine-hydrolysing),222.273.peg.4786(2) AND 222.273.peg.4785(2),,
CPLX_DMSOR2-0,Dimethyl sulfoxide reductase (Demethylmenaquinol 8),222.273.peg.2389() AND 222.273.peg.2390() AND 222.273.peg.2391(),,
CPLX_THRabcpp-0,L-threonine transport via ABC system (periplasm),generic_THRabcpp_0() AND generic_THRabcpp_1() AND generic_THRabcpp_2() AND generic_THRabcpp_3() AND generic_THRabcpp_4(),,
CPLX_THD2pp-0,NAD(P) transhydrogenase (periplasm),222.273.peg.1749(2) AND 222.273.peg.1751(2),,
CPLX_TMAOR2pp-0,Trimethylamine N-oxide reductase (demethylmenaquinol 8) (periplasm),222.273.peg.2386() AND 222.273.peg.2387(2),,
CPLX_XYLabcpp-0,D-xylose transport via ABC system (periplasm),222.273.peg.4666(1) AND 222.273.peg.4667(2) AND 222.273.peg.4668(2),,
CPLX_XYLUt2pp-0,L-xylulose transport in via proton symport (periplasm),222.273.peg.5343() AND 222.273.peg.2173() AND 222.273.peg.2174(),,
CPLX_TKT2-0,Transketolase,222.273.peg.4279() AND 222.273.peg.4280(),,
CPLX_FEENTERabcpp-0,Fe-enterobactin transport via ABC system (periplasm),222.273.peg.5033() AND 222.273.peg.2878() AND 222.273.peg.2879(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),222.273.peg.426() AND 222.273.peg.426() AND 222.273.peg.426() AND 222.273.peg.429() AND 222.273.peg.430() AND 222.273.peg.430() AND 222.273.peg.432() AND 222.273.peg.434(),,
