reaction	keff
2DGLCNR	65
3HAD100	65
3HAD120	65
3HAD121	65
3HAD140	65
3HAD141	65
3HAD160	65
3HAD161	65
3HAD180	65
3HAD181	65
3HAD40	65
3HAD60	65
3HAD80	65
3OAR100	65
3OAR120	65
3OAR121	65
3OAR140	65
3OAR141	65
3OAR160	65
3OAR161	65
3OAR180	65
3OAR181	65
3OAR40	65
3OAR60	65
3OAR80	65
3OAS100	65
3OAS120	65
3OAS121	65
3OAS140	65
3OAS141	65
3OAS160	65
3OAS161	65
3OAS180	65
3OAS181	65
3OAS60	65
3OAS80	65
4HTHRS	65
A5PISO	65
ACCOAC	65
ACGK	65
ACGS	65
ACHBS	65
ACLS	65
ACM6PH	65
ACOATA	65
ACONTa	65
ACONTb	65
ACOTA	65
ACPPAT120	65
ACPPAT140	65
ACPPAT141	65
ACPPAT160	65
ACPPAT161	65
ACPPAT180	65
ACPPAT181	65
ACPS1	65
ADA	65
ADCL	65
ADCS	65
ADEt2rpp	65
ADK1	65
ADK3	65
ADK4	65
ADNK1	65
ADPRDP	65
ADSK	65
ADSL1r	65
ADSL2r	65
ADSS	65
AGDC	65
AGM3PApp	65
AGM3PH	65
AGM3Pt2pp	65
AGM4PApp	65
AGM4PH	65
AGM4Pt2pp	65
AGMDA	65
AGMH	65
AGMT	65
AGMt2pp	65
AGPAT_ZM	65
AGPR	65
AHCi	65
AICART	65
AIRC2	65
AIRC3	65
AKP1	65
ALAALAr	65
ALAGLUE	65
ALAR	65
ALAS	65
ALATA_D2	65
ALATA_L	65
ALATA_L2	65
ALATRS	65
ALCD19	65
ALCD2x	65
ALLPI	65
ALR2	65
AMAOTr	65
AMPMS2	65
AMPTASECG	65
AMPTASEPG	65
ANHMK	65
ANPRT	65
ANS	65
AOXSr2	65
APG3PAT120	65
APG3PAT140	65
APG3PAT141	65
APG3PAT160	65
APG3PAT161	65
APG3PAT180	65
APG3PAT181	65
APRAUR	65
ARGN	65
ARGSL	65
ARGSS	65
ARGTRS	65
ARGt3pp	65
ASAD	65
ASNNpp	65
ASNTRS	65
ASP4DC	65
ASPCT	65
ASPK	65
ASPO3_Q10	65
ASPO5	65
ASPO6	65
ASPR	65
ASPTA	65
ASPTRS	65
AST	65
ATPPRT	65
ATPS4rpp	65
BACCL	65
BPNT	65
BTS5	65
BUTSO3abcpp	65
CAt6pp	65
CBLAT	65
CBPS	65
CCGS	65
CCP2	65
CD2t3pp	65
CDGR	65
CDPMEK	65
CFAS160E	65
CFAS160G	65
CFAS180E	65
CFAS180G	65
CHORM	65
CHORS	65
CHRPL	65
CLPNS_ZM	65
CLt3_2pp	65
CMPA	65
COBALT2t3pp	65
CPH4S	65
CPPPGO	65
CPPPGO2	65
CS	65
CTPS2	65
CU1abcpp	65
CYNTt2pp	65
CYOR_Q10	65
CYSDS	65
CYSS	65
CYSTL	65
CYSTRS	65
CYTBDpp_Q10	65
CYTD	65
CYTK1	65
CYTK2	65
DADA	65
DADK	65
DAPDC	65
DAPE	65
DASYN_ZM	65
DB4PS	65
DBTS	65
DCTPD	65
DCYTD	65
DDPA	65
DGK1	65
DHAD1	65
DHAD2	65
DHDPRy	65
DHDPS	65
DHFR	65
DHFS	65
DHNCOAT	65
DHNPA2r	65
DHORD10	65
DHORDfum	65
DHORTS	65
DHPHM	65
DHPPDA2	65
DHPS2	65
DHQS	65
DHQTi	65
DMATT	65
DMBZLM	65
DMMBLHX	65
DMPHHX	65
DMPPS	65
DMQ10MT	65
DPCOAK	65
DPHHX	65
DPPS	65
DPR	65
DTMPK	65
DURIK1	65
DUTPDP	65
DXPRIi	65
DXPS	65
E4PD	65
EAR100x	65
EAR100y	65
EAR120x	65
EAR120y	65
EAR121x	65
EAR121y	65
EAR140x	65
EAR140y	65
EAR141x	65
EAR141y	65
EAR160x	65
EAR160y	65
EAR161x	65
EAR161y	65
EAR180x	65
EAR180y	65
EAR181x	65
EAR181y	65
EAR40x	65
EAR40y	65
EAR60x	65
EAR60y	65
EAR80x	65
EAR80y	65
EDA	65
EDD	65
EGMEACPR	65
ENO	65
EPMEACPR	65
ETHAtpp	65
ETHSO3abcpp	65
FADRx2	65
FALDH2	65
FBA	65
FBP	65
FCLT	65
FE2abcpp	65
FEROpp	65
FFSD	65
FFSDex	65
FFSTex	65
FLDR2	65
FLVR	65
FMETTRS	65
FMNAT	65
FMNRx2	65
FNOR	65
FRUtpp	65
FTHFCL	65
FTHFLi	65
FUM	65
G15LLHpp	65
G1PACT	65
G2PP	65
G3PAT_ZM	65
G3PD2	65
G5SD	65
G6PDH2r	65
G6PDH2xr	65
GALM2pp	65
GALUi	65
GAPD	65
GARFT	65
GDPDPK	65
GDPTPDP	65
GF6PTA	65
GFORpp	65
GHMT2r	65
GK1	65
GLCDpp_Q10	65
GLCNt2rpp	65
GLCtpp	65
GLNS	65
GLNTRS	65
GLU5K	65
GLUCYS	65
GLUN	65
GLUNpp	65
GLUPRT	65
GLUR	65
GLUSy	65
GLUTRS	65
GLYCK2	65
GLYCLTDx	65
GLYCLTDy	65
GLYOX	65
GLYTRS	65
GMPS2	65
GNK	65
GPDDA1pp	65
GPDDA2pp	65
GPDDA3pp	65
GPDDA4pp	65
GPDDA5pp	65
GRTT	65
GRXR	65
GTHOr	65
GTHRDHpp	65
GTHS	65
GTPCI	65
GTPCII2	65
GUAD	65
GUAPRT	65
HBZDPT	65
HCITS	65
HCO3E	65
HEX1	65
HEX7	65
HISTD	65
HISTP	65
HISTRS	65
HMBS	65
HMPK1	65
HPN1	65
HPN2	65
HPN4	65
HPN5	65
HPN6	65
HPPK2	65
HPYRRx	65
HPYRRy	65
HSDy	65
HSERTA	65
HSK	65
HSTPT	65
HXPRT	65
ICDHyr	65
ICHORT	65
ICYSDS	65
IG3PS	65
IGPDH	65
IGPS	65
ILETA	65
ILETRS	65
IMPC	65
IMPD	65
IPDPS	65
IPMD	65
IPPMIa	65
IPPMIb	65
IPPS	65
ISETACabcpp	65
K2L4Aabctex	65
KARA1	65
KARA2	65
KAS14	65
KAS15	65
KDOCT2	65
KDOPS	65
Kt2pp	65
LACZ	65
LALADGLUtpp	65
LALALGLUtpp	65
LDH_D	65
LDH_D2_Q10	65
LEUTAi	65
LEUTRS	65
LGTHL	65
LIPOCT	65
LIPOS	65
LYSTRS	65
LYSt3pp	65
MALCOAMT	65
MALTATr	65
MAN1PT	65
MAN1PT2	65
MAN6PI	65
MCOATA	65
MCPST	65
ME1	65
MECDPDH5	65
MECDPS	65
MEPCT	65
METAT	65
METB1	65
METS	65
METSOXR1	65
METTRS	65
MG2t3_2pp	65
MI1PP	65
MN2t3pp	65
MNLDH2	65
MNLDHr	65
MOHMT	65
MSO3abcpp	65
MTHFC	65
MTHFD	65
MTHFR2	65
NADDP	65
NADH5_Q10	65
NADK	65
NADS1	65
NAt3_2pp	65
NDPK1	65
NDPK2	65
NDPK3	65
NDPK4	65
NDPK5	65
NDPK6	65
NDPK7	65
NDPK8	65
NFORGLUAH	65
NI2t3pp	65
NIT1b	65
NMNAT	65
NMNPtpp	65
NNATr	65
NNDPR	65
NTD1	65
NTD10	65
NTD11	65
NTD12	65
NTD2	65
NTD3	65
NTD4	65
NTD5	65
NTD6	65
NTD7	65
NTD8	65
NTD9	65
NTP3pp	65
NTPP1	65
NTPP10	65
NTPP11	65
NTPP2	65
NTPP3	65
NTPP4	65
NTPP5	65
NTPP6	65
NTPP7	65
NTPP8	65
NTPP9	65
NTPTP1	65
NTPTP2	65
NTRLASE	65
NTRLASE2	65
NTRLASE3	65
OAADC	65
OBTFL	65
OCBT	65
OGMEACPD	65
OGMEACPR	65
OGMEACPS	65
OHPBAT	65
OMPDC	65
OPMEACPD	65
OPMEACPR	65
OPMEACPS	65
ORNCD	65
ORNDC	65
ORNTAC	65
ORPT	65
OXGDC	65
P5CR	65
PANTS	65
PAPPT3	65
PAPSR	65
PAPSR2	65
PDH	65
PDX5POi	65
PDX5PS	65
PEPTIDOr_ZM	65
PERD	65
PFL	65
PGAMT	65
PGCD	65
PGI	65
PGK	65
PGL	65
PGLYCP	65
PGM	65
PGMT	65
PGSA_ZM	65
PHETA1	65
PHETRS	65
PHYTSpp	65
PIuabcpp	65
PMANM	65
PMEACPE	65
PMPK	65
PNTK	65
PPA	65
PPA2	65
PPBNGS	65
PPC	65
