Reaction	Complexes
2DGLCNR	ZMO0788-MONOMER OR ZMO1284-MONOMER
3HAD100	ZMO1146-MONOMER
3HAD120	ZMO1146-MONOMER
3HAD121	ZMO1146-MONOMER
3HAD140	ZMO1146-MONOMER
3HAD141	ZMO1146-MONOMER
3HAD160	ZMO1146-MONOMER
3HAD161	ZMO1146-MONOMER
3HAD180	ZMO1146-MONOMER
3HAD181	ZMO1146-MONOMER
3HAD40	ZMO1146-MONOMER
3HAD60	ZMO1146-MONOMER
3HAD80	ZMO1146-MONOMER
3OAR100	ZMO1222-MONOMER
3OAR120	ZMO1222-MONOMER
3OAR121	ZMO1222-MONOMER
3OAR140	ZMO1222-MONOMER
3OAR141	ZMO1222-MONOMER
3OAR160	ZMO1222-MONOMER
3OAR161	ZMO1222-MONOMER
3OAR180	ZMO1222-MONOMER
3OAR181	ZMO1222-MONOMER
3OAR40	ZMO1222-MONOMER
3OAR60	ZMO1222-MONOMER
3OAR80	ZMO1222-MONOMER
3OAS100	ZMO1278-MONOMER
3OAS120	ZMO1278-MONOMER
3OAS121	ZMO1278-MONOMER
3OAS140	ZMO1278-MONOMER
3OAS141	ZMO1278-MONOMER
3OAS160	ZMO1278-MONOMER
3OAS161	ZMO1278-MONOMER
3OAS180	ZMO1278-MONOMER
3OAS181	ZMO1278-MONOMER
3OAS60	ZMO1278-MONOMER
3OAS80	ZMO1278-MONOMER
4HTHRS	ZMO1891-MONOMER_mod_pydx5p(1)
A5PISO	ZMO1530-MONOMER
ACCOAC	CPLX_ACCOAC-0
ACGK	ZMO1494-MONOMER
ACGS	ZMO0923-MONOMER
ACHBS	CPLX_ACHBS-0 OR CPLX_ACHBS-1
ACLS	CPLX_ACHBS-0 OR CPLX_ACHBS-1
ACM6PH	ZMO1294-MONOMER
ACOATA	CPLX_ACOATA-0
ACONTa	ZMO0543-MONOMER_mod_4fe4s(1)
ACONTb	ZMO0543-MONOMER_mod_4fe4s(1)
ACOTA	ZMO0408-MONOMER_mod_pydx5p(1)
ACPPAT120	CPLX_ACPPAT120-0
ACPPAT140	CPLX_ACPPAT120-0
ACPPAT141	CPLX_ACPPAT120-0
ACPPAT160	CPLX_ACPPAT120-0
ACPPAT161	CPLX_ACPPAT120-0
ACPPAT180	CPLX_ACPPAT120-0
ACPPAT181	CPLX_ACPPAT120-0
ACPS1	ZMO1709-MONOMER_mod_mg2(1) OR ZMO1709-MONOMER_mod_mn2(1)
ADA	ZMO0971-MONOMER OR ZMO0655-MONOMER
ADCL	ZMO1277-MONOMER
ADCS	CPLX_ADCS-0
ADEt2rpp	ZMO0969-MONOMER
ADK1	ZMO0538-MONOMER_mod_mg2(1)
ADK3	ZMO0538-MONOMER_mod_mg2(1)
ADK4	ZMO0538-MONOMER_mod_mg2(1)
ADNK1	ZMO0538-MONOMER_mod_mg2(1)
ADPRDP	ZMO1041-MONOMER
ADSK	ZMO0003-MONOMER_mod_mg2(1) OR ZMO0003-MONOMER_mod_mn2(1) OR ZMO0003-MONOMER_mod_cobalt2(1) OR ZMO0003-MONOMER_mod_cd2(1)
ADSL1r	ZMO0662-MONOMER
ADSL2r	ZMO0662-MONOMER
ADSS	ZMO1687-MONOMER_mod_mg2(1)
AGDC	ZMO0962-MONOMER_mod_zn2(1)
AGM3PApp	ZMO0195-MONOMER
AGM3PH	ZMO1171-MONOMER
AGM3Pt2pp	ZMO0581-MONOMER
AGM4PApp	ZMO0195-MONOMER
AGM4PH	ZMO1171-MONOMER
AGM4Pt2pp	ZMO0581-MONOMER
AGMDA	ZMO1369-MONOMER
AGMH	ZMO1171-MONOMER
AGMT	ZMO0432-MONOMER
AGMt2pp	ZMO0581-MONOMER
AGPAT_ZM	ZMO0419-MONOMER
AGPR	ZMO0804-MONOMER
AHCi	ZMO0182-MONOMER
AICART	ZMO0027-MONOMER
AIRC2	ZMO1421-MONOMER
AIRC3	ZMO1420-MONOMER
AKP1	ZMO0938-MONOMER
ALAALAr	ZMO0834-MONOMER
ALAGLUE	ZMO1228-MONOMER
ALAR	ZMO1592-MONOMER
ALAS	ZMO1198-MONOMER
ALATA_D2	ZMO1201-MONOMER OR ZMO1347-MONOMER_mod_pydx5p(1)
ALATA_L	ZMO1727-MONOMER
ALATA_L2	ZMO1347-MONOMER_mod_pydx5p(1) OR ZMO1201-MONOMER
ALATRS	ZMO0845-MONOMER
ALCD19	ZMO1722-MONOMER
ALCD2x	ZMO1236-MONOMER OR ZMO1722-MONOMER OR ZMO1596-MONOMER
ALLPI	ZMO1200-MONOMER
ALR2	ZMO1773-MONOMER
AMAOTr	ZMO1918-MONOMER_mod_pydx5p(1)
AMPMS2	ZMO0172-MONOMER
AMPTASECG	ZMO1309-MONOMER_mod_zn2(1) OR ZMO1345-MONOMER OR ZMO0806-MONOMER OR ZMO1776-MONOMER
AMPTASEPG	ZMO1309-MONOMER_mod_zn2(1) OR ZMO1345-MONOMER OR ZMO0806-MONOMER OR ZMO1776-MONOMER
ANHMK	ZMO1642-MONOMER_mod_mg2(1)
ANPRT	ZMO0200-MONOMER
ANS	CPLX_ANS-0
AOXSr2	ZMO1917-MONOMER
APG3PAT120	ZMO1195-MONOMER
APG3PAT140	ZMO1195-MONOMER
APG3PAT141	ZMO1195-MONOMER
APG3PAT160	ZMO1195-MONOMER
APG3PAT161	ZMO1195-MONOMER
APG3PAT180	ZMO1195-MONOMER
APG3PAT181	ZMO1195-MONOMER
APRAUR	ZMO0476-MONOMER
ARGN	ZMO0432-MONOMER
ARGSL	ZMO1770-MONOMER
ARGSS	ZMO1036-MONOMER_mod_mg2(1)
ARGTRS	ZMO0843-MONOMER_mod_mg2(1)
ARGt3pp	ZMO1973-MONOMER
ASAD	ZMO1407-MONOMER
ASNNpp	ZMO1683-MONOMER
ASNTRS	ZMO0782-MONOMER OR ZMO0784-MONOMER
ASP4DC	ZMO1682-MONOMER
ASPCT	ZMO0791-MONOMER
ASPK	ZMO1653-MONOMER
ASPO3_Q10	ZMO0144-MONOMER
ASPO5	ZMO0144-MONOMER
ASPO6	ZMO0144-MONOMER
ASPR	ZMO0371-MONOMER OR ZMO1158-MONOMER
ASPTA	ZMO0342-MONOMER
ASPTRS	ZMO0715-MONOMER
AST	ZMO0657-MONOMER
ATPPRT	ZMO1550-MONOMER
ATPS4rpp	CPLX_ATPS4rpp-0
BACCL	ZMO1868-MONOMER
BPNT	ZMO0734-MONOMER_mod_mg2(1)
BTS5	ZMO0094-MONOMER_mod_4fe4s(1)_mod_2fe2s(1)
BUTSO3abcpp	CPLX_BUTSO3abcpp-0
CAt6pp	ZMO0866-MONOMER
CBLAT	ZMO1495-MONOMER
CBPS	ZMO1618-MONOMER
CCGS	ZMO1023-MONOMER
CCP2	ZMO1136-MONOMER
CD2t3pp	ZMO0866-MONOMER
CDGR	ZMO0326-MONOMER
CDPMEK	ZMO1182-MONOMER
CFAS160E	ZMO1033-MONOMER_mod_hco3(1)
CFAS160G	ZMO1033-MONOMER_mod_hco3(1)
CFAS180E	ZMO1033-MONOMER_mod_hco3(1)
CFAS180G	ZMO1033-MONOMER_mod_hco3(1)
CHORM	ZMO0563-MONOMER
CHORS	ZMO1693-MONOMER_mod_fmnh2(1) OR ZMO1693-MONOMER_mod_fadh2(1)
CHRPL	ZMO0563-MONOMER
CLPNS_ZM	ZMO0314-MONOMER
CLt3_2pp	ZMO0547-MONOMER OR ZMO0841-MONOMER OR ZMO0866-MONOMER
CMPA	ZMO1370-MONOMER
COBALT2t3pp	ZMO0866-MONOMER
CPH4S	ZMO0818-MONOMER
CPPPGO	ZMO0951-MONOMER_mod_mn2(1)
CPPPGO2	ZMO1364-MONOMER_mod_4fe4s(1) OR ZMO0012-MONOMER
CS	ZMO1963-MONOMER
CTPS2	ZMO0462-MONOMER
CU1abcpp	ZMO0915-MONOMER
CYNTt2pp	ZMO0052-MONOMER
CYOR_Q10	CPLX_CYOR_Q10-0
CYSDS	ZMO0327-MONOMER_mod_pydx5p(1)
CYSS	ZMO0748-MONOMER_mod_pydx5p(2) OR ZMO0821-MONOMER
CYSTL	ZMO0327-MONOMER_mod_pydx5p(1)
CYSTRS	ZMO0186-MONOMER_mod_zn2(1)
CYTBDpp_Q10	CPLX_CYTBDpp_Q10-0
CYTD	ZMO0864-MONOMER
CYTK1	ZMO1797-MONOMER_mod_mg2(1)
CYTK2	ZMO1797-MONOMER_mod_mg2(1)
DADA	ZMO0971-MONOMER OR ZMO0655-MONOMER
DADK	ZMO0538-MONOMER_mod_mg2(1)
DAPDC	ZMO1768-MONOMER_mod_pydx5p(1)
DAPE	ZMO1072-MONOMER
DASYN_ZM	ZMO1151-MONOMER_mod_mg2(1)_mod_k(1)
DB4PS	ZMO0474-MONOMER_mod_mg2(1)
DBTS	ZMO1915-MONOMER_mod_mg2(1)
DCTPD	ZMO0863-MONOMER
DCYTD	ZMO0864-MONOMER
DDPA	ZMO0187-MONOMER
DGK1	ZMO0433-MONOMER_mod_mg2(1)
