Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
PA1540-MONOMER	Inner_Membrane	PA1540()	Inner_Membrane	r
CPLX_SPMDt3pp-0	Inner_Membrane	PA1540()	Inner_Membrane	r
PA1541-MONOMER	Inner_Membrane	PA1541()	Inner_Membrane	r
CPLX_SPMDt3pp-0	Inner_Membrane	PA1541()	Inner_Membrane	r
PA1337-MONOMER	Periplasm	PA1337()	Periplasm	s
PA4974-MONOMER	Outer_Membrane	PA4974()	Outer_Membrane	sb
CPLX_MINCYCtpp-0	Outer_Membrane	PA4974()	Outer_Membrane	sb
CPLX_RFAMPtpp-0	Outer_Membrane	PA4974()	Outer_Membrane	sb
PA2478-MONOMER	Inner_Membrane	PA2478()	Inner_Membrane	r
PA3872-MONOMER	Inner_Membrane	PA3872()	Inner_Membrane	r
CPLX_NO3R1pp_q8-0	Inner_Membrane	PA3872()	Inner_Membrane	r
PA0917-MONOMER	Inner_Membrane	PA0917()	Inner_Membrane	r
PA4415-MONOMER	Inner_Membrane	PA4415()	Inner_Membrane	r
PA2155-MONOMER	Periplasm	PA2155()	Periplasm	s
PA4113-MONOMER	Inner_Membrane	PA4113()	Inner_Membrane	r
PA3047-MONOMER	Periplasm	PA3047()	Periplasm	s
PA5358-MONOMER	Inner_Membrane	PA5358()	Inner_Membrane	r
PA2924-MONOMER	Inner_Membrane	PA2924()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	PA2924()	Inner_Membrane	r
PA2925-MONOMER	Inner_Membrane	PA2925()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	PA2925()	Inner_Membrane	r
PA0476-MONOMER	Inner_Membrane	PA0476()	Inner_Membrane	r
PA1320-MONOMER	Inner_Membrane	PA1320()	Inner_Membrane	r
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	PA1320()	Inner_Membrane	r
PA1318-MONOMER	Inner_Membrane	PA1318()	Inner_Membrane	p
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	PA1318()	Inner_Membrane	p
PA1319-MONOMER	Inner_Membrane	PA1319()	Inner_Membrane	r
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	PA1319()	Inner_Membrane	r
PA1317-MONOMER	Inner_Membrane	PA1317()	Inner_Membrane	p
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	PA1317()	Inner_Membrane	p
PA3020-MONOMER	Periplasm	PA3020()	Periplasm	s
PA5065-MONOMER	Inner_Membrane	PA5065()	Inner_Membrane	r
PA3761-MONOMER	Inner_Membrane	PA3761()	Inner_Membrane	r
CPLX_ACGAptspp-0	Inner_Membrane	PA3761()	Inner_Membrane	r
PA5434-MONOMER	Inner_Membrane	PA5434()	Inner_Membrane	r
PA0283-MONOMER	Inner_Membrane	PA0283()	Periplasm	s
CPLX_CRO4abcpp-0	Inner_Membrane	PA0283()	Periplasm	s
PA0281-MONOMER	Inner_Membrane	PA0281()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	PA0281()	Inner_Membrane	r
PA0282-MONOMER	Inner_Membrane	PA0282()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	PA0282()	Inner_Membrane	r
PA3581-MONOMER	Inner_Membrane	PA3581()	Inner_Membrane	r
PA0241-MONOMER	Inner_Membrane	PA0241()	Inner_Membrane	r
PA1112-MONOMER	Periplasm	PA1112()	Periplasm	s
PA3651-MONOMER	Inner_Membrane	PA3651()	Inner_Membrane	r
PA1971-MONOMER	Inner_Membrane	PA1971()	Inner_Membrane	r
PA4562-MONOMER	Inner_Membrane	PA4562()	Inner_Membrane	r
CPLX_MPTG-0	Inner_Membrane	PA4562()	Inner_Membrane	r
CPLX_MPTG-1	Inner_Membrane	PA4562()	Inner_Membrane	r
CPLX_MPTG-2	Inner_Membrane	PA4562()	Inner_Membrane	r
PA1958-MONOMER	Inner_Membrane	PA1958()	Inner_Membrane	r
PA2416-MONOMER	Periplasm	PA2416()	Periplasm	s
PA1207-MONOMER	Inner_Membrane	PA1207()	Inner_Membrane	r
PA3690-MONOMER	Inner_Membrane	PA3690()	Inner_Membrane	r
PA5531-MONOMER	Outer_Membrane	PA5531()	Inner_Membrane	r
CPLX_FE3DHBZStonex-0	Outer_Membrane	PA5531()	Inner_Membrane	r
CPLX_FE3DHBZStonex-1	Outer_Membrane	PA5531()	Inner_Membrane	r
CPLX_SALCHS4FEtonex-0	Outer_Membrane	PA5531()	Inner_Membrane	r
CPLX_SALCHS4FEtonex-1	Outer_Membrane	PA5531()	Inner_Membrane	r
CPLX_SALCHS4FEtonex-2	Outer_Membrane	PA5531()	Inner_Membrane	r
PA0970-MONOMER	Outer_Membrane	PA0970()	Inner_Membrane	s
CPLX_FE3DHBZStonex-0	Outer_Membrane	PA0970()	Inner_Membrane	s
CPLX_FE3DHBZStonex-1	Outer_Membrane	PA0970()	Inner_Membrane	s
PA2688-MONOMER	Outer_Membrane	PA2688()	Outer_Membrane	sb
CPLX_SALCHS4FEtonex-2	Outer_Membrane	PA2688()	Outer_Membrane	sb
PA1581-MONOMER	Inner_Membrane	PA1581()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	PA1581()	Inner_Membrane	r
PA1582-MONOMER	Inner_Membrane	PA1582()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	PA1582()	Inner_Membrane	r
PA3267-MONOMER	Inner_Membrane	PA3267()	Inner_Membrane	r
PA2637-MONOMER	Inner_Membrane	PA2637()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	PA2637()	Inner_Membrane	p
PA2648-MONOMER	Inner_Membrane	PA2648()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PA2648()	Inner_Membrane	r
PA2645-MONOMER	Inner_Membrane	PA2645()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PA2645()	Inner_Membrane	r
PA2646-MONOMER	Inner_Membrane	PA2646()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	PA2646()	Inner_Membrane	p
PA2647-MONOMER	Inner_Membrane	PA2647()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PA2647()	Inner_Membrane	r
PA2643-MONOMER	Inner_Membrane	PA2643()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PA2643()	Inner_Membrane	r
PA2649-MONOMER	Inner_Membrane	PA2649()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PA2649()	Inner_Membrane	r
