complex_id,name,genes,mod,replace
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,PA2739(2) AND PA2740(2),,
CPLX_3HPAOX-0,HPA monooxygenase,PA4092() AND PA4091(),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,PA4847(2) AND PA3112(2) AND PA3639(2) AND PA4848(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),PA0337() AND PA3761() AND PA4466() AND PA3760(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,PA4695(2) AND PA4696(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,PA2966() AND PA1609(),,
CPLX_ACONCtupp-0,Cisaconitate transport periplasm,PA0754() AND PA0752() AND PA0753(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),PA2966() AND PA2969(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,PA4442(4) AND PA4443(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,PA5425() AND PA5426(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),PA4234() AND PA3838(),,
CPLX_ALAabcpp-1,L-alanine transport via ABC system (periplasm),PA4234() AND PA4859(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),PA4502() AND PA4503() AND PA4504() AND PA4505() AND PA4506(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),PA4506(1) AND PA4505(1) AND PA4504(1) AND PA4503(1) AND PA4496(1),,
CPLX_ANS-0,Anthranilate synthase,PA1001() AND PA1002(),,
CPLX_ANS-1,Anthranilate synthase,PA0609() AND PA0649(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,PA1756() AND PA5240(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),PA0892() AND PA0890() AND PA0889() AND PA0888(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),PA1342() AND PA1341() AND PA1340() AND PA1339(),,
CPLX_AST-0,Arginine succinyltransferase,PA0897() AND PA0896(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,PA4449() AND PA4939(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),PA5556() AND PA5560() AND PA5553() AND PA5554() AND PA5559() AND PA5558() AND PA5555() AND PA5557() AND PA5561(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,PA2000(2) AND PA1999(2),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),PA3443(2) AND PA3442(2) AND PA3445(),,
CPLX_BUTSO3abcpp-1,Butanesulfonate transport via ABC system (periplasm),PA3938(1) AND PA3937(2) AND PA3936(2),,
CPLX_BZ12DOX-0,"Benzoate 1,2-dioxygenase",PA2518() AND PA2517() AND PA2516(),,
