amino_acid	enzyme
ala__L_c	MT1_1890-MONOMER
arg__L_c	MT1_4238-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	MT1_3186-MONOMER
cys__L_c	MT1_2528-MONOMER
gln__L_c	MT1_2529-MONOMER
glu__L_c	MT1_3099-MONOMER
gly_c	MT1_3766-MONOMER
his__L_c	MT1_1572-MONOMER
ile__L_c	generic_ile_ligase
leu__L_c	generic_leu_ligase
lys__L_c	MT1_1612-MONOMER
met__L_c	MT1_3489-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	MT1_3192-MONOMER
ser__L_c	MT1_2112-MONOMER
thr__L_c	MT1_2009-MONOMER
trp__L_c	generic_trp_ligase
tyr__L_c	MT1_4147-MONOMER
val__L_c	MT1_1542-MONOMER
