Reaction	Complexes
2AGPE140tipp	MT1_3124-MONOMER
2AGPE141tipp	MT1_3124-MONOMER
2AGPG140tipp	MT1_3124-MONOMER
2AGPG141tipp	MT1_3124-MONOMER
2MAHMP	MT1_2097-MONOMER
3HAD100	MT1_3332-MONOMER
3HAD120	MT1_3332-MONOMER
3HAD121	MT1_3332-MONOMER
3HAD140	MT1_3332-MONOMER
3HAD141	MT1_3332-MONOMER
3HAD160	MT1_3332-MONOMER
3HAD161	MT1_3332-MONOMER
3HAD180	MT1_3332-MONOMER
3HAD181	MT1_3332-MONOMER
3HAD40	MT1_3332-MONOMER
3HAD60	MT1_3332-MONOMER
3HAD80	MT1_3332-MONOMER
3OADPCOAT	CPLX_BUTCT-0
3OAR100	MT1_3234-MONOMER
3OAR120	MT1_3234-MONOMER
3OAR121	MT1_3234-MONOMER
3OAR140	MT1_3234-MONOMER
3OAR141	MT1_3234-MONOMER
3OAR160	MT1_3234-MONOMER
3OAR161	MT1_3234-MONOMER
3OAR180	MT1_3234-MONOMER
3OAR181	MT1_3234-MONOMER
3OAR40	MT1_3234-MONOMER
3OAR60	MT1_3234-MONOMER
3OAR80	MT1_3234-MONOMER
3OAS100	MT1_3232-MONOMER OR MT1_2035-MONOMER
3OAS120	MT1_3232-MONOMER OR MT1_2035-MONOMER
3OAS121	MT1_2035-MONOMER
3OAS140	MT1_3232-MONOMER OR MT1_2035-MONOMER
3OAS141	MT1_2035-MONOMER
3OAS160	MT1_3232-MONOMER OR MT1_2035-MONOMER
3OAS161	MT1_2035-MONOMER
3OAS180	MT1_2035-MONOMER
3OAS181	MT1_2035-MONOMER
3OAS60	MT1_3232-MONOMER OR MT1_2035-MONOMER
3OAS80	MT1_3232-MONOMER OR MT1_2035-MONOMER
3OXCOAT	MT1_2228-MONOMER
3PEPTabcpp	MT1_2584-MONOMER OR MT1_2585-MONOMER OR MT1_2586-MONOMER OR MT1_2587-MONOMER
3_4DHBZt2	MT1_4359-MONOMER
4HTHRS	MT1_3546-MONOMER_mod_pydx5p(1)
4PEPTabcpp	MT1_2584-MONOMER OR MT1_2585-MONOMER OR MT1_2586-MONOMER OR MT1_2587-MONOMER
5HPUDICDC_c	MT1_1439-MONOMER
A5PISO	MT1_1256-MONOMER
