complex_id,name,genes,mod,replace
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,MT1_2014(2) AND MT1_2013(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,MT1_1328(2) AND MT1_1936(2) AND MT1_3327(2) AND MT1_1327(2),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,MT1_1344(2) AND MT1_1343(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,MT1_3233() AND MT1_2035(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),MT1_3233() AND MT1_3236(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,MT1_1271(4) AND MT1_1270(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,MT1_0587() AND MT1_0586(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),MT1_4102() AND MT1_1007(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),MT1_2122(1) AND MT1_2123(1) AND MT1_2124(1) AND MT1_2125(1) AND MT1_2126(1),,
CPLX_ANS-0,Anthranilate synthase,MT1_4165() AND MT1_4163(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,MT1_2070() AND MT1_4243(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,MT1_1265() AND MT1_1109(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,MT1_2221() AND MT1_2222(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,MT1_0777() AND MT1_0778() AND MT1_0779(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,MT1_1257() AND MT1_1258() AND MT1_1259(),,
CPLX_CPMPS-0,Cyclic pyranopterin monophosphate synthase,MT1_3577() AND MT1_4071(),,
CPLX_CU1Opp-0,Cuprous Oxidase (Cu+1),MT1_0381() AND MT1_0379(),,
CPLX_CYO1_KT-0,Ubiquinol   cytochrome c reductase,MT1_1286() AND MT1_1287() AND MT1_1288(),,
CPLX_DKMPPD2_PA-0,,MT1_2677() AND MT1_2678(),,
CPLX_ETHAAL-0,Ethanolamine ammonia-lyase,MT1_1081(6) AND MT1_1080(6),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),MT1_0642() AND MT1_0643() AND MT1_1598(),,
CPLX_FLDR2-0,Flavodoxin reductase (NADPH),MT1_3362() AND MT1_3611(),,
CPLX_GALURt2rpp-0,"D-galacturonate transport via proton symport, reversible (periplasm)",MT1_0481() AND MT1_0483() AND MT1_0482(),,
CPLX_GLCabcpp-0,D-glucose transport via ABC system (periplasm),MT1_2760() AND MT1_2759() AND MT1_2758() AND MT1_2757(),,
CPLX_GLUSx-0,Glutamate synthase  NADH2,MT1_4223(4) AND MT1_4224(4),,
CPLX_HSERTA-0,Homoserine O trans acetylase,MT1_0748() AND MT1_0747(),,
CPLX_HXAND-0,Hypoxanthine dehydrogenase,MT1_1447() AND MT1_1448() AND MT1_1446(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,MT1_0622(1) AND MT1_0619(1),,
CPLX_ILEabcpp-0,L-isoleucine transport via ABC system (periplasm),MT1_1455(1) AND MT1_1453(1) AND MT1_1454(1) AND MT1_1451(1) AND MT1_1452(1),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,MT1_1930(1) AND MT1_1929(1),,
CPLX_KAS13-0,B-ketoacyl synthetase (octadecanoate),MT1_3235() AND MT1_3232() AND MT1_3234() AND MT1_3332(),,
CPLX_LYSabcpp-0,L-lysine transport via ABC system (periplasm),MT1_0593() AND MT1_0594() AND MT1_0595() AND MT1_0596(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,MT1_0411() AND MT1_3233(),,
CPLX_MCOATA-1,Malonyl-CoA-ACP transacylase,MT1_3233() AND MT1_3235(),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,MT1_0880() AND MT1_4243(),,
CPLX_METSOXR1-1,L-methionine-S-oxide reductase,MT1_0880() AND MT1_1046(),,
CPLX_MPTS-0,Molybdopterin synthase,MT1_3576() AND MT1_3575(),,
CPLX_OCBT-0,Ornithine carbamoyltransferase,MT1_1599() AND MT1_0739(),,
CPLX_OPHBDC-0,Octaprenyl-hydroxybenzoate decarboxylase,MT1_4241() AND MT1_1085(),,
CPLX_PAPSR-0,Phosphoadenylyl-sulfate reductase (thioredoxin),MT1_2070() AND MT1_1046(),,
CPLX_PAPSR2-0,Phosphoadenylyl-sulfate reductase (glutaredoxin),MT1_2070() AND MT1_0630(),,
CPLX_PC-0,Pyruvate carboxylase,MT1_0069() AND MT1_0068(),,
CPLX_PDX5PS-0,Pyridoxine 5'-phosphate synthase,MT1_4182() AND MT1_3513(),,
CPLX_PHEMEabcpp-0,Protoheme transport via ABC system (periplasm),MT1_1809() AND MT1_1810() AND MT1_1811(),,
CPLX_PIuabcpp-0,"Phosphate transport via ABC system (uptake, periplasm)",MT1_0684() AND MT1_0685() AND MT1_0683() AND MT1_0682(),,
CPLX_PTRCabcpp-0,Putrescine transport via ABC system (periplasm),MT1_4172() AND MT1_4173() AND MT1_4171() AND MT1_4170() AND MT1_4172(),,
CPLX_PTRCabcpp-1,Putrescine transport via ABC system (periplasm),MT1_0473() AND MT1_0474() AND MT1_0475() AND MT1_0476(),,
CPLX_PTRCabcpp-2,Putrescine transport via ABC system (periplasm),MT1_0476(1) AND MT1_0475(1) AND MT1_0472(1) AND MT1_0474(2),,
CPLX_PTRCabcpp-3,Putrescine transport via ABC system (periplasm),MT1_0474() AND MT1_0475() AND MT1_0476(),,
CPLX_PTRCabcpp-4,Putrescine transport via ABC system (periplasm),MT1_0844() AND MT1_0846() AND MT1_0845() AND MT1_0848(),,
CPLX_RNDR1-0,Ribonucleoside-diphosphate reductase (ADP),MT1_1710() AND MT1_1711() AND MT1_4243(),,
CPLX_THD2pp-0,NAD(P) transhydrogenase (periplasm),MT1_0170() AND MT1_0168() AND MT1_0169(),,
CPLX_THIORDXi-0,Hydrogen peroxide reductase (thioredoxin),MT1_3167() AND MT1_4243(),,
CPLX_THIORDXi-1,Hydrogen peroxide reductase (thioredoxin),MT1_3167() AND MT1_1046(),,
CPLX_THIORDXi-2,Hydrogen peroxide reductase (thioredoxin),MT1_1399() AND MT1_4243(),,
CPLX_THIORDXi-3,Hydrogen peroxide reductase (thioredoxin),MT1_1399() AND MT1_1046(),,
CPLX_THIORDXi-4,Hydrogen peroxide reductase (thioredoxin),MT1_2601() AND MT1_4243(),,
CPLX_THIORDXi-5,Hydrogen peroxide reductase (thioredoxin),MT1_2601() AND MT1_1046(),,
CPLX_TRDR-0,Thioredoxin reductase (NADPH),MT1_4243() AND MT1_2106(),,
CPLX_TRPS1-0,Tryptophan synthase (indoleglycerol phosphate),MT1_0231(2) AND MT1_0230(2),,
CPLX_UREA-0,Urease,MT1_0996() AND MT1_0993() AND MT1_0992() AND MT1_0997() AND MT1_0982() AND MT1_0981() AND MT1_0980() AND MT1_0979(),,
CPLX_UREAabcpp-0,Urea transport via ABC system (periplasm),MT1_1008() AND MT1_1007() AND MT1_1006() AND MT1_1005() AND MT1_1004(),,
CPLX_GLYCL-0,Glycine Cleavage System,MT1_0645(1) AND MT1_2024(2) AND MT1_0644(1) AND MT1_0646(2),,
CPLX_ADCPS1-0,Adenosylcobinamide-phosphate synthase,MT1_1871() AND MT1_1870(),,
CPLX_MCCC-0,Methylcrotonoyl-CoA carboxylase,MT1_2256() AND MT1_2254(),,
CPLX_rxn12432-0,,MT1_0412() AND MT1_0413(),,
CPLX_rxn12206-0,,MT1_0405() AND MT1_0407() AND MT1_0408() AND MT1_0409(),,
CPLX_rxn13853-0,,MT1_2610() AND MT1_2611() AND MT1_2612() AND MT1_2613(),,
CPLX_rxn05542-0,,MT1_2125() AND MT1_2124() AND MT1_2123() AND MT1_2122(),,
CPLX_rxn12562-0,,MT1_0483() AND MT1_0355() AND MT1_0481(),,
CPLX_rxn13804cyt-0,,MT1_2386() AND MT1_2388(),,
CPLX_SUCOASr-0,,MT1_2025(2) AND MT1_2026(2),,
CPLX_GLYCTO1-0,Glycolate oxidase,MT1_4403() AND MT1_4404() AND MT1_4405(),,
CPLX_I4FE4ST-0,ISC [4Fe-4S] Transfer,MT1_1562() AND MT1_1561(),,
CPLX_SCYSDS-0,SUF Cysteine desulfuration,MT1_3212(2) AND MT1_3213(2),,
CPLX_I2FE2SR-0,ISC [2Fe-2S] regeneration,MT1_1560() AND MT1_1561(),,
CPLX_THZPSN3_PA-0,,MT1_0030() AND MT1_0735(),,
CPLX_MOADSUx-0,"MoaD sulfuration (nadh, assumed)",MT1_1560() AND MT1_3576(),,
