complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,PPTS312_05260(2) AND PPTS312_05270(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,PPTS312_35600(2) AND PPTS312_35610(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,PPTS312_10510(2) AND PPTS312_19740(2) AND PPTS312_16430(2) AND PPTS312_10500(2),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,PPTS312_47760(2) AND PPTS312_47770(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,PPTS312_19410() AND PPTS312_38580(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),PPTS312_19410() AND PPTS312_19380(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,PPTS312_46460(4) AND PPTS312_46470(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,PPTS312_04380() AND PPTS312_04390(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),PPTS312_09730() AND PPTS312_49860(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),PPTS312_14020() AND PPTS312_14000() AND PPTS312_13990() AND PPTS312_13980() AND PPTS312_13970(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),PPTS312_13970(1) AND PPTS312_13980(1) AND PPTS312_13990(1) AND PPTS312_14000(1) AND PPTS312_14050(1),,
CPLX_ANS-0,Anthranilate synthase,PPTS312_09090() AND PPTS312_09110(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,PPTS312_22610() AND PPTS312_03220(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),PPTS312_41030(1) AND PPTS312_41040(1) AND PPTS312_41020(1) AND PPTS312_41010(2),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),PPTS312_43910() AND PPTS312_43920() AND PPTS312_43930() AND PPTS312_43940(),,
CPLX_AST-0,Arginine succinyltransferase,PPTS312_40970() AND PPTS312_40980(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,PPTS312_14490() AND PPTS312_50300(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),PPTS312_04980() AND PPTS312_05020() AND PPTS312_04950() AND PPTS312_04960() AND PPTS312_05010() AND PPTS312_05000() AND PPTS312_04970() AND PPTS312_04990() AND PPTS312_05030(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,PPTS312_30970() AND PPTS312_30980(),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),PPTS312_07160() AND PPTS312_07190() AND PPTS312_07180(),,
CPLX_BZ12DOX-0,"Benzoate 1,2-dioxygenase",PPTS312_30570() AND PPTS312_30560() AND PPTS312_30550(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),PPTS312_07840() AND PPTS312_07850() AND PPTS312_07860(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,PPTS312_45250() AND PPTS312_45260() AND PPTS312_45270(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,PPTS312_14420() AND PPTS312_14430() AND PPTS312_14440(),,
CPLX_CPMPS-0,Cyclic pyranopterin monophosphate synthase,PPTS312_46580() AND PPTS312_42150(),,
CPLX_CRO4abcpp-0,Chromate transport via ABC system (periplasm),PPTS312_02770(1) AND PPTS312_02740(2) AND PPTS312_02750(1) AND PPTS312_02760(1),,
CPLX_CRO4abcpp-1,Chromate transport via ABC system (periplasm),PPTS312_02740() AND PPTS312_02760() AND PPTS312_02750() AND PPTS312_39800(),,
CPLX_CU1Opp-0,Cuprous Oxidase (Cu+1),PPTS312_10280() AND PPTS312_10260(),,
CPLX_CYO1_KT-0,Ubiquinol   cytochrome c reductase,PPTS312_46290() AND PPTS312_46280() AND PPTS312_46270(),,
CPLX_DURAD-0,Dihydrouracil dehydrogenase (NADP),PPTS312_37340() AND PPTS312_37330(),,
CPLX_ETHAAL-0,Ethanolamine ammonia-lyase,PPTS312_10350(6) AND PPTS312_10340(6),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),PPTS312_03020() AND PPTS312_03010() AND PPTS312_43830(),,
CPLX_FLDR2-0,Flavodoxin reductase (NADPH),PPTS312_16720() AND PPTS312_47120(),,
CPLX_GLCabcpp-0,D-glucose transport via ABC system (periplasm),PPTS312_14920() AND PPTS312_14930() AND PPTS312_14940() AND PPTS312_14950(),,
CPLX_GLUSx-0,Glutamate synthase  NADH2,PPTS312_01740(4) AND PPTS312_01750(4),,
CPLX_GLYBabcpp-0,Glycine betaine transport via ABC system (periplasm),PPTS312_17700() AND PPTS312_07840() AND PPTS312_07850(),,
CPLX_HSERTA-0,Homoserine O trans acetylase,PPTS312_01960() AND PPTS312_01970(),,
