Reaction	Complexes
1PPDCRc	PproGo58_14010-MONOMER
2AGPE140tipp	PproGo58_42620-MONOMER
2AGPE141tipp	PproGo58_42620-MONOMER
2AGPG140tipp	PproGo58_42620-MONOMER
2AGPG141tipp	PproGo58_42620-MONOMER
2HH24DDH1	PproGo58_32630-MONOMER
2MAHMP	PproGo58_37720-MONOMER
3HAD100	PproGo58_11620-MONOMER
3HAD120	PproGo58_11620-MONOMER
3HAD121	PproGo58_11620-MONOMER
3HAD140	PproGo58_11620-MONOMER
3HAD141	PproGo58_11620-MONOMER
3HAD160	PproGo58_11620-MONOMER
3HAD161	PproGo58_11620-MONOMER
3HAD180	PproGo58_11620-MONOMER
3HAD181	PproGo58_11620-MONOMER
3HAD40	PproGo58_11620-MONOMER
3HAD60	PproGo58_11620-MONOMER
3HAD80	PproGo58_11620-MONOMER
3HOXPACt2pp	PproGo58_32620-MONOMER
3OADPCOAT	CPLX_BUTCT-0
3OAR100	PproGo58_17600-MONOMER
3OAR120	PproGo58_17600-MONOMER
3OAR121	PproGo58_17600-MONOMER
3OAR140	PproGo58_17600-MONOMER
3OAR141	PproGo58_17600-MONOMER
3OAR160	PproGo58_17600-MONOMER
3OAR161	PproGo58_17600-MONOMER
3OAR180	PproGo58_17600-MONOMER
3OAR181	PproGo58_17600-MONOMER
3OAR40	PproGo58_17600-MONOMER
3OAR60	PproGo58_17600-MONOMER
3OAR80	PproGo58_17600-MONOMER
3OAS100	PproGo58_17620-MONOMER OR PproGo58_17070-MONOMER OR PproGo58_33300-MONOMER
3OAS120	PproGo58_17620-MONOMER OR PproGo58_17070-MONOMER OR PproGo58_33300-MONOMER
3OAS121	PproGo58_17070-MONOMER
3OAS140	PproGo58_17620-MONOMER OR PproGo58_17070-MONOMER OR PproGo58_33300-MONOMER
3OAS141	PproGo58_17070-MONOMER
3OAS160	PproGo58_17620-MONOMER OR PproGo58_17070-MONOMER OR PproGo58_33300-MONOMER
3OAS161	PproGo58_17070-MONOMER
3OAS180	PproGo58_17070-MONOMER
3OAS181	PproGo58_17070-MONOMER
3OAS60	PproGo58_17620-MONOMER OR PproGo58_17070-MONOMER OR PproGo58_33300-MONOMER
3OAS80	PproGo58_17620-MONOMER OR PproGo58_17070-MONOMER OR PproGo58_33300-MONOMER
3OXCOAT	PproGo58_13100-MONOMER
3OXOADPt_pp	PproGo58_13130-MONOMER
3PEPTabcpp	PproGo58_26950-MONOMER OR PproGo58_26940-MONOMER OR PproGo58_26930-MONOMER OR PproGo58_26920-MONOMER
3_4DHBZ1t_pp	PproGo58_13070-MONOMER
3_4DHBZt2	PproGo58_01890-MONOMER
4CMLCL_kt	PproGo58_13160-MONOMER OR PproGo58_08690-MONOMER
4HBHYOX	PproGo58_48840-MONOMER
4HBZtex	PproGo58_13170-MONOMER
4HTHRS	PproGo58_10760-MONOMER_mod_pydx5p(1)
4PEPTabcpp	PproGo58_26950-MONOMER OR PproGo58_26940-MONOMER OR PproGo58_26930-MONOMER OR PproGo58_26920-MONOMER
5HPUDICDC_c	PproGo58_42240-MONOMER
A5PISO	PproGo58_08990-MONOMER
