complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,OU9_00008(2) AND OU9_00009(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,OU9_02766(2) AND OU9_02767(2),,
CPLX_3HPAOX-0,HPA monooxygenase,OU9_04145() AND OU9_04144(),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,OU9_04952(2) AND OU9_03171(2) AND OU9_03679(2) AND OU9_04953(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),OU9_00345() AND OU9_03803() AND OU9_04541() AND OU9_03802(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,OU9_04786(2) AND OU9_04787(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,OU9_03019() AND OU9_01616(),,
CPLX_ACONCtupp-0,Cisaconitate transport periplasm,OU9_00766() AND OU9_00764() AND OU9_00765(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),OU9_03019() AND OU9_03022(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,OU9_04515(4) AND OU9_04516(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,OU9_05544() AND OU9_05545(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),OU9_04289() AND OU9_03883(),,
CPLX_ALAabcpp-1,L-alanine transport via ABC system (periplasm),OU9_04289() AND OU9_04964(),,
CPLX_ANS-0,Anthranilate synthase,OU9_01010() AND OU9_01011(),,
CPLX_ANS-1,Anthranilate synthase,OU9_00621() AND OU9_00659(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,OU9_01767() AND OU9_05352(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),OU9_00902() AND OU9_00900() AND OU9_00899() AND OU9_00898(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),OU9_01349() AND OU9_01348() AND OU9_01347() AND OU9_01346(),,
CPLX_AST-0,Arginine succinyltransferase,OU9_00907() AND OU9_00906(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,OU9_04522() AND OU9_05046(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),OU9_05677() AND OU9_05681() AND OU9_05674() AND OU9_05675() AND OU9_05680() AND OU9_05679() AND OU9_05676() AND OU9_05678() AND OU9_05682(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,OU9_02025(2) AND OU9_02024(2),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),OU9_03504(2) AND OU9_03503(2) AND OU9_03506(),,
CPLX_BUTSO3abcpp-1,Butanesulfonate transport via ABC system (periplasm),OU9_03988(1) AND OU9_03987(2) AND OU9_03986(2),,
CPLX_BZ12DOX-0,"Benzoate 1,2-dioxygenase",OU9_02541() AND OU9_02540() AND OU9_02539(),,
CPLX_CD2t3pp-0,Cadmium (Cd+2) transport out via proton antiport (periplasm),OU9_02544() AND OU9_02545(),,
