Reaction	Complexes
2AGPE140tipp	CHR29_06550-MONOMER
2AGPE141tipp	CHR29_06550-MONOMER
2AGPG140tipp	CHR29_06550-MONOMER
2AGPG141tipp	CHR29_06550-MONOMER
2DHGLCK	CHR29_14450-MONOMER
2DHGLCNkt_tpp	CHR29_14445-MONOMER
2MAHMP	CHR29_18035-MONOMER
3AMACHYD	CHR29_09415-MONOMER
3HAACOAT100	CHR29_22140-MONOMER
3HAACOAT120	CHR29_22140-MONOMER
3HAACOAT121	CHR29_22140-MONOMER
3HAACOAT140	CHR29_22140-MONOMER
3HAACOAT141	CHR29_22140-MONOMER
3HAACOAT60	CHR29_22140-MONOMER
3HAACOAT80	CHR29_22140-MONOMER
3HAD100	CHR29_06105-MONOMER
3HAD120	CHR29_06105-MONOMER
3HAD121	CHR29_06105-MONOMER
3HAD140	CHR29_06105-MONOMER
3HAD141	CHR29_06105-MONOMER
3HAD160	CHR29_06105-MONOMER
3HAD161	CHR29_06105-MONOMER
3HAD180	CHR29_06105-MONOMER
3HAD181	CHR29_06105-MONOMER
3HAD40	CHR29_06105-MONOMER
3HAD60	CHR29_06105-MONOMER
3HAD80	CHR29_06105-MONOMER
3OADPCOAT	CPLX_BUTCT-0
3OAR100	CHR29_08240-MONOMER
3OAR120	CHR29_08240-MONOMER
3OAR121	CHR29_08240-MONOMER
3OAR140	CHR29_08240-MONOMER
3OAR141	CHR29_08240-MONOMER
3OAR160	CHR29_08240-MONOMER
3OAR161	CHR29_08240-MONOMER
3OAR180	CHR29_08240-MONOMER
3OAR181	CHR29_08240-MONOMER
3OAR40	CHR29_08240-MONOMER
3OAR60	CHR29_08240-MONOMER
3OAR80	CHR29_08240-MONOMER
3OAS100	CHR29_08250-MONOMER OR CHR29_18755-MONOMER
3OAS120	CHR29_08250-MONOMER OR CHR29_18755-MONOMER
3OAS121	CHR29_18755-MONOMER
3OAS140	CHR29_08250-MONOMER OR CHR29_18755-MONOMER
3OAS141	CHR29_18755-MONOMER
3OAS160	CHR29_08250-MONOMER OR CHR29_18755-MONOMER
3OAS161	CHR29_18755-MONOMER
3OAS180	CHR29_18755-MONOMER
3OAS181	CHR29_18755-MONOMER
3OAS60	CHR29_08250-MONOMER OR CHR29_18755-MONOMER
3OAS80	CHR29_08250-MONOMER OR CHR29_18755-MONOMER
3OXCOAT	CHR29_22370-MONOMER
3OXOADPt_pp	CHR29_22365-MONOMER
3PEPTabcpp	CHR29_18635-MONOMER OR CHR29_18640-MONOMER OR CHR29_18645-MONOMER OR CHR29_18650-MONOMER
3_4DHBZ1t_pp	CHR29_22375-MONOMER
3_4DHBZt2	CHR29_22345-MONOMER
4CMLCL_kt	CHR29_22350-MONOMER OR CHR29_05015-MONOMER
4HBHYOX	CHR29_15290-MONOMER
4HBZtex	CHR29_22335-MONOMER
4HTHRS	CHR29_05740-MONOMER_mod_pydx5p(1)
4PEPTabcpp	CHR29_18635-MONOMER OR CHR29_18640-MONOMER OR CHR29_18645-MONOMER OR CHR29_18650-MONOMER
5HPUDICDC_c	CHR29_19260-MONOMER
A5PISO	CHR29_05165-MONOMER
