complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,CHR29_00075(2) AND CHR29_00080(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,CHR29_16890(2) AND CHR29_16895(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,CHR29_03255(2) AND CHR29_08440(2) AND CHR29_06130(2) AND CHR29_03250(2),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,CHR29_23650(2) AND CHR29_23655(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,CHR29_08245() AND CHR29_18755(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),CHR29_08245() AND CHR29_08230(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,CHR29_22930(4) AND CHR29_22935(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,CHR29_27515() AND CHR29_27520(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),CHR29_02820() AND CHR29_24805(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),CHR29_04970() AND CHR29_04965() AND CHR29_04960() AND CHR29_04955() AND CHR29_04950(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),CHR29_04950(1) AND CHR29_04955(1) AND CHR29_04960(1) AND CHR29_04965(1) AND CHR29_04985(1),,
CPLX_ANS-0,Anthranilate synthase,CHR29_02460() AND CHR29_02470(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,CHR29_09925() AND CHR29_26665(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),CHR29_19985(1) AND CHR29_19990(1) AND CHR29_19980(1) AND CHR29_19975(2),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),CHR29_21855() AND CHR29_21860() AND CHR29_21865() AND CHR29_21870(),,
CPLX_AST-0,Arginine succinyltransferase,CHR29_19955() AND CHR29_19960(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,CHR29_05205() AND CHR29_25015(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),CHR29_27710() AND CHR29_27730() AND CHR29_27695() AND CHR29_27700() AND CHR29_27725() AND CHR29_27720() AND CHR29_27705() AND CHR29_27715() AND CHR29_27735(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,CHR29_13670() AND CHR29_13665(),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),CHR29_01315() AND CHR29_01330() AND CHR29_01325(),,
CPLX_BZ12DOX-0,"Benzoate 1,2-dioxygenase",CHR29_13870() AND CHR29_13875() AND CHR29_13880(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),CHR29_01815() AND CHR29_01820() AND CHR29_01825(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,CHR29_22320() AND CHR29_22325() AND CHR29_22330(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,CHR29_05170() AND CHR29_05175() AND CHR29_05180(),,
CPLX_CPMPS-0,Cyclic pyranopterin monophosphate synthase,CHR29_22990() AND CHR29_20545(),,
CPLX_CRO4abcpp-0,Chromate transport via ABC system (periplasm),CHR29_26440(1) AND CHR29_26425(2) AND CHR29_26430(1) AND CHR29_26435(1),,
CPLX_CRO4abcpp-1,Chromate transport via ABC system (periplasm),CHR29_26425() AND CHR29_26435() AND CHR29_26430() AND CHR29_19340(),,
CPLX_CU1Opp-0,Cuprous Oxidase (Cu+1),CHR29_03145() AND CHR29_03135(),,
CPLX_CYO1_KT-0,Ubiquinol   cytochrome c reductase,CHR29_22870() AND CHR29_22865() AND CHR29_22860(),,
CPLX_DURAD-0,Dihydrouracil dehydrogenase (NADP),CHR29_18130() AND CHR29_18125(),,
CPLX_ETHAAL-0,Ethanolamine ammonia-lyase,CHR29_03180(6) AND CHR29_03175(6),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),CHR29_26565() AND CHR29_26560() AND CHR29_21820(),,
CPLX_FLDR2-0,Flavodoxin reductase (NADPH),CHR29_06275() AND CHR29_23265(),,
CPLX_GLCabcpp-0,D-glucose transport via ABC system (periplasm),CHR29_05425() AND CHR29_05430() AND CHR29_05435() AND CHR29_05440(),,
CPLX_GLUSx-0,Glutamate synthase  NADH2,CHR29_25935(4) AND CHR29_25940(4),,
CPLX_GLYBabcpp-0,Glycine betaine transport via ABC system (periplasm),CHR29_06775() AND CHR29_01815() AND CHR29_01820(),,
CPLX_HSERTA-0,Homoserine O trans acetylase,CHR29_26045() AND CHR29_26050(),,
CPLX_HXAND-0,Hypoxanthine dehydrogenase,CHR29_19215() AND CHR29_19210() AND CHR29_19220(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,CHR29_01810(1) AND CHR29_01795(1),,
CPLX_ILEabcpp-0,L-isoleucine transport via ABC system (periplasm),CHR29_21525(1) AND CHR29_21535(1) AND CHR29_21530(1) AND CHR29_21545(1) AND CHR29_21540(1),,
CPLX_ILEabcpp-1,L-isoleucine transport via ABC system (periplasm),CHR29_24900() AND CHR29_24905() AND CHR29_24915() AND CHR29_24920() AND CHR29_24910(),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,CHR29_08400(1) AND CHR29_08395(1),,
CPLX_KAS13-0,B-ketoacyl synthetase (octadecanoate),CHR29_08235() AND CHR29_08250() AND CHR29_08240() AND CHR29_06105(),,
CPLX_LCYSTabcpp-0,L-cysteate transport via ABC system (periplasm),CHR29_11545() AND CHR29_01135() AND CHR29_01285(),,
CPLX_LYSabcpp-0,L-lysine transport via ABC system (periplasm),CHR29_01720() AND CHR29_01725() AND CHR29_01730() AND CHR29_01735(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,CHR29_15045() AND CHR29_08245(),,
CPLX_MCOATA-1,Malonyl-CoA-ACP transacylase,CHR29_08245() AND CHR29_08235(),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,CHR29_02030() AND CHR29_26665(),,
CPLX_METSOXR1-1,L-methionine-S-oxide reductase,CHR29_07410() AND CHR29_26665(),,
CPLX_METSOXR1-2,L-methionine-S-oxide reductase,CHR29_02030() AND CHR29_03005(),,
