reaction	keff
2AGPE140tipp	65
2AGPE141tipp	65
2AGPG140tipp	65
2AGPG141tipp	65
2MAHMP	65
34HPPOR	65
3HAD100	65
3HAD120	65
3HAD121	65
3HAD140	65
3HAD141	65
3HAD160	65
3HAD161	65
3HAD180	65
3HAD181	65
3HAD40	65
3HAD60	65
3HAD80	65
3OADPCOAT	65
3OAR100	65
3OAR120	65
3OAR121	65
3OAR140	65
3OAR141	65
3OAR160	65
3OAR161	65
3OAR180	65
3OAR181	65
3OAR40	65
3OAR60	65
3OAR80	65
3OAS100	65
3OAS120	65
3OAS121	65
3OAS140	65
3OAS141	65
3OAS160	65
3OAS161	65
3OAS180	65
3OAS181	65
3OAS60	65
3OAS80	65
3OXCOAT	65
3PEPTabcpp	65
3_4DHBZt2	65
4HTHRS	65
4PEPTabcpp	65
5HPUDICDC_c	65
A5PISO	65
AACPS1	65
AACPS2	65
AACPS3	65
AACPS4	65
AACPS5	65
AACPS6	65
AACPS7	65
AACPS8	65
AACPS9	65
ABTA	65
ABUTD	65
ACACT1r	65
ACACT2r	65
ACACT3r	65
ACACT4r	65
ACACT5r	65
ACACT6r	65
ACACT7r	65
ACACT8r	65
ACBIPGT_2	65
ACCOAC	65
ACCOAL	65
ACGK	65
ACGS	65
ACHBS	65
ACKr	65
ACLS	65
ACLS_a	65
ACLS_d	65
ACOAD1f	65
ACOAD2f	65
ACOAD3f	65
ACOAD4f	65
ACOAD5f	65
ACOAD6f	65
ACOAD7f	65
ACOAD8f	65
ACOADH1	65
ACOADH2	65
ACOATA	65
ACODA	65
ACONTa	65
ACONTb	65
ACOTA	65
ACPPAT120	65
ACPPAT140	65
ACPPAT141	65
ACPPAT160	65
ACPPAT161	65
ACPPAT180	65
ACPPAT181	65
ACPpds	65
ACS	65
ACTD_1	65
ACt4pp	65
ADA	65
ADCL	65
ADCPS1	65
ADCS	65
ADCYRS	65
ADEt2rpp	65
ADK1irr	65
ADNCYC	65
ADOCBLS	65
ADPT	65
ADSK	65
ADSL1r	65
ADSL2r	65
ADSS	65
AGM3PA	65
AGM3PApp	65
AGM3PH	65
AGM3Pt2pp	65
AGM4PA	65
AGM4PApp	65
AGM4PH	65
AGM4Pt2pp	65
AGMDA	65
AGMH	65
AGMt2pp	65
AGPAT120	65
AGPAT140	65
AGPAT141	65
AGPAT160	65
AGPAT161	65
AGPAT180	65
AGPAT181	65
AGPR	65
AHCi	65
AHGDx	65
AHSERL2	65
AICART	65
AIRCr	65
AKGDa	65
AKGDb	65
AKP1_2	65
ALAALAr	65
ALAR	65
ALATA_L	65
ALAabcpp	65
ALAt4pp	65
ALCD19	65
ALCD1_ros	65
ALCD2ir	65
ALCD4	65
ALDD1	65
ALDD2x	65
ALLTAHr	65
ALLTN	65
AM3PA	65
AM4PA	65
AMAOTr	65
AMID4	65
AMPMS2	65
AMPN	65
AMPTASECG	65
AMPTASEPG	65
ANHMK	65
ANPRT	65
ANS	65
AOXSr	65
AP4AH	65
APG3PAT120	65
APG3PAT140	65
APG3PAT141	65
APG3PAT160	65
APG3PAT161	65
APG3PAT180	65
APG3PAT181	65
APRAUR	65
APSR	65
APTNAT	65
ARGDC	65
ARGDr	65
ARGORNt7pp	65
ARGSL	65
ARGSS	65
ARGTRS	65
ASAD	65
ASNN	65
ASNS1	65
ASP1DC	65
ASPCT	65
ASPK	65
ASPO1	65
ASPO3	65
ASPO3_q9	65
ASPO5	65
ASPO6	65
ASPT	65
ASPTA	65
ASR	65
ATPPRT	65
BETALDHx	65
BETALDHy	65
BHBtpp	65
BLUB	65
BMOGDS1	65
BMOGDS2	65
BPNT	65
BTDD_RR	65
BTDD_SS_cyt	65
BTDD_meso	65
BTS5	65
BUTCT	65
BZ12DOX	65
BZDIOLDH	65
CAT	65
CATDOX	65
CBIAT	65
CBItonex	65
CBMKr	65
CBPAH	65
CBPS	65
CCGS	65
CCPpp	65
CD2t3pp	65
CDGR	65
CDGS	65
CDGUNPD	65
CDPMEK	65
CHLt2pp	65
CHORM	65
CHORS	65
CHRPL	65
CIO3pp_q8	65
CIO3pp_q9	65
CMtpp	65
COBALT2t3pp	65
COBALT2tpp	65
COBK1	65
COBK2	65
CPH4S	65
CPMPS	65
CPPPGO	65
CPPPGO2	65
CRO4abcpp	65
CRO4t3pp	65
CS	65
CTECOAI6	65
CTECOAI7	65
CTECOAI8	65
CTPS1	65
CTPS2	65
CU1Opp	65
CU2abcpp	65
CYANST	65
CYO1_KT	65
CYRDAAT	65
CYRDAR	65
CYSS	65
CYTCAA6pp	65
CYTCBB4pp_1	65
CYTCBB4pp_2	65
CYTK1	65
CYTK2	65
DAAD	65
DADA	65
DADK	65
DAGK120	65
DAGK140	65
DAGK141	65
DAGK160	65
DAGK161	65
DAGK180	65
DAGK181	65
DAPDC	65
DAPE	65
DASYN120	65
DASYN140	65
DASYN141	65
DASYN160	65
DASYN161	65
DASYN180	65
DASYN181	65
DB4PS	65
DBTS	65
DCTPD	65
DCTPD2	65
DDPA	65
DGK1	65
DGUNC	65
DHACOAH	65
DHAD1	65
DHAD2	65
DHDPRy	65
DHDPS	65
DHFR	65
DHFS	65
DHMPTR	65
DHNPA_1	65
DHNPTE	65
DHORD2	65
DHORDfum	65
DHORTS	65
DHPPDA	65
DHQS	65
DHQTi	65
DHSKDH	65
DMPPS	65
DMQMT	65
DOXRBCNtpp	65
DPCOAK	65
DPR	65
DTMPK	65
DURIPP	65
DUTPDP	65
DXPRIi	65
DXPS	65
E4PD	65
EAR100x	65
EAR120x	65
EAR140x	65
EAR141x	65
EAR160x	65
EAR161x	65
EAR180x	65
EAR181x	65
EAR40x	65
EAR60x	65
EAR80x	65
ECOAH1	65
ECOAH2	65
ECOAH3	65
ECOAH4	65
ECOAH5	65
ECOAH6	65
ECOAH7	65
ECOAH8	65
EDA	65
EDD	65
ENO	65
ETHAAL	65
ETHAt2pp	65
FA100ACPHi	65
FA120ACPHi	65
FA140ACPHi	65
FA141ACPHi	65
FA160ACPHi	65
FA161ACPHi	65
FA80ACPHi	65
FACOAE100	65
FACOAE120	65
FACOAE140	65
FACOAE141	65
FACOAE160	65
FACOAE161	65
FACOAE180	65
FACOAE181	65
FACOAE60	65
FACOAE80	65
FACOAL100t2pp	65
FACOAL120t2pp	65
FACOAL140	65
FACOAL140t2pp	65
FACOAL141t2pp	65
FACOAL160	65
FACOAL160t2pp	65
FACOAL161	65
FACOAL161t2pp	65
FACOAL180t2pp	65
FACOAL181	65
FACOAL181t2pp	65
FACOAL60t2pp	65
FACOAL80t2pp	65
FALDH2	65
FBA	65
FBP	65
FCLT	65
FDH4pp	65
FDH4pp_q9	65
FDHr	65
FE3DCITR2	65
FE3DCITR3	65
FE3abcpp	65
FEENTERtex	65
FEROpp	65
FLDR2	65
FMNAT	65
FOLD3	65
FRDO4r	65
FRDO7r	65
FRUK	65
FRUptspp	65
FTHFD	65
FUM	65
FUSAtpp	65
G1PACT	65
G1PTT	65
G1SAT	65
G2PP	65
G3PAT120	65
G3PAT140	65
G3PAT141	65
G3PAT160	65
G3PAT161	65
G3PAT180	65
G3PAT181	65
G3PD	65
G3PD2i	65
G3PD5	65
G5SD	65
G6PBDH	65
G6PDH2rirr	65
G6PI	65
GALURt2rpp	65
GALUi	65
GAPD	65
GARFT	65
GART	65
GCALDD	65
GDBTALDH	65
GDPDPK	65
GF6PTA	65
GGGABAH	65
GGPTRCO	65
GGPTRCS	65
GHMT2r	65
GK1	65
GLCOASYNT	65
GLCP	65
GLCS1	65
GLCURt2rpp	65
GLCabcpp	65
GLNS	65
GLU5K	65
GLUCYS	65
GLUDC	65
GLUDxi	65
GLUDyirr	65
GLUN	65
GLUPRT	65
GLUR	65
GLUSx	65
GLUSy	65
GLUTCOADHc	65
GLUTRR	65
GLUTRS	65
GLXCL	65
GLYALDDr	65
GLYALDtpp	65
GLYBCOAT	65
GLYC2Pabcpp	65
GLYC3Pabcpp	65
GLYCL	65
GLYCLTDx	65
GLYCLTDy	65
GLYCLTt4pprev	65
GLYCOX1_PA	65
GLYCOX2_PA	65
GLYCTO1	65
GLYCtpp	65
GLYK	65
GLYabcpp	65
GLYt4pp	65
GMHEPAT	65
GMHEPK	65
GMHEPPA	65
GMPS2	65
GPDDA1	65
GPDDA1pp	65
GPDDA2	65
GPDDA2pp	65
GPDDA3	65
GPDDA3pp	65
GPDDA4	65
GPDDA4pp	65
GPDDA5	65
GPDDA5pp	65
GRXR	65
GTHOr	65
GTHPi	65
GTHS	65
GTPCI	65
GTPCII	65
GTPDPDP	65
GTPDPK	65
GUAD	65
GUAPRT	65
GUAt2pp	65
H2CO3D	65
HACD1i	65
HACD2i	65
HACD3i	65
HACD4i	65
HACD5i	65
HACD6i	65
HACD7i	65
HACD8i	65
HADPCOADH3	65
HBZOPT	65
HCO3E	65
HEMEOS	65
HISTD	65
HISTP	65
HISTRS	65
HIUH_c	65
HMBS	65
HMGL	65
HMPK1	65
HOMt2pp	65
HPPK	65
HPYRI	65
HPYRRx	65
HSDy	65
HSERTA	65
HSK	65
HSTPT	65
HXAND	65
HXPRT	65
HYGBDIAS	65
I2FE2SR	65
I2FE2SS2	65
I2FE2SS2fdx	65
I2FE2SSfdx	65
I2FE2ST	65
I4FE4SRfdx	65
I4FE4ST	65
ICDHyr	65
ICL	65
ICYSDS	65
IG3PS	65
IGPDH	65
IGPS	65
ILETA	65
ILEabcpp	65
ILEt2rpp	65
IMPC	65
IMPD	65
IPDPS	65
IPMD	65
IPPMIa	65
IPPMIb	65
IPPS	65
K2L4Aabcpp	65
K2L4Aabctex	65
KARA1	65
KARA2	65
KAS13	65
KAS14	65
KAS15	65
KDOCT2	65
KDOPP	65
KDOPS	65
Kt2pp	65
Kt3pp	65
LCADi	65
LDH_D	65
LEUTAi	65
LEUTRS	65
LEUabcpp	65
LEUt2rpp	65
LGTHL	65
LIPOCT	65
LIPOS	65
LPADSS	65
LPLIPAL1A120pp	65
LPLIPAL1A140pp	65
LPLIPAL1A141pp	65
LPLIPAL1A160pp	65
LPLIPAL1A161pp	65
LPLIPAL1A180pp	65
LPLIPAL1A181pp	65
LPLIPAL1E120pp	65
LPLIPAL1E160pp	65
LPLIPAL1E161pp	65
LPLIPAL1E180pp	65
LPLIPAL1G120pp	65
LPLIPAL1G160pp	65
LSERDHr	65
LYSDC	65
LYSabcpp	65
LYSt3pp	65
MALS	65
MAN1PT	65
MAN1PT2	65
MBCOAi	65
MCCC	65
MCITL2	65
MCITS	65
MCOATA	65
MCTP1App	65
MCTP1Bpp	65
MCTP2App	65
MDDCP1pp	65
MDDCP2pp	65
MDDCP3pp	65
MDDCP4pp	65
MDDCP5pp	65
MDDEP1pp	65
MDDEP2pp	65
MDDEP3pp	65
MDDEP4pp	65
MDH2	65
ME1	65
ME2	65
MECDPDH2	65
MECDPS	65
MEPCT	65
METAT	65
METS	65
METSOXR1	65
METSOXR2	65
METTRS	65
METabcpp	65
MG2tpp	65
MGCH	65
MI1PP	65
MICITDr	65
MINCYCtpp	65
MLTGY1pp	65
MLTGY2pp	65
MLTGY3pp	65
MLTGY4pp	65
MMSAD3	65
MMTSAO	65
MOADSUx	65
MOHMT	65
MPTAT	65
MPTS	65
MPTSS	65
MTAP	65
MTHFC	65
MTHFD	65
MTHFR2	65
MTHFR3	65
MTI	65
MTRI	65
MUCCYCI	65
MUCLI	65
NACODA	65
NADDP	65
NADH5	65
NADK	65
NADN	65
NADNAQ_q8	65
NADNAQ_q9	65
NADPHQR2	65
NADS2	65
NADTRHD	65
NAMNPP	65
NAR_syn	65
NAt3pp	65
NDPK1	65
NDPK2	65
NDPK3	65
NDPK4	65
NDPK5	65
NDPK6	65
NDPK7	65
NDPK8	65
NH4t4pp	65
NH4tpp	65
NIR1	65
NMNATr	65
NMNDA	65
NMNHYD	65
NNATr	65
NNDMBRT	65
NNDPR	65
NO2t2rpp	65
NO3R1bpp_q8	65
NO3R1bpp_q9	65
NODOx	65
NODOx2	65
NODOy	65
NODOy2	65
NORRDX1	65
NOVBCNtpp	65
NTD1	65
NTD10	65
NTD11	65
NTD2	65
NTD3	65
NTD4	65
NTD5	65
NTD6	65
NTD7	65
NTD8	65
NTD9	65
NTP1	65
NTPP1	65
NTPP11	65
NTPP2	65
NTPP4	65
NTPP6	65
NTPP8	65
NTPP9	65
NTPTP1	65
NTRIR2x	65
OAADC	65
OCBT	65
OCDCAt2pp	65
OCDCEAt2pp	65
OCOAT1	65
OCTDPS	65
OHPBAT	65
OMBZLM	65
OMMBLHX	65
OMPDC	65
OMPHHX	65
OPHBDC	65
OPHHX	65
ORNDC	65
ORNTAC	65
ORNabcpp	65
ORPT	65
OXOADLR	65
OXOAEL	65
OXPTNDH	65
P5CD	65
P5CR	65
PA120abcpp	65
PA140abcpp	65
PA141abcpp	65
PA160abcpp	65
PA161abcpp	65
PA180abcpp	65
PA181abcpp	65
PACt3	65
PANTS	65
PAPPT3	65
PAPSR	65
PAPSR2	65
PC	65
PDE1	65
PDE4	65
PDHbr	65
PDHcr	65
PDX5POi	65
PDX5PS	65
PE120abcpp	65
PE140abcpp	65
PE141abcpp	65
PE160abcpp	65
PE161abcpp	65
PE180abcpp	65
PE181abcpp	65
PERD	65
