Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
HNE05_00865-MONOMER	Outer_Membrane	HNE05_00865()	Outer_Membrane	sb
HNE05_02150-MONOMER	Inner_Membrane	HNE05_02150()	Inner_Membrane	r
HNE05_13910-MONOMER	Inner_Membrane	HNE05_13910()	Inner_Membrane	r
HNE05_12195-MONOMER	Periplasm	HNE05_12195()	Periplasm	s
HNE05_06465-MONOMER	Periplasm	HNE05_06465()	Periplasm	s
HNE05_18630-MONOMER	Inner_Membrane	HNE05_18630()	Inner_Membrane	r
HNE05_05315-MONOMER	Inner_Membrane	HNE05_05315()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	HNE05_05315()	Inner_Membrane	r
HNE05_02875-MONOMER	Inner_Membrane	HNE05_02875()	Periplasm	s
HNE05_05320-MONOMER	Inner_Membrane	HNE05_05320()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	HNE05_05320()	Inner_Membrane	r
HNE05_17640-MONOMER	Inner_Membrane	HNE05_17640()	Inner_Membrane	p
CPLX_CYTCAA6pp-0	Inner_Membrane	HNE05_17640()	Inner_Membrane	p
HNE05_17630-MONOMER	Inner_Membrane	HNE05_17630()	Inner_Membrane	r
CPLX_CYTCAA6pp-0	Inner_Membrane	HNE05_17630()	Inner_Membrane	r
HNE05_05505-MONOMER	Periplasm	HNE05_05505()	Periplasm	s
HNE05_15830-MONOMER	Inner_Membrane	HNE05_15830()	Inner_Membrane	r
HNE05_17115-MONOMER	Inner_Membrane	HNE05_17115()	Periplasm	s
CPLX_CRO4abcpp-0	Inner_Membrane	HNE05_17115()	Periplasm	s
HNE05_17125-MONOMER	Inner_Membrane	HNE05_17125()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	HNE05_17125()	Inner_Membrane	r
CPLX_CRO4abcpp-1	Inner_Membrane	HNE05_17125()	Inner_Membrane	r
HNE05_17120-MONOMER	Inner_Membrane	HNE05_17120()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	HNE05_17120()	Inner_Membrane	r
CPLX_CRO4abcpp-1	Inner_Membrane	HNE05_17120()	Inner_Membrane	r
HNE05_09615-MONOMER	Periplasm	HNE05_09615()	Periplasm	s
HNE05_04715-MONOMER	Periplasm	HNE05_04715()	Periplasm	s
HNE05_03260-MONOMER	Inner_Membrane	HNE05_03260()	Inner_Membrane	r
HNE05_07280-MONOMER	Inner_Membrane	HNE05_07280()	Inner_Membrane	r
HNE05_02230-MONOMER	Inner_Membrane	HNE05_02230()	Inner_Membrane	s
HNE05_14480-MONOMER	Inner_Membrane	HNE05_14480()	Inner_Membrane	r
CPLX_MPTG-0	Inner_Membrane	HNE05_14480()	Inner_Membrane	r
CPLX_MPTG-1	Inner_Membrane	HNE05_14480()	Inner_Membrane	r
CPLX_MPTG-2	Inner_Membrane	HNE05_14480()	Inner_Membrane	r
HNE05_18680-MONOMER	Outer_Membrane	HNE05_18680()	Inner_Membrane	s
HNE05_18685-MONOMER	Outer_Membrane	HNE05_18685()	Inner_Membrane	p
HNE05_07235-MONOMER	Inner_Membrane	HNE05_07235()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	HNE05_07235()	Inner_Membrane	r
HNE05_07240-MONOMER	Inner_Membrane	HNE05_07240()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	HNE05_07240()	Inner_Membrane	r
HNE05_10810-MONOMER	Inner_Membrane	HNE05_10810()	Inner_Membrane	r
