id	me_id	name	formula	compartment	type
2hddACP_c					CURATE
trnaasp_preq34_c					CURATE
trnatyr_preq34_c					CURATE
trnahis_preq34_c					CURATE
trnatyrqo_c					CURATE
trnatyrq_c					CURATE
trnaaspqo_c					CURATE
trnaaspq_c					CURATE
trnahisqo_c					CURATE
trnahisq_c					CURATE
LI_c					CURATE
alatrna_c					REMOVE
argtrna_c					REMOVE
asntrna_c					REMOVE
asptrna_c					REMOVE
bwco1gdp_c					REMOVE
bwco_c					REMOVE
bwcogdp_c					REMOVE
cystrna_c					REMOVE
fmettrna_c					REMOVE
glntrna_c					REMOVE
glutrna_c					REMOVE
glytrna_c					REMOVE
histrna_c					REMOVE
iletrna_c					REMOVE
leutrna_c					REMOVE
lipopb_c					REMOVE
lystrna_c					REMOVE
mettrna_c					REMOVE
octapb_c					REMOVE
phetrna_c					REMOVE
protrna_c					REMOVE
sectrna_c					REMOVE
sertrna[sec]_c					REMOVE
sertrna_c					REMOVE
thrtrna_c					REMOVE
trnaala_c					REMOVE
trnaarg_c					REMOVE
trnaasn_c					REMOVE
trnaasp_c					REMOVE
trnacys_c					REMOVE
trnagln_c					REMOVE
trnaglu_c					REMOVE
trnagly_c					REMOVE
trnahis_c					REMOVE
trnaile_c					REMOVE
trnaleu_c					REMOVE
trnalys_c					REMOVE
trnamet_c					REMOVE
trnaphe_c					REMOVE
trnapro_c					REMOVE
trnasecys_c					REMOVE
trnaser_c					REMOVE
trnathr_c					REMOVE
trnatrp_c					REMOVE
trnatyr_c					REMOVE
trnaval_c					REMOVE
trptrna_c					REMOVE
tyrtrna_c					REMOVE
valtrna_c					REMOVE
wco_c					REMOVE
2fe1s_c					REMOVE
sufbcd_c					CURATE
sufse_c					CURATE
sufsesh_c					CURATE
dsbard_p	I9X26_33470-MONOMER				REPLACE
dsbaox_p					CURATE
dsbcrd_p	I9X26_06575-MONOMER				REPLACE
dsbcox_p	I9X26_06575-MONOMER_mod_Oxidized(1)				REPLACE
dsbdrd_c	I9X26_15575-MONOMER				REPLACE
dsbdox_c	I9X26_15575-MONOMER_mod_Oxidized(1)				REPLACE
dsbgrd_p	I9X26_15585-MONOMER				REPLACE
dsbgox_p	I9X26_15585-MONOMER_mod_Oxidized(1)				REPLACE
lpp_p					CURATE
alpp_p					CURATE
moadamp_c	I9X26_05540-MONOMER_mod_amp(1)				REPLACE
moadcoo_c	I9X26_05540-MONOMER_mod_coo(1)				REPLACE
moadcosh_c	I9X26_05540-MONOMER_mod_cosh(1)				REPLACE
apoACP_c	I9X26_10810-MONOMER				REPLACE
ACP_c	I9X26_10810-MONOMER_mod_pan4p(1)				REPLACE
