amino_acid	enzyme
ala__L_c	generic_ala_ligase
arg__L_c	NCTC13359_06351-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	NCTC13359_05046-MONOMER
cys__L_c	NCTC13359_04182-MONOMER
gln__L_c	NCTC13359_04183-MONOMER
glu__L_c	NCTC13359_02346-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	NCTC13359_01620-MONOMER
ile__L_c	generic_ile_ligase
leu__L_c	generic_leu_ligase
lys__L_c	NCTC13359_01727-MONOMER
met__L_c	NCTC13359_01985-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	generic_pro_ligase
ser__L_c	NCTC13359_02981-MONOMER
thr__L_c	NCTC13359_02840-MONOMER
trp__L_c	NCTC13359_05537-MONOMER
tyr__L_c	generic_tyr_ligase
val__L_c	NCTC13359_01585-MONOMER
