Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
NCTC13359_04450-MONOMER	Inner_Membrane	NCTC13359_04450()	Inner_Membrane	r
CPLX_SPMDt3pp-0	Inner_Membrane	NCTC13359_04450()	Inner_Membrane	r
NCTC13359_04449-MONOMER	Inner_Membrane	NCTC13359_04449()	Inner_Membrane	r
CPLX_SPMDt3pp-0	Inner_Membrane	NCTC13359_04449()	Inner_Membrane	r
NCTC13359_04644-MONOMER	Periplasm	NCTC13359_04644()	Periplasm	s
NCTC13359_06268-MONOMER	Outer_Membrane	NCTC13359_06268()	Outer_Membrane	sb
CPLX_MINCYCtpp-0	Outer_Membrane	NCTC13359_06268()	Outer_Membrane	sb
CPLX_RFAMPtpp-0	Outer_Membrane	NCTC13359_06268()	Outer_Membrane	sb
NCTC13359_03305-MONOMER	Inner_Membrane	NCTC13359_03305()	Inner_Membrane	r
NCTC13359_01544-MONOMER	Inner_Membrane	NCTC13359_01544()	Inner_Membrane	r
CPLX_NO3R1pp_q8-0	Inner_Membrane	NCTC13359_01544()	Inner_Membrane	r
NCTC13359_05095-MONOMER	Inner_Membrane	NCTC13359_05095()	Inner_Membrane	r
NCTC13359_05512-MONOMER	Inner_Membrane	NCTC13359_05512()	Inner_Membrane	r
NCTC13359_03706-MONOMER	Periplasm	NCTC13359_03706()	Periplasm	s
NCTC13359_01290-MONOMER	Inner_Membrane	NCTC13359_01290()	Inner_Membrane	r
NCTC13359_02486-MONOMER	Periplasm	NCTC13359_02486()	Periplasm	s
NCTC13359_00146-MONOMER	Inner_Membrane	NCTC13359_00146()	Inner_Membrane	r
NCTC13359_02623-MONOMER	Inner_Membrane	NCTC13359_02623()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	NCTC13359_02623()	Inner_Membrane	r
NCTC13359_02622-MONOMER	Inner_Membrane	NCTC13359_02622()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	NCTC13359_02622()	Inner_Membrane	r
NCTC13359_00862-MONOMER	Inner_Membrane	NCTC13359_00862()	Inner_Membrane	r
NCTC13359_04663-MONOMER	Inner_Membrane	NCTC13359_04663()	Inner_Membrane	r
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	NCTC13359_04663()	Inner_Membrane	r
NCTC13359_04665-MONOMER	Inner_Membrane	NCTC13359_04665()	Inner_Membrane	p
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	NCTC13359_04665()	Inner_Membrane	p
NCTC13359_04664-MONOMER	Inner_Membrane	NCTC13359_04664()	Inner_Membrane	r
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	NCTC13359_04664()	Inner_Membrane	r
NCTC13359_04666-MONOMER	Inner_Membrane	NCTC13359_04666()	Inner_Membrane	p
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	NCTC13359_04666()	Inner_Membrane	p
NCTC13359_02516-MONOMER	Periplasm	NCTC13359_02516()	Periplasm	s
NCTC13359_06365-MONOMER	Inner_Membrane	NCTC13359_06365()	Inner_Membrane	r
NCTC13359_01665-MONOMER	Inner_Membrane	NCTC13359_01665()	Inner_Membrane	r
NCTC13359_00228-MONOMER	Inner_Membrane	NCTC13359_00228()	Inner_Membrane	r
NCTC13359_00651-MONOMER	Inner_Membrane	NCTC13359_00651()	Periplasm	s
CPLX_CRO4abcpp-0	Inner_Membrane	NCTC13359_00651()	Periplasm	s
NCTC13359_00649-MONOMER	Inner_Membrane	NCTC13359_00649()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	NCTC13359_00649()	Inner_Membrane	r
