amino_acid	enzyme
ala__L_c	generic_ala_ligase
arg__L_c	NCTC10038_00449-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	NCTC10038_04889-MONOMER
cys__L_c	NCTC10038_03844-MONOMER
gln__L_c	NCTC10038_03845-MONOMER
glu__L_c	NCTC10038_04091-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	NCTC10038_05029-MONOMER
ile__L_c	generic_ile_ligase
leu__L_c	NCTC10038_01346-MONOMER
lys__L_c	NCTC10038_01407-MONOMER
met__L_c	NCTC10038_01349-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	NCTC10038_04965-MONOMER
ser__L_c	NCTC10038_03741-MONOMER
thr__L_c	NCTC10038_04029-MONOMER
trp__L_c	NCTC10038_01026-MONOMER
tyr__L_c	NCTC10038_05506-MONOMER
val__L_c	generic_val_ligase
