Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
EWS79_RS06265-MONOMER	EWS79_RS06265	(2Fe-2S)-binding protein	
EWS79_RS08050-MONOMER	EWS79_RS08050	(d)CMP kinase	
EWS79_RS00110-MONOMER	EWS79_RS00110	(Fe-S)-binding protein	
EWS79_RS06695-MONOMER	EWS79_RS06695	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	
EWS79_RS01785-MONOMER	EWS79_RS01785	1-acyl-sn-glycerol-3-phosphate acyltransferase	
EWS79_RS05135-MONOMER	EWS79_RS05135	1-deoxy-D-xylulose-5-phosphate reductoisomerase	
EWS79_RS07125-MONOMER	EWS79_RS07125	1-deoxy-D-xylulose-5-phosphate synthase	CCI-CYTOSOL-GN
EWS79_RS05530-MONOMER	EWS79_RS05530	1-deoxy-D-xylulose-5-phosphate synthase	CCI-CYTOSOL-GN
EWS79_RS05855-MONOMER	EWS79_RS05855	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA	CCI-CYTOSOL-GN
EWS79_RS07890-MONOMER	EWS79_RS07890	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	
EWS79_RS03640-MONOMER	EWS79_RS03640	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	
EWS79_RS09000-MONOMER	EWS79_RS09000	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	
EWS79_RS02545-MONOMER	EWS79_RS02545	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	
EWS79_RS06920-MONOMER	EWS79_RS06920	16S rRNA (uracil(1498)-N(3))-methyltransferase	
EWS79_RS01840-MONOMER	EWS79_RS01840	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	
EWS79_RS05550-MONOMER	EWS79_RS05550	2,3-diphosphoglycerate-dependent phosphoglycerate mutase	CCI-CYTOSOL-GN
EWS79_RS07360-MONOMER	EWS79_RS07360	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	CCI-CYTOSOL-GN
EWS79_RS01330-MONOMER	EWS79_RS01330	2-amino-thiazoline-4-carboxylic acid hydrolase	
EWS79_RS05545-MONOMER	EWS79_RS05545	2-hydroxyacid dehydrogenase	
EWS79_RS00650-MONOMER	EWS79_RS00650	2-hydroxyacid dehydrogenase	
EWS79_RS04000-MONOMER	EWS79_RS04000	2-isopropylmalate synthase	
EWS79_RS07865-MONOMER	EWS79_RS07865	2-keto-3-deoxygluconate permease	
EWS79_RS07385-MONOMER	EWS79_RS07385	2-nitropropane dioxygenase	
EWS79_RS05320-MONOMER	EWS79_RS05320	2-polyprenylphenol 6-hydroxylase	
EWS79_RS04605-MONOMER	EWS79_RS04605	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	
EWS79_RS00995-MONOMER	EWS79_RS00995	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	CCI-CYTOSOL-GN
EWS79_RS07445-MONOMER	EWS79_RS07445	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	
EWS79_RS01945-MONOMER	EWS79_RS01945	2Fe-2S iron-sulfur cluster binding domain-containing protein	
EWS79_RS03805-MONOMER	EWS79_RS03805	2Fe-2S iron-sulfur cluster binding domain-containing protein	
EWS79_RS03250-MONOMER	EWS79_RS03250	3'(2'),5'-bisphosphate nucleotidase	CCI-CYTOSOL-GN
EWS79_RS02015-MONOMER	EWS79_RS02015	3,4-dihydroxy-2-butanone-4-phosphate synthase	
EWS79_RS02620-MONOMER	EWS79_RS02620	3-dehydroquinate synthase	
EWS79_RS00790-MONOMER	EWS79_RS00790	3-deoxy-7-phosphoheptulonate synthase	CCI-CYTOSOL-GN
EWS79_RS06630-MONOMER	EWS79_RS06630	3-deoxy-8-phosphooctulonate synthase	CCI-CYTOSOL-GN
EWS79_RS06635-MONOMER	EWS79_RS06635	3-deoxy-manno-octulosonate cytidylyltransferase	
EWS79_RS05115-MONOMER	EWS79_RS05115	3-hydroxyacyl-ACP dehydratase FabZ	CCI-CYTOSOL-GN
CPLX1W2W-15	EWS79_RS00430 // EWS79_RS00425	3-isopropylmalate dehydratase	
EWS79_RS00425-MONOMER	EWS79_RS00425	3-isopropylmalate dehydratase large subunit	CCI-CYTOSOL-GN
EWS79_RS00430-MONOMER	EWS79_RS00430	3-isopropylmalate dehydratase small subunit	
EWS79_RS02990-MONOMER	EWS79_RS02990	3-isopropylmalate dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS08875-MONOMER	EWS79_RS08875	3-methyl-2-oxobutanoate hydroxymethyltransferase	
EWS79_RS08955-MONOMER	EWS79_RS08955	3-methyl-2-oxobutanoate hydroxymethyltransferase	
EWS79_RS05475-MONOMER	EWS79_RS05475	3-oxoacyl-ACP reductase FabG	
EWS79_RS08045-MONOMER	EWS79_RS08045	3-phosphoshikimate 1-carboxyvinyltransferase	
EWS79_RS08055-MONOMER	EWS79_RS08055	30S ribosomal protein S1	CCI-CYTOSOL-GN
EWS79_RS02235-MONOMER	EWS79_RS02235	30S ribosomal protein S10	CCI-CYTOSOL-GN
EWS79_RS02355-MONOMER	EWS79_RS02355	30S ribosomal protein S11	CCI-CYTOSOL-GN
EWS79_RS02215-MONOMER	EWS79_RS02215	30S ribosomal protein S12	CCI-CYTOSOL-GN
EWS79_RS03570-MONOMER	EWS79_RS03570	30S ribosomal protein S12 methylthiotransferase RimO	
EWS79_RS02350-MONOMER	EWS79_RS02350	30S ribosomal protein S13	CCI-CYTOSOL-GN
EWS79_RS02305-MONOMER	EWS79_RS02305	30S ribosomal protein S14	CCI-CYTOSOL-GN
EWS79_RS02415-MONOMER	EWS79_RS02415	30S ribosomal protein S15	CCI-CYTOSOL-GN
EWS79_RS04795-MONOMER	EWS79_RS04795	30S ribosomal protein S16	CCI-CYTOSOL-GN
EWS79_RS02285-MONOMER	EWS79_RS02285	30S ribosomal protein S17	CCI-CYTOSOL-GN
EWS79_RS05490-MONOMER	EWS79_RS05490	30S ribosomal protein S18	CCI-CYTOSOL-GN
EWS79_RS02260-MONOMER	EWS79_RS02260	30S ribosomal protein S19	CCI-CYTOSOL-GN
EWS79_RS05165-MONOMER	EWS79_RS05165	30S ribosomal protein S2	CCI-CYTOSOL-GN
EWS79_RS06040-MONOMER	EWS79_RS06040	30S ribosomal protein S20	CCI-CYTOSOL-GN
EWS79_RS07675-MONOMER	EWS79_RS07675	30S ribosomal protein S21	
EWS79_RS02270-MONOMER	EWS79_RS02270	30S ribosomal protein S3	CCI-CYTOSOL-GN
EWS79_RS06070-MONOMER	EWS79_RS06070	30S ribosomal protein S4	CCI-CYTOSOL-GN
EWS79_RS02325-MONOMER	EWS79_RS02325	30S ribosomal protein S5	CCI-CYTOSOL-GN
EWS79_RS05485-MONOMER	EWS79_RS05485	30S ribosomal protein S6	CCI-CYTOSOL-GN
EWS79_RS02220-MONOMER	EWS79_RS02220	30S ribosomal protein S7	CCI-CYTOSOL-GN
EWS79_RS02310-MONOMER	EWS79_RS02310	30S ribosomal protein S8	CCI-CYTOSOL-GN
EWS79_RS03915-MONOMER	EWS79_RS03915	30S ribosomal protein S9	CCI-CYTOSOL-GN
EWS79_RS02430-MONOMER	EWS79_RS02430	30S ribosome-binding factor RbfA	
EWS79_RS05280-MONOMER	EWS79_RS05280	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	
EWS79_RS03885-MONOMER	EWS79_RS03885	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	CCI-CYTOSOL-GN
EWS79_RS03120-MONOMER	EWS79_RS03120	4-hydroxy-tetrahydrodipicolinate reductase	CCI-CYTOSOL-GN
EWS79_RS03180-MONOMER	EWS79_RS03180	4-hydroxy-tetrahydrodipicolinate synthase	
EWS79_RS06310-MONOMER	EWS79_RS06310	4-hydroxybenzoate octaprenyltransferase	
EWS79_RS05850-MONOMER	EWS79_RS05850	4-hydroxythreonine-4-phosphate dehydrogenase	
EWS79_RS04395-MONOMER	EWS79_RS04395	5'-nucleotidase SurE	
EWS79_RS06315-MONOMER	EWS79_RS06315	5-(carboxyamino)imidazole ribonucleotide mutase	
EWS79_RS06320-MONOMER	EWS79_RS06320	5-(carboxyamino)imidazole ribonucleotide synthase	CCI-PM-BAC-NEG-GN
EWS79_RS05365-MONOMER	EWS79_RS05365	5-aminolevulinate synthase	
EWS79_RS00920-MONOMER	EWS79_RS00920	5-formyltetrahydrofolate cyclo-ligase	
EWS79_RS07815-MONOMER	EWS79_RS07815	5-methyltetrahydrofolate--homocysteine methyltransferase	CCI-CYTOSOL-GN
EWS79_RS04455-MONOMER	EWS79_RS04455	5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase	
EWS79_RS03215-MONOMER	EWS79_RS03215	50S ribosomal protein L1	CCI-CYTOSOL-GN
EWS79_RS03220-MONOMER	EWS79_RS03220	50S ribosomal protein L10	CCI-CYTOSOL-GN
EWS79_RS03210-MONOMER	EWS79_RS03210	50S ribosomal protein L11	CCI-CYTOSOL-GN
EWS79_RS02515-MONOMER	EWS79_RS02515	50S ribosomal protein L11 methyltransferase	
