Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
EWS79_RS06320-MONOMER	Inner_Membrane	EWS79_RS06320()	Inner_Membrane	s
EWS79_RS07105-MONOMER	Inner_Membrane	EWS79_RS07105()	Inner_Membrane	s
EWS79_RS03535-MONOMER	Inner_Membrane	EWS79_RS03535()	Inner_Membrane	s
EWS79_RS08495-MONOMER	Inner_Membrane	EWS79_RS08495()	Inner_Membrane	s
EWS79_RS06810-MONOMER	Inner_Membrane	EWS79_RS06810()	Inner_Membrane	s
EWS79_RS07665-MONOMER	Inner_Membrane	EWS79_RS07665()	Inner_Membrane	s
EWS79_RS02870-MONOMER	Inner_Membrane	EWS79_RS02870()	Inner_Membrane	s
EWS79_RS08070-MONOMER	Inner_Membrane	EWS79_RS08070()	Inner_Membrane	s
EWS79_RS07100-MONOMER	Inner_Membrane	EWS79_RS07100()	Inner_Membrane	s
EWS79_RS07420-MONOMER	Inner_Membrane	EWS79_RS07420()	Inner_Membrane	s
EWS79_RS06015-MONOMER	Inner_Membrane	EWS79_RS06015()	Inner_Membrane	s
EWS79_RS02120-MONOMER	Inner_Membrane	EWS79_RS02120()	Inner_Membrane	s
EWS79_RS00665-MONOMER	Inner_Membrane	EWS79_RS00665()	Inner_Membrane	s
EWS79_RS07685-MONOMER	Inner_Membrane	EWS79_RS07685()	Inner_Membrane	s
EWS79_RS07680-MONOMER	Inner_Membrane	EWS79_RS07680()	Inner_Membrane	s
EWS79_RS01335-MONOMER	Inner_Membrane	EWS79_RS01335()	Inner_Membrane	s
EWS79_RS00395-MONOMER	Inner_Membrane	EWS79_RS00395()	Inner_Membrane	s
EWS79_RS05180-MONOMER	Inner_Membrane	EWS79_RS05180()	Inner_Membrane	s
EWS79_RS01770-MONOMER	Inner_Membrane	EWS79_RS01770()	Inner_Membrane	s
EWS79_RS02045-MONOMER	Inner_Membrane	EWS79_RS02045()	Inner_Membrane	s
EWS79_RS05590-MONOMER	Inner_Membrane	EWS79_RS05590()	Inner_Membrane	s
EWS79_RS06985-MONOMER	Inner_Membrane	EWS79_RS06985()	Inner_Membrane	s
EWS79_RS04300-MONOMER	Inner_Membrane	EWS79_RS04300()	Inner_Membrane	s
EWS79_RS02555-MONOMER	Inner_Membrane	EWS79_RS02555()	Inner_Membrane	s
EWS79_RS07460-MONOMER	Inner_Membrane	EWS79_RS07460()	Inner_Membrane	s
EWS79_RS06795-MONOMER	Inner_Membrane	EWS79_RS06795()	Inner_Membrane	s
EWS79_RS01010-MONOMER	Periplasm	EWS79_RS01010()	Periplasm	s
EWS79_RS06365-MONOMER	Inner_Membrane	EWS79_RS06365()	Inner_Membrane	s
EWS79_RS01380-MONOMER	Periplasm	EWS79_RS01380()	Periplasm	s
EWS79_RS02615-MONOMER	Inner_Membrane	EWS79_RS02615()	Inner_Membrane	s
EWS79_RS08445-MONOMER	Inner_Membrane	EWS79_RS08445()	Inner_Membrane	s
EWS79_RS06625-MONOMER	Inner_Membrane	EWS79_RS06625()	Inner_Membrane	s
EWS79_RS01215-MONOMER	Inner_Membrane	EWS79_RS01215()	Inner_Membrane	s
EWS79_RS06815-MONOMER	Inner_Membrane	EWS79_RS06815()	Inner_Membrane	s
EWS79_RS03440-MONOMER	Inner_Membrane	EWS79_RS03440()	Inner_Membrane	s
EWS79_RS03435-MONOMER	Inner_Membrane	EWS79_RS03435()	Inner_Membrane	s
EWS79_RS04290-MONOMER	Outer_Membrane	EWS79_RS04290()	Outer_Membrane	s
EWS79_RS01225-MONOMER	Outer_Membrane	EWS79_RS01225()	Outer_Membrane	s
EWS79_RS08120-MONOMER	Inner_Membrane	EWS79_RS08120()	Inner_Membrane	s
EWS79_RS05695-MONOMER	Inner_Membrane	EWS79_RS05695()	Inner_Membrane	s
EWS79_RS07575-MONOMER	Inner_Membrane	EWS79_RS07575()	Inner_Membrane	s
EWS79_RS02945-MONOMER	Inner_Membrane	EWS79_RS02945()	Inner_Membrane	s
EWS79_RS01035-MONOMER	Inner_Membrane	EWS79_RS01035()	Inner_Membrane	s
EWS79_RS02950-MONOMER	Inner_Membrane	EWS79_RS02950()	Inner_Membrane	s
EWS79_RS02680-MONOMER	Periplasm	EWS79_RS02680()	Periplasm	s
EWS79_RS02715-MONOMER	Periplasm	EWS79_RS02715()	Periplasm	s
EWS79_RS02710-MONOMER	Periplasm	EWS79_RS02710()	Periplasm	s
EWS79_RS02695-MONOMER	Periplasm	EWS79_RS02695()	Periplasm	s
EWS79_RS02745-MONOMER	Inner_Membrane	EWS79_RS02745()	Inner_Membrane	s
EWS79_RS02845-MONOMER	Inner_Membrane	EWS79_RS02845()	Inner_Membrane	s
EWS79_RS02655-MONOMER	Inner_Membrane	EWS79_RS02655()	Inner_Membrane	s
EWS79_RS02660-MONOMER	Inner_Membrane	EWS79_RS02660()	Inner_Membrane	s
EWS79_RS02830-MONOMER	Inner_Membrane	EWS79_RS02830()	Inner_Membrane	s
EWS79_RS05740-MONOMER	Inner_Membrane	EWS79_RS05740()	Inner_Membrane	s
EWS79_RS04980-MONOMER	Inner_Membrane	EWS79_RS04980()	Inner_Membrane	s
EWS79_RS05350-MONOMER	Inner_Membrane	EWS79_RS05350()	Inner_Membrane	s
EWS79_RS04330-MONOMER	Inner_Membrane	EWS79_RS04330()	Inner_Membrane	s
EWS79_RS03850-MONOMER	Inner_Membrane	EWS79_RS03850()	Inner_Membrane	s
EWS79_RS06140-MONOMER	Inner_Membrane	EWS79_RS06140()	Inner_Membrane	s
EWS79_RS05010-MONOMER	Inner_Membrane	EWS79_RS05010()	Inner_Membrane	s
EWS79_RS01265-MONOMER	Inner_Membrane	EWS79_RS01265()	Inner_Membrane	s
EWS79_RS00295-MONOMER	Inner_Membrane	EWS79_RS00295()	Inner_Membrane	s
EWS79_RS04295-MONOMER	Inner_Membrane	EWS79_RS04295()	Inner_Membrane	s
EWS79_RS06360-MONOMER	Inner_Membrane	EWS79_RS06360()	Inner_Membrane	s
EWS79_RS07130-MONOMER	Inner_Membrane	EWS79_RS07130()	Inner_Membrane	s
EWS79_RS04345-MONOMER	Inner_Membrane	EWS79_RS04345()	Inner_Membrane	s
EWS79_RS07955-MONOMER	Inner_Membrane	EWS79_RS07955()	Inner_Membrane	s
EWS79_RS07275-MONOMER	Inner_Membrane	EWS79_RS07275()	Inner_Membrane	s
EWS79_RS07270-MONOMER	Inner_Membrane	EWS79_RS07270()	Inner_Membrane	s
EWS79_RS04260-MONOMER	Inner_Membrane	EWS79_RS04260()	Inner_Membrane	s
EWS79_RS07185-MONOMER	Inner_Membrane	EWS79_RS07185()	Inner_Membrane	s
EWS79_RS02505-MONOMER	Inner_Membrane	EWS79_RS02505()	Inner_Membrane	s
EWS79_RS07290-MONOMER	Inner_Membrane	EWS79_RS07290()	Inner_Membrane	s
EWS79_RS03135-MONOMER	Inner_Membrane	EWS79_RS03135()	Inner_Membrane	s
EWS79_RS04490-MONOMER	Inner_Membrane	EWS79_RS04490()	Inner_Membrane	s
EWS79_RS01865-MONOMER	Inner_Membrane	EWS79_RS01865()	Inner_Membrane	s
EWS79_RS00390-MONOMER	Inner_Membrane	EWS79_RS00390()	Inner_Membrane	s
EWS79_RS06200-MONOMER	Inner_Membrane	EWS79_RS06200()	Inner_Membrane	s
EWS79_RS06260-MONOMER	Periplasm	EWS79_RS06260()	Periplasm	s
EWS79_RS04660-MONOMER	Inner_Membrane	EWS79_RS04660()	Inner_Membrane	s
EWS79_RS06190-MONOMER	Inner_Membrane	EWS79_RS06190()	Inner_Membrane	s
EWS79_RS06395-MONOMER	Inner_Membrane	EWS79_RS06395()	Inner_Membrane	s
EWS79_RS03410-MONOMER	Inner_Membrane	EWS79_RS03410()	Inner_Membrane	s
EWS79_RS01755-MONOMER	Inner_Membrane	EWS79_RS01755()	Inner_Membrane	s
EWS79_RS07985-MONOMER	Inner_Membrane	EWS79_RS07985()	Inner_Membrane	s
EWS79_RS06530-MONOMER	Inner_Membrane	EWS79_RS06530()	Inner_Membrane	s
EWS79_RS01860-MONOMER	Inner_Membrane	EWS79_RS01860()	Inner_Membrane	s
EWS79_RS03925-MONOMER	Inner_Membrane	EWS79_RS03925()	Inner_Membrane	s
EWS79_RS00350-MONOMER	Inner_Membrane	EWS79_RS00350()	Inner_Membrane	s
EWS79_RS04460-MONOMER	Inner_Membrane	EWS79_RS04460()	Inner_Membrane	s
EWS79_RS01545-MONOMER	Inner_Membrane	EWS79_RS01545()	Inner_Membrane	s
EWS79_RS02750-MONOMER	Inner_Membrane	EWS79_RS02750()	Inner_Membrane	s
EWS79_RS04550-MONOMER	Inner_Membrane	EWS79_RS04550()	Inner_Membrane	s
EWS79_RS07690-MONOMER	Inner_Membrane	EWS79_RS07690()	Inner_Membrane	s
EWS79_RS01220-MONOMER	Inner_Membrane	EWS79_RS01220()	Inner_Membrane	s
EWS79_RS03085-MONOMER	Inner_Membrane	EWS79_RS03085()	Inner_Membrane	s
EWS79_RS07320-MONOMER	Inner_Membrane	EWS79_RS07320()	Inner_Membrane	s
EWS79_RS04955-MONOMER	Inner_Membrane	EWS79_RS04955()	Inner_Membrane	s
EWS79_RS02110-MONOMER	Inner_Membrane	EWS79_RS02110()	Inner_Membrane	s
EWS79_RS03650-MONOMER	Inner_Membrane	EWS79_RS03650()	Inner_Membrane	s
EWS79_RS00685-MONOMER	Outer_Membrane	EWS79_RS00685()	Outer_Membrane	s
EWS79_RS05845-MONOMER	Periplasm	EWS79_RS05845()	Periplasm	s
EWS79_RS03775-MONOMER	Periplasm	EWS79_RS03775()	Periplasm	s
EWS79_RS04685-MONOMER	Inner_Membrane	EWS79_RS04685()	Inner_Membrane	s
EWS79_RS04680-MONOMER	Inner_Membrane	EWS79_RS04680()	Inner_Membrane	s
EWS79_RS04675-MONOMER	Inner_Membrane	EWS79_RS04675()	Inner_Membrane	s
EWS79_RS03665-MONOMER	Inner_Membrane	EWS79_RS03665()	Inner_Membrane	s
EWS79_RS05410-MONOMER	Inner_Membrane	EWS79_RS05410()	Inner_Membrane	s
EWS79_RS03200-MONOMER	Inner_Membrane	EWS79_RS03200()	Inner_Membrane	s
EWS79_RS02340-MONOMER	Inner_Membrane	EWS79_RS02340()	Inner_Membrane	s
EWS79_RS08565-MONOMER	Inner_Membrane	EWS79_RS08565()	Inner_Membrane	s
EWS79_RS08555-MONOMER	Inner_Membrane	EWS79_RS08555()	Inner_Membrane	s
EWS79_RS03765-MONOMER	Periplasm	EWS79_RS03765()	Periplasm	s
EWS79_RS01930-MONOMER	Outer_Membrane	EWS79_RS01930()	Outer_Membrane	s
EWS79_RS07400-MONOMER	Inner_Membrane	EWS79_RS07400()	Inner_Membrane	s
EWS79_RS05130-MONOMER	Inner_Membrane	EWS79_RS05130()	Inner_Membrane	s
EWS79_RS08105-MONOMER	Inner_Membrane	EWS79_RS08105()	Inner_Membrane	s
EWS79_RS01520-MONOMER	Inner_Membrane	EWS79_RS01520()	Inner_Membrane	s
EWS79_RS07790-MONOMER	Inner_Membrane	EWS79_RS07790()	Inner_Membrane	s
EWS79_RS04950-MONOMER	Inner_Membrane	EWS79_RS04950()	Inner_Membrane	s
EWS79_RS08250-MONOMER	Inner_Membrane	EWS79_RS08250()	Inner_Membrane	s
EWS79_RS07660-MONOMER	Inner_Membrane	EWS79_RS07660()	Inner_Membrane	s
EWS79_RS01375-MONOMER	Inner_Membrane	EWS79_RS01375()	Inner_Membrane	s
EWS79_RS04790-MONOMER	Inner_Membrane	EWS79_RS04790()	Inner_Membrane	s
EWS79_RS03745-MONOMER	Inner_Membrane	EWS79_RS03745()	Inner_Membrane	s
EWS79_RS01250-MONOMER	Inner_Membrane	EWS79_RS01250()	Inner_Membrane	s
EWS79_RS00230-MONOMER	Inner_Membrane	EWS79_RS00230()	Inner_Membrane	s
EWS79_RS02390-MONOMER	Inner_Membrane	EWS79_RS02390()	Inner_Membrane	s
EWS79_RS04720-MONOMER	Periplasm	EWS79_RS04720()	Periplasm	s
EWS79_RS05105-MONOMER	Inner_Membrane	EWS79_RS05105()	Inner_Membrane	s
EWS79_RS00680-MONOMER	Periplasm	EWS79_RS00680()	Periplasm	s
EWS79_RS06355-MONOMER	Outer_Membrane	EWS79_RS06355()	Outer_Membrane	s
EWS79_RS03530-MONOMER	Outer_Membrane	EWS79_RS03530()	Outer_Membrane	s
EWS79_RS05615-MONOMER	Inner_Membrane	EWS79_RS05615()	Inner_Membrane	s
EWS79_RS07520-MONOMER	Inner_Membrane	EWS79_RS07520()	Inner_Membrane	s
EWS79_RS01760-MONOMER	Inner_Membrane	EWS79_RS01760()	Inner_Membrane	s
ZMO1683-MONOMER	Periplasm	ZMO1683()	Periplasm	s
ZMO1389-MONOMER	Inner_Membrane	ZMO1389()	Inner_Membrane	r
ZMO0828-MONOMER	Inner_Membrane	ZMO0828()	Inner_Membrane	r
ZMO1419-MONOMER	Inner_Membrane	ZMO1419()	Inner_Membrane	r
ZMO0719-MONOMER	Periplasm	ZMO0719()	Periplasm	s
