reaction	keff
23CN2P1	65
23CN2P2	65
23CN2P3	65
23CN2P4	65
26DPAi	65
2S6HCCi	65
3AMBAt2	65
3NUCLE1	65
3NUCLE2	65
3NUCLE3	65
3NUCLE4	65
AAMYL_1	65
AB6PGH	65
ABTA	65
ABUTD	65
ABUTt2r	65
ACACT1r	65
ACACT2r	65
ACACT3r	65
ACACT4r	65
ACACT5r_1	65
ACACT6r_1	65
ACACT7r	65
ACCOAC	65
ACGApts	65
ACGK	65
ACGS	65
ACHBS	65
ACKr	65
ACLDC	65
ACLS	65
ACOAD1	65
ACOAD2	65
ACOAD20	65
ACOAD3	65
ACOAD4_1	65
ACOAD5_1	65
ACOAD6	65
ACOAD7	65
ACOADH2	65
ACODA_1	65
ACONT	65
ACOTA	65
ACPS1	65
ACPpds	65
ACS	65
ACS2	65
ACTD2	65
ACTNabc	65
ACTNabc1	65
ADADir	65
ADCL	65
ADCS	65
ADD	65
ADK1	65
ADK2	65
ADMDC	65
ADNK1	65
ADNt2	65
ADPDA	65
ADPRDP	65
ADPT	65
ADSK	65
ADSL1r	65
ADSL2r	65
ADSS	65
AGDC	65
AGMT	65
AGPATr_BS	65
AGPR	65
AHCYSNS	65
AHMMPS_1	65
AHSERL3	65
AHSERL4	65
AICART	65
AIRC1	65
AKGDH	65
AKGt2r	65
AKP1	65
ALAALAr	65
ALAD_L	65
ALAR	65
ALATA_L	65
ALAt2r	65
ALCD19_L	65
ALCD19y	65
ALCD2y	65
ALDD1	65
ALDD10	65
ALDD11	65
ALDD12	65
ALDD13	65
ALDD14	65
ALDD15	65
ALDD16	65
ALDD17	65
ALDD18	65
ALDD20x_1	65
ALDD2x	65
ALDD3	65
ALDD31_1	65
ALDD32	65
ALDD4	65
ALDD4x	65
ALDD5	65
ALDD6	65
ALDD7	65
ALDD8	65
ALDD9	65
ALKP	65
ALLTN	65
ALTRH	65
AMAA	65
AMAOTr	65
AMMQT7	65
ANPRT	65
ANS	65
ANTIMt1	65
AOXSr	65
APATi	65
APNPT	65
APRAUR	65
APSR	65
APTA1i	65
ARABRr	65
ARAI	65
