Reaction	Complexes
23CN2P1	BSU07840-MONOMER
23CN2P2	BSU07840-MONOMER
23CN2P3	BSU07840-MONOMER
23CN2P4	BSU07840-MONOMER
26DPAi	CPLX8J2-80
2S6HCCi	BSU30820-MONOMER_mod_mg2(1)_mod_mn2(1)_mod_thmpp(1)
3AMBAt2	BSU06310-MONOMER
3NUCLE1	BSU07840-MONOMER
3NUCLE2	BSU07840-MONOMER
3NUCLE3	BSU07840-MONOMER
3NUCLE4	BSU07840-MONOMER
AAMYL_1	BSU03040-MONOMER
AB6PGH	BSU38560-MONOMER OR BSU40110-MONOMER
ABTA	BSU03900-MONOMER_mod_pydx5p(1)
ABUTD	BSU19310-MONOMER OR BSU38830-MONOMER OR BSU39860-MONOMER
ABUTt2r	BSU06310-MONOMER
ACACT1r	BSU24170-MONOMER
ACACT2r	BSU32830-MONOMER
ACACT3r	BSU32830-MONOMER
ACACT4r	BSU32830-MONOMER
ACACT5r_1	BSU32830-MONOMER
ACACT6r_1	BSU32830-MONOMER
ACACT7r	BSU32830-MONOMER
ACCOAC	CPLX_ACCOAC-0
ACGApts	CPLX_ACGApts-0
ACGK	BSU11210-MONOMER_mod_mg2(1)
ACGS	BSU11200-MONOMER
ACHBS	BSU36010-MONOMER OR CPLX8J2-23
ACKr	BSU29470-MONOMER
ACLDC	BSU36000-MONOMER
ACLS	CPLX8J2-23 OR BSU36010-MONOMER
ACOAD1	BSU32820-MONOMER OR BSU24150-MONOMER OR BSU37170-MONOMER OR BSU18260-MONOMER OR BSU04520-MONOMER
ACOAD2	BSU37170-MONOMER OR BSU24150-MONOMER
ACOAD20	BSU18260-MONOMER OR BSU32820-MONOMER OR BSU04520-MONOMER
ACOAD3	BSU24150-MONOMER OR BSU37170-MONOMER
ACOAD4_1	BSU37170-MONOMER OR BSU24150-MONOMER
ACOAD5_1	BSU24150-MONOMER OR BSU37170-MONOMER
ACOAD6	BSU37170-MONOMER OR BSU24150-MONOMER
ACOAD7	BSU24150-MONOMER OR BSU37170-MONOMER
ACOADH2	BSU04520-MONOMER OR BSU18260-MONOMER OR BSU32820-MONOMER
ACODA_1	BSU15350-MONOMER
ACONT	BSU18000-MONOMER_mod_4fe4s(1)
ACOTA	BSU11220-MONOMER_mod_pydx5p(1)
