Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
BSU39950-MONOMER	Plasma_Membrane	BSU39950()	Plasma_Membrane	s
BSU15400-MONOMER	Plasma_Membrane	BSU15400()	Plasma_Membrane	s
BSU02670-MONOMER	Plasma_Membrane	BSU02670()	Plasma_Membrane	s
BSU38060-MONOMER	Plasma_Membrane	BSU38060()	Plasma_Membrane	s
BSU15160-MONOMER	Plasma_Membrane	BSU15160()	Plasma_Membrane	s
BSU28900-MONOMER	Plasma_Membrane	BSU28900()	Plasma_Membrane	s
BSU32750-MONOMER	Plasma_Membrane	BSU32750()	Plasma_Membrane	s
BSU06820-MONOMER	Plasma_Membrane	BSU06820()	Plasma_Membrane	s
BSU07050-MONOMER	Extracellular_Space	BSU07050()	Extracellular_Space	s
BSU01000-MONOMER	Plasma_Membrane	BSU01000()	Plasma_Membrane	s
BSU39790-MONOMER	Plasma_Membrane	BSU39790()	Plasma_Membrane	s
BSU18150-MONOMER	Extracellular_Space	BSU18150()	Extracellular_Space	s
BSU28730-MONOMER	Plasma_Membrane	BSU28730()	Plasma_Membrane	s
BSU32380-MONOMER	Plasma_Membrane	BSU32380()	Plasma_Membrane	s
BSU40022-MONOMER	Plasma_Membrane	BSU40022()	Plasma_Membrane	s
BSU00600-MONOMER	Plasma_Membrane	BSU00600()	Plasma_Membrane	s
BSU10390-MONOMER	Plasma_Membrane	BSU10390()	Plasma_Membrane	s
BSU39630-MONOMER	Plasma_Membrane	BSU39630()	Plasma_Membrane	s
BSU11370-MONOMER	Plasma_Membrane	BSU11370()	Plasma_Membrane	s
BSU25290-MONOMER	Plasma_Membrane	BSU25290()	Plasma_Membrane	s
BSU08620-MONOMER	Plasma_Membrane	BSU08620()	Plasma_Membrane	s
BSU14850-MONOMER	Plasma_Membrane	BSU14850()	Plasma_Membrane	s
BSU15240-MONOMER	Plasma_Membrane	BSU15240()	Plasma_Membrane	s
BSU24930-MONOMER	Plasma_Membrane	BSU24930()	Plasma_Membrane	s
BSU28570-MONOMER	Plasma_Membrane	BSU28570()	Plasma_Membrane	s
BSU37900-MONOMER	Plasma_Membrane	BSU37900()	Plasma_Membrane	s
BSU19579-MONOMER	Plasma_Membrane	BSU19579()	Plasma_Membrane	s
BSU35840-MONOMER	Plasma_Membrane	BSU35840()	Plasma_Membrane	s
BSU35680-MONOMER	Plasma_Membrane	BSU35680()	Plasma_Membrane	s
BSU08460-MONOMER	Plasma_Membrane	BSU08460()	Plasma_Membrane	s
BSU06220-MONOMER	Plasma_Membrane	BSU06220()	Plasma_Membrane	s
BSU28810-MONOMER	Extracellular_Space	BSU28810()	Extracellular_Space	s
BSU03788-MONOMER	Plasma_Membrane	BSU03788()	Plasma_Membrane	s
BSU39710-MONOMER	Plasma_Membrane	BSU39710()	Plasma_Membrane	s
BSU11460-MONOMER	Plasma_Membrane	BSU11460()	Plasma_Membrane	s
BSU39020-MONOMER	Plasma_Membrane	BSU39020()	Plasma_Membrane	s
BSU21340-MONOMER	Plasma_Membrane	BSU21340()	Plasma_Membrane	s
BSU14930-MONOMER	Plasma_Membrane	BSU14930()	Plasma_Membrane	s
BSU25010-MONOMER	Plasma_Membrane	BSU25010()	Plasma_Membrane	s
BSU33900-MONOMER	Extracellular_Space	BSU33900()	Extracellular_Space	s
BSU05880-MONOMER	Extracellular_Space	BSU05880()	Extracellular_Space	s
BSU08290-MONOMER	Plasma_Membrane	BSU08290()	Plasma_Membrane	s
BSU31600-MONOMER	Plasma_Membrane	BSU31600()	Plasma_Membrane	s
BSU06590-MONOMER	Plasma_Membrane	BSU06590()	Plasma_Membrane	s
BSU02200-MONOMER	Plasma_Membrane	BSU02200()	Plasma_Membrane	s
BSU09590-MONOMER	Plasma_Membrane	BSU09590()	Plasma_Membrane	s
BSU12875-MONOMER	Plasma_Membrane	BSU12875()	Plasma_Membrane	s
BSU09420-MONOMER	Cell_Wall	BSU09420()	Cell_Wall	s
BSU04500-MONOMER	Plasma_Membrane	BSU04500()	Plasma_Membrane	s
BSU16430-MONOMER	Plasma_Membrane	BSU16430()	Plasma_Membrane	s
BSU23960-MONOMER	Plasma_Membrane	BSU23960()	Plasma_Membrane	s
BSU31300-MONOMER	Plasma_Membrane	BSU31300()	Plasma_Membrane	s
BSU08130-MONOMER	Plasma_Membrane	BSU08130()	Plasma_Membrane	s
BSU20190-MONOMER	Plasma_Membrane	BSU20190()	Plasma_Membrane	s
BSU35760-MONOMER	Plasma_Membrane	BSU35760()	Plasma_Membrane	s
BSU19110-MONOMER	Plasma_Membrane	BSU19110()	Plasma_Membrane	s
BSU10140-MONOMER	Plasma_Membrane	BSU10140()	Plasma_Membrane	s
BSU31150-MONOMER	Plasma_Membrane	BSU31150()	Plasma_Membrane	s
BSU09090-MONOMER	Plasma_Membrane	BSU09090()	Plasma_Membrane	s
BSU03000-MONOMER	Plasma_Membrane	BSU03000()	Plasma_Membrane	s
BSU14620-MONOMER	Plasma_Membrane	BSU14620()	Plasma_Membrane	s
BSU23640-MONOMER	Plasma_Membrane	BSU23640()	Plasma_Membrane	s
BSU24690-MONOMER	Plasma_Membrane	BSU24690()	Plasma_Membrane	s
BSU05280-MONOMER	Plasma_Membrane	BSU05280()	Plasma_Membrane	s
BSU30000-MONOMER	Plasma_Membrane	BSU30000()	Plasma_Membrane	s
BSU30990-MONOMER	Plasma_Membrane	BSU30990()	Plasma_Membrane	s
BSU13490-MONOMER	Plasma_Membrane	BSU13490()	Plasma_Membrane	s
BSU39270-MONOMER	Plasma_Membrane	BSU39270()	Plasma_Membrane	s
BSU22520-MONOMER	Plasma_Membrane	BSU22520()	Plasma_Membrane	s
BSU28160-MONOMER	Plasma_Membrane	BSU28160()	Plasma_Membrane	s
BSU04980-MONOMER	Plasma_Membrane	BSU04980()	Plasma_Membrane	s
BSU16950-MONOMER	Plasma_Membrane	BSU16950()	Plasma_Membrane	s
BSU33420-MONOMER	Plasma_Membrane	BSU33420()	Plasma_Membrane	s
BSU19580-MONOMER	Plasma_Membrane	BSU19580()	Plasma_Membrane	s
BSU23170-MONOMER	Plasma_Membrane	BSU23170()	Plasma_Membrane	s
BSU03710-MONOMER	Plasma_Membrane	BSU03710()	Plasma_Membrane	s
BSU30510-MONOMER	Plasma_Membrane	BSU30510()	Plasma_Membrane	s
BSU34070-MONOMER	Plasma_Membrane	BSU34070()	Plasma_Membrane	s
BSU37750-MONOMER	Plasma_Membrane	BSU37750()	Plasma_Membrane	s
BSU24370-MONOMER	Plasma_Membrane	BSU24370()	Plasma_Membrane	s
BSU22205-MONOMER	Plasma_Membrane	BSU22205()	Plasma_Membrane	s
BSU28010-MONOMER	Plasma_Membrane	BSU28010()	Plasma_Membrane	s
BSU22990-MONOMER	Plasma_Membrane	BSU22990()	Plasma_Membrane	s
BSU15960-MONOMER	Extracellular_Space	BSU15960()	Extracellular_Space	s
BSU30350-MONOMER	Plasma_Membrane	BSU30350()	Plasma_Membrane	s
BSU33260-MONOMER	Plasma_Membrane	BSU33260()	Plasma_Membrane	s
BSU02210-MONOMER	Plasma_Membrane	BSU02210()	Plasma_Membrane	s
BSU35280-MONOMER	Plasma_Membrane	BSU35280()	Plasma_Membrane	s
BSU12860-MONOMER	Plasma_Membrane	BSU12860()	Plasma_Membrane	s
BSU03550-MONOMER	Plasma_Membrane	BSU03550()	Plasma_Membrane	s
BSU36940-MONOMER	Plasma_Membrane	BSU36940()	Plasma_Membrane	s
BSU04510-MONOMER	Plasma_Membrane	BSU04510()	Plasma_Membrane	s
BSU08140-MONOMER	Plasma_Membrane	BSU08140()	Plasma_Membrane	s
BSU24200-MONOMER	Plasma_Membrane	BSU24200()	Plasma_Membrane	s
BSU37430-MONOMER	Plasma_Membrane	BSU37430()	Plasma_Membrane	s
BSU05800-MONOMER	Plasma_Membrane	BSU05800()	Plasma_Membrane	s
