complex_id,name,genes,mod,replace
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,BSU29200() AND BSU29210() AND BSU24350() AND BSU24340() AND BSU22440(),,
CPLX_ACGApts-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,BSU07700() AND BSU13900() AND BSU13910(),,
CPLX_ACTD2-0,Acetoin dehydrogenase,BSU29690() AND BSU29700() AND BSU29710(),,
CPLX_ACTNabc-0,Acetoin transport via ABC system,BSU30450() AND BSU30440() AND BSU30430() AND BSU30420() AND BSU30410(),,
CPLX_AIRC1-0,Phosphoribosylaminoimidazole carboxylase  ATP dependent ,BSU06420() AND BSU06430(),,
CPLX_AKGDH-0,2-Oxogluterate dehydrogenase,BSU19370(12) AND BSU14610(2) AND BSU19360(24),,
CPLX_AMAA-0,N-acetylmuramoyl-L-alanine amidase,BSU25900() AND BSU17410() AND BSU01530() AND BSU25710() AND BSU35620(),,
CPLX_ARBTpts-0,Arbutin transport via PEPPyr PTS,BSU39270() AND BSU13900() AND BSU13910(),,
CPLX_ARBabc-0,L-arabinose transport via ABC system,BSU28750() AND BSU28740() AND BSU28730(),,
CPLX_ATPS4r-0,ATP synthase (four protons for one ATP),BSU36880() AND BSU36870() AND BSU36860() AND BSU36850() AND BSU36840() AND BSU36830() AND BSU36820() AND BSU36810() AND BSU36800(),,
CPLX_CBL2abc-0,Cobalamin uptake in via ABC transport,BSU33160() AND BSU33170() AND BSU33180(),,
CPLX_CELBpts-0,Cellobiose transport via PEPPyr PTS,BSU13900() AND BSU13910() AND BSU38390(),,
CPLX_CELBpts-1,Cellobiose transport via PEPPyr PTS,BSU13900() AND BSU13910() AND BSU05810() AND BSU05820() AND BSU05830(),,
CPLX_CELBpts-2,Cellobiose transport via PEPPyr PTS,BSU38570() AND BSU38590() AND BSU38580() AND BSU13900() AND BSU13910(),,
CPLX_DRIBabc-0,Deoxyribose transport via ABC system,BSU35960() AND BSU35950() AND BSU35930() AND BSU35940(),,
CPLX_FDH-0,Formate dehydrogenase,BSU36710() AND BSU12160(),,
