Proteins	Accession-1	Common-Name	Genes of polypeptide, complex, or RNA	Locations	Gene
BSU32680-MONOMER		iron-sulfur cluster assembly sulfur-transfer protein (Zn(2+)-dependent)	BSU32680	CCI-CYTOSOL-GP	BSU32680
BSU11920-MONOMER		conserved hypothetical protein; phage island	BSU11920		BSU11920
BSU30820-MONOMER		2-oxoglutarate decarboxylase and 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1- carboxylic-acid synthase	BSU30820		BSU30820
BSU06970-MONOMER		rhamnogalacturonan trisaccharide-binding lipoprotein	BSU06970		BSU06970
BSU00920-MONOMER		glutamyl-tRNA synthetase	BSU00920	CCI-CYTOSOL-GP	BSU00920
BSU21830-MONOMER		putative phosphatidylglycerophosphatase	BSU21830		BSU21830
BSU34390-MONOMER		para-nitrobenzyl esterase (intracellular esterase B)	BSU34390		BSU34390
BSU36310-MONOMER		single-strand DNA-binding protein	BSU36310	CCI-BAC-NUCLEOID-GP // CCI-CYTOSOL-GP	BSU36310
EG50003-MONOMER		acyl carrier protein			
BSU10710-MONOMER		spore germination protein	BSU10710		BSU10710
BSU25450-MONOMER		ribosomal protein L11 methyltransferase	BSU25450	CCI-CYTOSOL-GP	BSU25450
BSU08779-MONOMER		putative spore coat protein	BSU08779		BSU08779
BSU39950-MONOMER		putative integral membrane protein of unknown function	BSU39950	CCI-PM-BAC-POS-GP	BSU39950
BSU11690-MONOMER		thiazole synthase	BSU11690	CCI-CYTOSOL-GP	BSU11690
BSU15400-MONOMER		factor involved in shape determination, distribution of nucleoids and osmotic tolerance	BSU15400	CCI-PM-BAC-POS-GP	BSU15400
BSU02670-MONOMER		flavonoid efflux transporter; drug-export protein	BSU02670	CCI-PM-BAC-POS-GP	BSU02670
BSU21580-MONOMER		putative RNase; phage SPbeta	BSU21580		BSU21580
BSU25220-MONOMER		hypothetical protein	BSU25220		BSU25220
BSU29140-MONOMER		citrate synthase II	BSU29140	CCI-CYTOSOL-GP	BSU29140
BSU38060-MONOMER		nitrite transporter	BSU38060	CCI-PM-BAC-POS-GP	BSU38060
BSU15160-MONOMER		penicillin-binding protein 2B	BSU15160	CCI-PM-BAC-POS-GP	BSU15160
BSU28900-MONOMER		pyruvate import system subunit B	BSU28900	CCI-PM-BAC-POS-GP	BSU28900
BSU32750-MONOMER		methionine ABC transporter ATP-binding protein	BSU32750	CCI-PM-BAC-POS-GP	BSU32750
BSU19700-MONOMER		epsilon-amino-beta-lysine acetyl transferase	BSU19700		BSU19700
BSU32530-MONOMER		allantoate amidohydrolase	BSU32530	CCI-CYTOSOL-GP	BSU32530
BSU06820-MONOMER		putative phage receptor protein	BSU06820	CCI-PM-BAC-POS-GP	BSU06820
BSU07050-MONOMER		polysaccharide lyase; lipoprotein	BSU07050	CCI-EXTRACELLULAR-GP	BSU07050
BSU38495-MONOMER		hypothetical protein	BSU38495		BSU38495
BSU00760-MONOMER		4-amino-4-deoxychorismate pyruvate-lyase	BSU00760	CCI-CYTOSOL-GP	BSU00760
BSU36160-MONOMER		putative transcriptional regulator (LysR family)	BSU36160	CCI-CYTOSOL-GP	BSU36160
BSU01000-MONOMER		preprotein translocase subunit	BSU01000	CCI-PM-BAC-POS-GP	BSU01000
BSU13320-MONOMER		conserved protein involved in sporulation	BSU13320		BSU13320
BSU10550-MONOMER		biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha, beta-trehalose);3-oxo-glucose-6-phosphate:glutamate aminotransferase; kanosamine aminotransferase (recent HGT island)	BSU10550		BSU10550
BSU39790-MONOMER		conserved protein of unknown function	BSU39790	CCI-PM-BAC-POS-GP	BSU39790
BSU36390-MONOMER		flagellar hook-basal body accessory protein	BSU36390		BSU36390
BSU23328-MONOMER		conserved hypothetical protein	BSU23328		BSU23328
BSU11540-MONOMER		oligoendopeptidase F	BSU11540		BSU11540
BSU21420-MONOMER		holin-like protein; bacteriophage SPbeta	BSU21420		BSU21420
BSU18150-MONOMER		secreted endo-xylanase	BSU18150	CCI-EXTRACELLULAR-GP	BSU18150
BSU26990-MONOMER		putative spore coat protein	BSU26990		BSU26990
BSU15010-MONOMER		16S rRNA m2G966 methyltransferase	BSU15010		BSU15010
BSU25090-MONOMER		putative nucleotidase	BSU25090		BSU25090
BSU10790-MONOMER		asparagine synthetase (sporulation related)	BSU10790		BSU10790
BSU04970-MONOMER		ICEBs1 mobile element: two-domain autolysin with N-acetylmuramidase and DL-endopeptidase activity VirB1	BSU04970		BSU04970
BSU28730-MONOMER		arabinose/arabinan permease	BSU28730	CCI-PM-BAC-POS-GP	BSU28730
BSU32380-MONOMER		putative transporter	BSU32380	CCI-PM-BAC-POS-GP	BSU32380
BSU40022-MONOMER		putative murein hydrolase export regulator	BSU40022	CCI-PM-BAC-POS-GP	BSU40022
BSU16940-MONOMER		multifunctional SOS repair factor	BSU16940	CCI-BAC-NUCLEOID-GP // CCI-CYTOSOL-GP	BSU16940
BSU06670-MONOMER		glutamyl-tRNA(Gln) amidotransferase (subunit C)	BSU06670		BSU06670
BSU00600-MONOMER		spore protein involved in the shaping of the spore coat	BSU00600	CCI-PM-BAC-POS-GP	BSU00600
BSU11770-MONOMER		spore coat protein (outemost layer)	BSU11770		BSU11770
BSU30660-MONOMER		putative lipoprotein	BSU30660		BSU30660
BSU36000-MONOMER		alpha-acetolactate decarboxylase	BSU36000		BSU36000
BSU10390-MONOMER		putative oxidoreductase with Rieske [2Fe-2S] center	BSU10390	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP	BSU10390
BSU21660-MONOMER		serine-type phage integrase; phage SPbeta	BSU21660		BSU21660
BSU34220-MONOMER		pyruvyl transferase for matrix biofilm formation	BSU34220		BSU34220
BSU39630-MONOMER		ABC transporter membrane subunit YxdM	BSU39630	CCI-PM-BAC-POS-GP	BSU39630
BSU38520-MONOMER		D-alanyl carrier protein	BSU38520	CCI-CYTOSOL-GP	BSU38520
BSU11370-MONOMER		oligopeptide ABC transporter ATP-binding protein AppF	BSU11370	CCI-PM-BAC-POS-GP	BSU11370
BSU25290-MONOMER		maturation of 16S RNA and assembly of 30S ribosomal subunit GTPase	BSU25290	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP	BSU25290
BSU08620-MONOMER		putative membrane hydrolase	BSU08620	CCI-PM-BAC-POS-GP	BSU08620
BSU21270-MONOMER		conserved phage protein of unknown function; phage SPbeta	BSU21270		BSU21270
