(Proteins Complexes)	Common-Name	Genes of polypeptide, complex, or RNA	Locations
G1G01-2620-MONOMER	hypothetical protein	G1G01-2620	
G1G01-1025-MONOMER	ribosome hibernation promoting factor	G1G01-1025	CCI-CYTOSOL-GN
G1G01-4670-MONOMER	chemotaxis protein methyltransferase	G1G01-4670	CCI-CYTOSOL-GN
G1G01-1371-MONOMER	alginate production protein AlgE	G1G01-1371	CCI-OUTER-MEM-GN
G1G01-2960-MONOMER	3-oxoacyl-ACP synthase	G1G01-2960	CCI-PM-BAC-NEG-GN
G1G01-5028-MONOMER	OsmY-like protein	G1G01-5028	CCI-PERI-BAC-GN
G1G01-3297-MONOMER	hypothetical protein	G1G01-3297	CCI-CYTOSOL-GN
G1G01-1711-MONOMER	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	G1G01-1711	
G1G01-5372-MONOMER	D-tyrosyl-tRNA(Tyr) deacylase	G1G01-5372	CCI-CYTOSOL-GN
G1G01-3634-MONOMER	quercetin 2,3-dioxygenase	G1G01-3634	CCI-CYTOSOL-GN
G1G01-1906-MONOMER	UDP-sugar epimerase	G1G01-1906	CCI-CYTOSOL-GN
G1G01-5711-MONOMER	sodium/proton antiporter	G1G01-5711	CCI-PM-BAC-NEG-GN
G1G01-3971-MONOMER	aminotransferase	G1G01-3971	CCI-CYTOSOL-GN
G1G01-851-MONOMER	hypothetical protein	G1G01-851	
G1G01-226-MONOMER	4Fe-4S ferredoxin	G1G01-226	
G1G01-4311-MONOMER	hypothetical protein	G1G01-4311	CCI-CYTOSOL-GN
G1G01-2604-MONOMER	hypothetical protein	G1G01-2604	CCO-MEMBRANE
G1G01-1010-MONOMER	septum formation protein	G1G01-1010	CCI-CYTOSOL-GN
G1G01-4656-MONOMER	flagellin	G1G01-4656	CCI-EXTRACELLULAR-GN // CCO-CELL-PROJECTION
G1G01-1357-MONOMER	LysR family transcriptional regulator	G1G01-1357	CCI-CYTOSOL-GN
G1G01-2946-MONOMER	long-chain-fatty acid--CoA ligase-like protein	G1G01-2946	
G1G01-5012-MONOMER	RNA polymerase-binding transcription factor DksA	G1G01-5012	CCI-CYTOSOL-GN
G1G01-3282-MONOMER	RNA polymerase ECF-9 &sigma; factor	G1G01-3282	CCI-CYTOSOL-GN
G1G01-1696-MONOMER	outer membrane protein assembly factor	G1G01-1696	CCI-OUTER-MEM-GN
G1G01-5357-MONOMER	hypothetical protein	G1G01-5357	CCI-CYTOSOL-GN
G1G01-362-MONOMER	hypothetical protein	G1G01-362	CCI-OUTER-MEM-GN
G1G01-5698-MONOMER	GntR family transcriptional regulator	G1G01-5698	CCI-CYTOSOL-GN
G1G01-3957-MONOMER	hypothetical protein	G1G01-3957	
G1G01-836-MONOMER	membrane protein	G1G01-836	CCI-PM-BAC-NEG-GN
G1G01-2245-MONOMER	hypothetical protein	G1G01-2245	CCI-PM-BAC-NEG-GN
G1G01-4298-MONOMER	ribonuclease Z	G1G01-4298	CCI-CYTOSOL-GN
G1G01-2590-MONOMER	AraC family transcriptional regulator	G1G01-2590	CCI-CYTOSOL-GN
G1G01-4641-MONOMER	two-component system sensor histidine kinase/response regulator	G1G01-4641	CCI-CYTOSOL-GN
G1G01-1341-MONOMER	xenobiotics reductase XenA	G1G01-1341	CCI-CYTOSOL-GN
G1G01-2931-MONOMER	branched-chain amino acid ABC transporter permease	G1G01-2931	CCI-PM-BAC-NEG-GN
G1G01-4999-MONOMER	hypothetical protein	G1G01-4999	
G1G01-3267-MONOMER	D-beta-hydroxybutyrate permease	G1G01-3267	CCI-PM-BAC-NEG-GN
G1G01-1679-MONOMER	hypothetical protein	G1G01-1679	
G1G01-5342-MONOMER	pyrimidine operon regulatory protein/uracil phosphoribosyltransferase	G1G01-5342	CCI-CYTOSOL-GN
G1G01-3605-MONOMER	hypothetical protein	G1G01-3605	
G1G01-5683-MONOMER	phosphate ABC transporter permease	G1G01-5683	CCI-PM-BAC-NEG-GN
G1G01-3942-MONOMER	hypothetical protein	G1G01-3942	CCI-CYTOSOL-GN
G1G01-821-MONOMER	uracil phosphoribosyltransferase	G1G01-821	CCI-CYTOSOL-GN
G1G01-2229-MONOMER	serine/threonine-protein kinase	G1G01-2229	CCI-PM-BAC-NEG-GN
G1G01-4282-MONOMER	HflD-like high frequency lysogenization protein	G1G01-4282	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
G1G01-4626-MONOMER	cystathionine beta-lyase	G1G01-4626	CCI-CYTOSOL-GN
G1G01-1324-MONOMER	lipoprotein	G1G01-1324	
G1G01-2577-MONOMER	hypothetical protein	G1G01-2577	
G1G01-2917-MONOMER	hypothetical protein	G1G01-2917	
G1G01-498-MONOMER	elongation factor Tu-B	G1G01-498	CCI-CYTOSOL-GN
G1G01-3251-MONOMER	hypothetical protein	G1G01-3251	
G1G01-1664-MONOMER	head-tail adaptor	G1G01-1664	
G1G01-5328-MONOMER	amine oxidase	G1G01-5328	
G1G01-3591-MONOMER	membrane protein	G1G01-3591	CCI-PM-BAC-NEG-GN
G1G01-5669-MONOMER	hypothetical protein	G1G01-5669	CCI-PERI-BAC-GN
G1G01-3928-MONOMER	hypothetical protein	G1G01-3928	
G1G01-807-MONOMER	glutamyl-tRNA reductase	G1G01-807	CCI-CYTOSOL-GN
G1G01-2214-MONOMER	hypothetical protein	G1G01-2214	CCO-MEMBRANE
G1G01-4268-MONOMER	fluoride ion transporter CrcB	G1G01-4268	CCI-PM-BAC-NEG-GN
G1G01-4610-MONOMER	chemotaxis protein CheW	G1G01-4610	CCI-CYTOSOL-GN
G1G01-1309-MONOMER	TolQRA transport system periplasmic protein	G1G01-1309	CCI-PERI-BAC-GN
G1G01-2562-MONOMER	hypothetical protein	G1G01-2562	CCI-CYTOSOL-GN
G1G01-2902-MONOMER	membrane protein	G1G01-2902	CCI-PM-BAC-NEG-GN
G1G01-4965-MONOMER	membrane protein	G1G01-4965	CCI-PM-BAC-NEG-GN
G1G01-165-MONOMER	gcdH transcriptional regulator	G1G01-165	CCI-CYTOSOL-GN
G1G01-5312-MONOMER	DNA ligase B	G1G01-5312	
G1G01-324-MONOMER	imidazole glycerol phosphate synthase subunit HisF	G1G01-324	CCI-CYTOSOL-GN
G1G01-3577-MONOMER	nickel ABC transporter permease	G1G01-3577	CCI-PM-BAC-NEG-GN
G1G01-5654-MONOMER	amino acid transporter	G1G01-5654	CCI-PM-BAC-NEG-GN
G1G01-792-MONOMER	sulfate transporter	G1G01-792	CCI-PM-BAC-NEG-GN
