bnum	position	modification
222.273.rna.7	1518	m62A
222.273.rna.7	1519	m62A
222.273.rna.29	1518	m62A
222.273.rna.29	1519	m62A
222.273.rna.50	1518	m62A
222.273.rna.50	1519	m62A
222.273.rna.7	967	m5C
222.273.rna.29	967	m5C
222.273.rna.50	967	m5C
222.273.rna.7	966	m2G
222.273.rna.29	966	m2G
222.273.rna.50	966	m2G
222.273.rna.7	1498	m3U
222.273.rna.29	1498	m3U
222.273.rna.50	1498	m3U
222.273.rna.7	527	m7G
222.273.rna.29	527	m7G
222.273.rna.50	527	m7G
222.273.rna.7	1402	m4Cm
222.273.rna.29	1402	m4Cm
222.273.rna.50	1402	m4Cm
222.273.rna.10	2503	m2A
222.273.rna.32	2503	m2A
222.273.rna.47	2503	m2A
222.273.rna.10	2251	Gm
222.273.rna.32	2251	Gm
222.273.rna.47	2251	Gm
222.273.rna.10	1939	m5U
222.273.rna.32	1939	m5U
222.273.rna.47	1939	m5U
222.273.rna.10	2445	m2G
222.273.rna.32	2445	m2G
222.273.rna.47	2445	m2G
222.273.rna.10	2069	m7G
222.273.rna.32	2069	m7G
222.273.rna.47	2069	m7G
222.273.rna.10	2552	Um
222.273.rna.32	2552	Um
222.273.rna.47	2552	Um
222.273.rna.10	1911	Y
222.273.rna.10	1915	Y
222.273.rna.10	1917	Y
222.273.rna.32	1911	Y
222.273.rna.32	1915	Y
222.273.rna.32	1917	Y
222.273.rna.47	1911	Y
222.273.rna.47	1915	Y
222.273.rna.47	1917	Y
