Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
G8J2-175	BSU17845	1916955	1917302	MONOMER8J2-59
BSU33239	BSU33239	3410007	3410345	BSU33239-MONOMER
BSU09790	BSU09790	1053520	1054653	BSU09790-MONOMER
BSU32310	BSU32310	3319286	3319561	BSU32310-MONOMER
BSU08670	BSU08670	938243	938587	BSU08670-MONOMER
BSU31430	BSU31430	3228431	3228691	BSU31430-MONOMER
BSU07890	BSU07890	862492	862812	BSU07890-MONOMER
BSU30470	BSU30470	3119565	3119837	BSU30470-MONOMER
BSU07030	BSU07030	768828	769490	BSU07030-MONOMER
BSU28830	BSU28830	2951490	2951882	BSU28830-MONOMER
BSU06319	BSU06319	686602	686889	BSU06319-MONOMER
BSU05540	BSU05540	601019	601726	BSU05540-MONOMER
BSU26920	BSU26920	2750883	2751239	BSU26920-MONOMER
BSU04600	BSU04600	513283	514764	BSU04600-MONOMER
BSU25620	BSU25620	2642841	2643197	BSU25620-MONOMER
BSU03870	BSU03870	439282	439569	BSU03870-MONOMER
BSU24940	BSU24940	2576717	2577181	BSU24940-MONOMER
BSU02190	BSU02190	238644	239555	BSU02190-MONOMER
BSU23990	BSU23990	2493064	2493501	BSU23990-MONOMER
BSU00290	BSU00290	39871	40200	BSU00290-MONOMER
BSU23328	BSU23328	2433316	2433522	BSU23328-MONOMER
BSU22390	BSU22390	2349358	2349528	BSU22390-MONOMER
BSU21840	BSU21840	2298535	2299146	BSU21840-MONOMER
BSU19510	BSU19510	2124529	2124765	BSU19510-MONOMER
G8J2-176	BSU19745	2145671	2145826	MONOMER8J2-60
BSU18890	BSU18890	2058715	2059638	BSU18890-MONOMER
BSU31289	BSU31289	3214212	3214346	BSU31289-MONOMER
BSU18050	BSU18050	1931215	1931514	BSU18050-MONOMER
BSU25565	BSU25565	2637179	2637328	BSU25565-MONOMER
BSU17510	BSU17510	1882040	1882831	BSU17510-MONOMER
BSU17099	BSU17099	1783500	1783766	BSU17099-MONOMER
BSU15440	BSU15440	1616267	1616641	BSU15440-MONOMER
BSU40650	BSU40650	4178291	4179130	BSU40650-MONOMER
BSU14780	BSU14780	1548016	1548333	BSU14780-MONOMER
BSU39910	BSU39910	4098423	4098905	BSU39910-MONOMER
BSU14130	BSU14130	1485453	1485896	BSU14130-MONOMER
BSU39180	BSU39180	4020977	4021306	BSU39180-MONOMER
BSU13360	BSU13360	1400188	1400739	BSU13360-MONOMER
BSU37930	BSU37930	3894030	3894401	BSU37930-MONOMER
BSU12150	BSU12150	1284870	1285445	BSU12150-MONOMER
BSU36330	BSU36330	3741182	3741592	BSU36330-MONOMER
BSU11910	BSU11910	1263702	1264931	BSU11910-MONOMER
BSU35390	BSU35390	3636716	3637291	BSU35390-MONOMER
BSU10890	BSU10890	1168199	1168837	BSU10890-MONOMER
BSU10470	BSU10470	1121036	1121398	BSU10470-MONOMER
BSU33029	BSU33029	3387781	3387945	BSU33029-MONOMER
BSU09350	BSU09350	1010984	1011226	BSU09350-MONOMER
BSU32120	BSU32120	3302623	3302763	BSU32120-MONOMER
BSU08570	BSU08570	928803	929321	BSU08570-MONOMER
BSU31319	BSU31319	3218215	3218478	BSU31319-MONOMER
BSU07735	BSU07735	844253	844645	BSU07735-MONOMER
BSU29910	BSU29910	3060395	3060673	BSU29910-MONOMER
