Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
OU9_01542-MONOMER	Inner_Membrane	OU9_01542()	Inner_Membrane	r
CPLX_SPMDt3pp-0	Inner_Membrane	OU9_01542()	Inner_Membrane	r
OU9_01543-MONOMER	Inner_Membrane	OU9_01543()	Inner_Membrane	r
CPLX_SPMDt3pp-0	Inner_Membrane	OU9_01543()	Inner_Membrane	r
OU9_01344-MONOMER	Periplasm	OU9_01344()	Periplasm	s
OU9_05081-MONOMER	Outer_Membrane	OU9_05081()	Outer_Membrane	sb
CPLX_MINCYCtpp-0	Outer_Membrane	OU9_05081()	Outer_Membrane	sb
CPLX_RFAMPtpp-0	Outer_Membrane	OU9_05081()	Outer_Membrane	sb
OU9_02502-MONOMER	Inner_Membrane	OU9_02502()	Inner_Membrane	r
OU9_03918-MONOMER	Inner_Membrane	OU9_03918()	Inner_Membrane	r
CPLX_NO3R1pp_q8-0	Inner_Membrane	OU9_03918()	Inner_Membrane	r
OU9_00930-MONOMER	Inner_Membrane	OU9_00930()	Inner_Membrane	r
OU9_04487-MONOMER	Inner_Membrane	OU9_04487()	Inner_Membrane	r
OU9_02184-MONOMER	Periplasm	OU9_02184()	Periplasm	s
OU9_04168-MONOMER	Inner_Membrane	OU9_04168()	Inner_Membrane	r
OU9_03103-MONOMER	Periplasm	OU9_03103()	Periplasm	s
OU9_05471-MONOMER	Inner_Membrane	OU9_05471()	Inner_Membrane	r
OU9_02971-MONOMER	Inner_Membrane	OU9_02971()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	OU9_02971()	Inner_Membrane	r
OU9_02972-MONOMER	Inner_Membrane	OU9_02972()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	OU9_02972()	Inner_Membrane	r
OU9_00487-MONOMER	Inner_Membrane	OU9_00487()	Inner_Membrane	r
OU9_01326-MONOMER	Inner_Membrane	OU9_01326()	Inner_Membrane	r
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	OU9_01326()	Inner_Membrane	r
OU9_01324-MONOMER	Inner_Membrane	OU9_01324()	Inner_Membrane	p
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	OU9_01324()	Inner_Membrane	p
OU9_01325-MONOMER	Inner_Membrane	OU9_01325()	Inner_Membrane	r
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	OU9_01325()	Inner_Membrane	r
OU9_01323-MONOMER	Inner_Membrane	OU9_01323()	Inner_Membrane	p
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	OU9_01323()	Inner_Membrane	p
OU9_03075-MONOMER	Periplasm	OU9_03075()	Periplasm	s
