,query,evalue
TK06_00005,b1519,9.54e-72
TK06_00035,b0586,1.0399999999999999e-119
TK06_00090,b0879,0.0
TK06_00095,b0878,1.1299999999999999e-68
TK06_00155,b0845,6.54e-22
TK06_00165,b0337,8.69e-168
TK06_00170,b0336,6.160000000000001e-85
TK06_00180,b2765,2.32e-68
TK06_00220,b2081,0.0
TK06_00250,b4054,1.23e-149
TK06_00255,b0779,0.0
TK06_00260,b2400,3.62e-98
TK06_00300,b2140,1.35e-80
TK06_00305,b3687,4.27e-37
TK06_00320,b0072,0.0
TK06_00325,b0071,3.8199999999999997e-91
TK06_00330,b0210,6.71e-72
TK06_00335,b0073,3.55e-136
TK06_00340,b3433,0.0
TK06_00345,b2319,1.5600000000000002e-79
TK06_00355,b2318,1.85e-104
TK06_00365,b2316,3.38e-148
TK06_00370,b2315,1.14e-113
TK06_00380,b2313,3.4100000000000004e-37
TK06_00385,b2312,0.0
TK06_00390,b3939,4.3600000000000006e-79
TK06_00420,b1301,0.0
TK06_00445,b3023,1.0400000000000001e-43
TK06_00515,b3817,1.32e-18
TK06_00600,b1733,1.5400000000000002e-27
TK06_00665,b2047,2.43e-40
TK06_00675,b3787,1.24e-46
TK06_00710,b1423,1.11e-173
TK06_00715,b4467,0.0
TK06_00720,b4468,2.33e-154
TK06_00725,b2979,0.0
TK06_00735,b0385,2.68e-75
TK06_00750,b1749,2.0199999999999998e-138
TK06_00760,b4220,1.3500000000000002e-110
TK06_00765,b4221,5.919999999999999e-106
TK06_00770,b1530,2.68e-14
TK06_00775,b4080,4.1999999999999996e-55
TK06_00780,b2685,5.170000000000001e-109
TK06_00785,b2686,2.71e-171
TK06_00790,b0524,2.3e-68
TK06_00795,b0525,1.3500000000000001e-73
TK06_00800,b0680,0.0
TK06_00805,b0526,0.0
TK06_00825,b2945,4.76e-72
TK06_00840,b3751,1.46e-39
TK06_00855,b1658,1.51e-86
TK06_00860,b3752,2.77e-63
TK06_00865,b3748,8.16e-41
TK06_00870,b0651,1.13e-69
TK06_00890,b3556,5.1600000000000003e-26
TK06_00900,b1719,0.0
TK06_00905,b1718,1.09e-71
TK06_00910,b1717,1.56e-13
TK06_00915,b1716,8.62e-55
TK06_00920,b1714,5.069999999999999e-165
TK06_00925,b1713,0.0
