Transcription-Units	Genes of transcription unit	Direction
TU1G01-4286	G1G01-4002	+
TU1G01-7304	G1G01-558	+
TU1G01-258	G1G01-219	+
TU1G01-4972	G1G01-4698	+
TU1G01-5634	G1G01-5322	+
TU1G01-6298	G1G01-5062	-
TU1G01-2926	G1G01-2724	-
TU1G01-1096	G1G01-1041 // G1G01-1040 // G1G01-1039	+
TU1G01-1882	G1G01-1791	+
TU1G01-360	G1G01-324 // G1G01-323 // G1G01-322 // G1G01-321 // G1G01-320	+
TU1G01-4258	G1G01-3965	-
TU1G01-7276	G1G01-719	-
TU1G01-2550	G1G01-2391	-
TU1G01-4942	G1G01-4676	-
TU1G01-5604	G1G01-5289	-
TU1G01-6268	G1G01-5262	+
TU1G01-2898	G1G01-2704	+
TU1G01-1066	G1G01-1001	+
TU1G01-1854	G1G01-1763 // G1G01-1762 // G1G01-1761	-
TU1G01-3566	G1G01-3347	-
TU1G01-4228	G1G01-3937	-
TU1G01-7246	G1G01-913	-
TU1G01-2520	G1G01-2364 // G1G01-2363	+
TU1G01-4906	G1G01-4643 // G1G01-4644 // G1G01-4645 // G1G01-4648 // G1G01-4647 // G1G01-4646	-
TU1G01-5578	G1G01-5265	-
TU1G01-624	G1G01-609 // G1G01-608	-
TU1G01-2868	G1G01-2682	+
TU1G01-1038	G1G01-979 // G1G01-978 // G1G01-977	+
TU1G01-1824	G1G01-1732	+
TU1G01-3538	G1G01-3323	+
TU1G01-420	G1G01-383 // G1G01-382	-
TU1G01-7218	G1G01-1106	-
TU1G01-2492	G1G01-2337	+
TU1G01-4872	G1G01-4607 // G1G01-4606	+
TU1G01-5548	G1G01-5232	-
TU1G01-6210	G1G01-5495	+
TU1G01-284	G1G01-246	-
TU1G01-1008	G1G01-948	-
TU1G01-1798	G1G01-1711 // G1G01-1710	+
TU1G01-3508	G1G01-3298 // G1G01-3297 // G1G01-3296 // G1G01-3295 // G1G01-3294 // G1G01-3293 // G1G01-3292 // G1G01-3291 // G1G01-3290 // G1G01-3289 // G1G01-3288 // G1G01-3287 // G1G01-3286	-
TU1G01-4172	G1G01-3895	-
TU1G01-7190	G1G01-1191	+
TU1G01-2462	G1G01-2310	-
TU1G01-484	G1G01-441 // G1G01-440 // G1G01-439 // G1G01-438	-
TU1G01-5518	G1G01-5207 // G1G01-5206 // G1G01-5205 // G1G01-5204 // G1G01-5203	-
TU1G01-6182	G1G01-5566	+
TU1G01-2810	G1G01-2637 // G1G01-2636	+
TU1G01-1768	G1G01-1682 // G1G01-1681	-
TU1G01-348	G1G01-308 // G1G01-307	-
TU1G01-4142	G1G01-3872	+
TU1G01-7160	G1G01-1347	+
TU1G01-2432	G1G01-2289 // G1G01-2288 // G1G01-2287	-
TU1G01-4810	G1G01-4544	-
TU1G01-5488	G1G01-5177 // G1G01-5176	+
TU1G01-5482	G1G01-5172 // G1G01-5171 // G1G01-5170	+
TU1G01-6148	G1G01-5632	-
TU1G01-2778	G1G01-2607	+
TU1G01-1734	G1G01-1636	-
TU1G01-3444	G1G01-3217	-
TU1G01-4108	G1G01-3839 // G1G01-3838 // G1G01-3837	+
TU1G01-7126	G1G01-1504	-
TU1G01-24	G1G01-21 // G1G01-20 // G1G01-19	+
TU1G01-4778	G1G01-4514 // G1G01-4513 // G1G01-4512 // G1G01-4511 // G1G01-4510	+
TU1G01-5454	G1G01-5146 // G1G01-5145 // G1G01-5144 // G1G01-5143 // G1G01-5142 // G1G01-5141	-
TU1G01-612	G1G01-593 // G1G01-592	-
TU1G01-1704	G1G01-1605	+
TU1G01-3414	G1G01-3190 // G1G01-3189 // G1G01-3188	-
TU1G01-408	G1G01-369 // G1G01-368	-
TU1G01-7098	G1G01-1730	+
TU1G01-2370	G1G01-2241 // G1G01-2240	-
TU1G01-4748	G1G01-4477	-
TU1G01-5424	G1G01-5114	+
TU1G01-6090	G1G01-5769	+
TU1G01-1676	G1G01-1584 // G1G01-1583 // G1G01-1582 // G1G01-1581 // G1G01-1580 // G1G01-1579	+
TU1G01-3386	G1G01-3168	-
TU1G01-7068	G1G01-1910	-
TU1G01-2340	G1G01-2214 // G1G01-2213	-
TU1G01-4056	G1G01-3799 // G1G01-3798	+
TU1G01-472	G1G01-426	-
TU1G01-5398	G1G01-5098	+
TU1G01-6060	G1G01-5723	-
TU1G01-1646	G1G01-1556 // G1G01-1555 // G1G01-1554	+
TU1G01-3358	G1G01-3137 // G1G01-3136	-
TU1G01-704	G1G01-682	+
TU1G01-2312	G1G01-2195	+
TU1G01-4026	G1G01-3777	+
TU1G01-4690	G1G01-4408	-
TU1G01-970	G1G01-906	-
TU1G01-5374	G1G01-5078 // G1G01-5077 // G1G01-5076 // G1G01-5075	+
TU1G01-6032	G1G01-5692 // G1G01-5691	-
TU1G01-1618	G1G01-1534	-
TU1G01-3328	G1G01-3115 // G1G01-3114	-
TU1G01-7010	G1G01-2021	-
TU1G01-2282	G1G01-2162	-
TU1G01-40	G1G01-30	+
TU1G01-4660	G1G01-4374	+
TU1G01-940	G1G01-880 // G1G01-879 // G1G01-878	-
TU1G01-5340	G1G01-5045	-
TU1G01-6002	G1G01-5672 // G1G01-5671	-
TU1G01-1590	G1G01-1510	-
TU1G01-6666	G1G01-3748	-
TU1G01-330	G1G01-296	+
TU1G01-6982	G1G01-2217	-
TU1G01-2254	G1G01-2132 // G1G01-2131 // G1G01-2130	+
TU1G01-3972	G1G01-3733	+
TU1G01-4632	G1G01-4352	+
TU1G01-912	G1G01-855	+
TU1G01-5312	G1G01-5019 // G1G01-5018	+
TU1G01-5978	G1G01-5653 // G1G01-5652	+
TU1G01-1560	G1G01-1488	-
TU1G01-6638	G1G01-3848	+
TU1G01-3270	G1G01-3067 // G1G01-3066	-
TU1G01-1444	G1G01-1362 // G1G01-1361	-
TU1G01-6954	G1G01-2313	+
TU1G01-2224	G1G01-2111	+
TU1G01-3942	G1G01-3697	+
TU1G01-4602	G1G01-4320	+
TU1G01-882	G1G01-827	-
TU1G01-5282	G1G01-4989	-
TU1G01-5948	G1G01-5625	-
TU1G01-1532	G1G01-1457	+
TU1G01-6608	G1G01-3925	-
TU1G01-3240	G1G01-3044 // G1G01-3043	-
TU1G01-1416	G1G01-1329	-
TU1G01-6924	G1G01-2449	-
TU1G01-2198	G1G01-2083	-
TU1G01-3914	G1G01-3673	-
TU1G01-4574	G1G01-4295 // G1G01-4294	-
TU1G01-854	G1G01-796	-
TU1G01-5254	G1G01-4967 // G1G01-4966	+
TU1G01-592	G1G01-578 // G1G01-577	-
TU1G01-1502	G1G01-1434	+
