Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
NCTC10038_04042-MONOMER	Periplasm	NCTC10038_04042()	Periplasm	s
NCTC10038_00535-MONOMER	Outer_Membrane	NCTC10038_00535()	Outer_Membrane	sb
CPLX_MINCYCtpp-0	Outer_Membrane	NCTC10038_00535()	Outer_Membrane	sb
CPLX_RFAMPtpp-0	Outer_Membrane	NCTC10038_00535()	Outer_Membrane	sb
NCTC10038_04279-MONOMER	Inner_Membrane	NCTC10038_04279()	Inner_Membrane	r
NCTC10038_01392-MONOMER	Inner_Membrane	NCTC10038_01392()	Inner_Membrane	r
NCTC10038_01135-MONOMER	Inner_Membrane	NCTC10038_01135()	Inner_Membrane	r
NCTC10038_05441-MONOMER	Periplasm	NCTC10038_05441()	Periplasm	s
NCTC10038_02391-MONOMER	Inner_Membrane	NCTC10038_02391()	Inner_Membrane	r
NCTC10038_01882-MONOMER	Inner_Membrane	NCTC10038_01882()	Inner_Membrane	r
NCTC10038_01217-MONOMER	Periplasm	NCTC10038_01217()	Periplasm	s
NCTC10038_06011-MONOMER	Inner_Membrane	NCTC10038_06011()	Inner_Membrane	r
NCTC10038_01490-MONOMER	Inner_Membrane	NCTC10038_01490()	Inner_Membrane	r
NCTC10038_02342-MONOMER	Inner_Membrane	NCTC10038_02342()	Periplasm	s
NCTC10038_01489-MONOMER	Inner_Membrane	NCTC10038_01489()	Inner_Membrane	r
NCTC10038_04420-MONOMER	Inner_Membrane	NCTC10038_04420()	Inner_Membrane	r
NCTC10038_05085-MONOMER	Inner_Membrane	NCTC10038_05085()	Inner_Membrane	r
NCTC10038_05087-MONOMER	Inner_Membrane	NCTC10038_05087()	Inner_Membrane	p
NCTC10038_05086-MONOMER	Inner_Membrane	NCTC10038_05086()	Inner_Membrane	r
NCTC10038_05088-MONOMER	Inner_Membrane	NCTC10038_05088()	Inner_Membrane	p
NCTC10038_01797-MONOMER	Periplasm	NCTC10038_01797()	Periplasm	s
NCTC10038_00434-MONOMER	Inner_Membrane	NCTC10038_00434()	Inner_Membrane	r
NCTC10038_05002-MONOMER	Inner_Membrane	NCTC10038_05002()	Inner_Membrane	r
CPLX_ACGAptspp-0	Inner_Membrane	NCTC10038_05002()	Inner_Membrane	r
NCTC10038_00216-MONOMER	Inner_Membrane	NCTC10038_00216()	Periplasm	s
CPLX_CRO4abcpp-0	Inner_Membrane	NCTC10038_00216()	Periplasm	s
NCTC10038_00218-MONOMER	Inner_Membrane	NCTC10038_00218()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	NCTC10038_00218()	Inner_Membrane	r
CPLX_CRO4abcpp-1	Inner_Membrane	NCTC10038_00218()	Inner_Membrane	r
NCTC10038_00217-MONOMER	Inner_Membrane	NCTC10038_00217()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	NCTC10038_00217()	Inner_Membrane	r
CPLX_CRO4abcpp-1	Inner_Membrane	NCTC10038_00217()	Inner_Membrane	r
NCTC10038_01333-MONOMER	Inner_Membrane	NCTC10038_01333()	Inner_Membrane	r
NCTC10038_03361-MONOMER	Inner_Membrane	NCTC10038_03361()	Inner_Membrane	r
NCTC10038_02894-MONOMER	Periplasm	NCTC10038_02894()	Periplasm	s
NCTC10038_01455-MONOMER	Inner_Membrane	NCTC10038_01455()	Inner_Membrane	r
NCTC10038_02045-MONOMER	Inner_Membrane	NCTC10038_02045()	Inner_Membrane	r
NCTC10038_06088-MONOMER	Inner_Membrane	NCTC10038_06088()	Inner_Membrane	s
NCTC10038_00832-MONOMER	Inner_Membrane	NCTC10038_00832()	Inner_Membrane	r
CPLX_MPTG-0	Inner_Membrane	NCTC10038_00832()	Inner_Membrane	r
CPLX_MPTG-1	Inner_Membrane	NCTC10038_00832()	Inner_Membrane	r
CPLX_MPTG-2	Inner_Membrane	NCTC10038_00832()	Inner_Membrane	r
NCTC10038_02874-MONOMER	Inner_Membrane	NCTC10038_02874()	Inner_Membrane	r
NCTC10038_01043-MONOMER	Inner_Membrane	NCTC10038_01043()	Inner_Membrane	r
NCTC10038_05975-MONOMER	Outer_Membrane	NCTC10038_05975()	Inner_Membrane	s
NCTC10038_05974-MONOMER	Outer_Membrane	NCTC10038_05974()	Inner_Membrane	p
NCTC10038_02035-MONOMER	Inner_Membrane	NCTC10038_02035()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	NCTC10038_02035()	Inner_Membrane	r
NCTC10038_02036-MONOMER	Inner_Membrane	NCTC10038_02036()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	NCTC10038_02036()	Inner_Membrane	r
NCTC10038_04826-MONOMER	Inner_Membrane	NCTC10038_04826()	Inner_Membrane	p
CPLX_Kt2pp-0	Inner_Membrane	NCTC10038_04826()	Inner_Membrane	p
NCTC10038_03763-MONOMER	Inner_Membrane	NCTC10038_03763()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	NCTC10038_03763()	Inner_Membrane	p
NCTC10038_03774-MONOMER	Inner_Membrane	NCTC10038_03774()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC10038_03774()	Inner_Membrane	r
NCTC10038_03771-MONOMER	Inner_Membrane	NCTC10038_03771()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC10038_03771()	Inner_Membrane	r
NCTC10038_03772-MONOMER	Inner_Membrane	NCTC10038_03772()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	NCTC10038_03772()	Inner_Membrane	p
NCTC10038_03773-MONOMER	Inner_Membrane	NCTC10038_03773()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC10038_03773()	Inner_Membrane	r
NCTC10038_03769-MONOMER	Inner_Membrane	NCTC10038_03769()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC10038_03769()	Inner_Membrane	r
NCTC10038_03775-MONOMER	Inner_Membrane	NCTC10038_03775()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC10038_03775()	Inner_Membrane	r
NCTC10038_01384-MONOMER	Inner_Membrane	NCTC10038_01384()	Inner_Membrane	r
NCTC10038_04374-MONOMER	Outer_Membrane	NCTC10038_04374()	Outer_Membrane	sb
NCTC10038_04235-MONOMER	Inner_Membrane	NCTC10038_04235()	Inner_Membrane	r
NCTC10038_02876-MONOMER	Inner_Membrane	NCTC10038_02876()	Inner_Membrane	r
NCTC10038_00705-MONOMER	Inner_Membrane	NCTC10038_00705()	Inner_Membrane	r
NCTC10038_01565-MONOMER	Outer_Membrane	NCTC10038_01565()	Inner_Membrane	pa
CPLX_CMtpp-0	Outer_Membrane	NCTC10038_01565()	Inner_Membrane	pa
CPLX_MINCYCtpp-0	Outer_Membrane	NCTC10038_01565()	Inner_Membrane	pa
CPLX_RFAMPtpp-0	Outer_Membrane	NCTC10038_01565()	Inner_Membrane	pa
NCTC10038_00226-MONOMER	Inner_Membrane	NCTC10038_00226()	Inner_Membrane	r
NCTC10038_04834-MONOMER	Inner_Membrane	NCTC10038_04834()	Inner_Membrane	r
NCTC10038_02033-MONOMER	Inner_Membrane	NCTC10038_02033()	Inner_Membrane	r
NCTC10038_02292-MONOMER	Inner_Membrane	NCTC10038_02292()	Inner_Membrane	r
