,query,evalue
PA0001,b3702,0.0
PA0002,b3701,2.1200000000000003e-144
PA0003,b3700,4.92e-94
PA0004,b3699,0.0
PA0006,b0200,1.8500000000000002e-29
PA0008,b3559,0.0
PA0009,b3560,6.69e-177
PA0010,b3549,8.73e-66
PA0013,b3471,1.8600000000000002e-88
PA0016,b3290,0.0
PA0017,b3289,1.94e-137
PA0018,b3288,1.3100000000000001e-133
PA0019,b3287,4.48e-64
PA0021,b4473,3.42e-74
PA0022,b3282,6.3699999999999994e-52
PA0023,b4051,1.03e-137
PA0024,b2436,1.8500000000000002e-157
PA0025,b3281,2.68e-91
PA0031,b3678,5.01e-35
PA0035,b1260,2.4400000000000002e-43
PA0036,b1261,1.14e-155
PA0054,b4331,4.2e-75
PA0059,b1482,7.619999999999999e-61
PA0066,b3279,1.4200000000000002e-79
PA0067,b3498,0.0
PA0068,b4551,1.01e-11
PA0115,b2267,1.26e-56
PA0123,b3243,1.18e-51
PA0128,b4108,7.619999999999999e-54
PA0129,b2663,0.0
PA0139,b0605,3.37e-85
PA0140,b0606,0.0
PA0143,b2162,3.6800000000000003e-73
PA0148,b1623,8.480000000000001e-43
PA0152,b1422,2.91e-49
PA0155,b1827,1.27e-35
PA0167,b1013,1.2699999999999999e-52
PA0168,b3848,1.37e-23
PA0173,b1883,2.82e-145
PA0175,b1884,4.9399999999999994e-89
PA0176,b4355,4.63e-100
PA0177,b1887,7.250000000000001e-70
PA0178,b1888,6.16e-154
PA0182,b4249,4.04e-74
PA0183,b3801,2.61e-24
PA0195,b1603,2.02e-92
PA0196,b1602,6.45e-162
PA0209,b0613,5.850000000000001e-31
PA0224,b2800,3.14e-15
PA0228,b1397,0.0
PA0229,b2587,0.0
PA0235,b0353,1.1399999999999999e-54
PA0236,b4018,7.23e-27
PA0237,b4280,2.01e-18
PA0241,b3093,7.79e-44
PA0265,b2661,0.0
PA0266,b2662,0.0
PA0277,b2936,3.06e-102
PA0280,b2422,2.7e-122
PA0281,b2423,4.17e-97
PA0282,b2424,4.5e-80
PA0283,b3917,5.91e-147
PA0290,b1025,3.38e-31
PA0296,b1297,7.19e-136
PA0297,b1298,3.62e-63
PA0302,b0855,6.35e-158
PA0303,b0856,4.11e-130
