,query,evalue
NCTC13359_00003,b2906,4.57e-100
NCTC13359_00005,b2907,7.28e-69
NCTC13359_00006,b2908,2.7900000000000002e-148
NCTC13359_00007,b2909,4.6e-15
NCTC13359_00008,b2910,1.29e-11
NCTC13359_00010,b2912,3.65e-39
NCTC13359_00013,b3485,5.7200000000000006e-179
NCTC13359_00014,b3486,1.1900000000000001e-88
NCTC13359_00016,b3487,1.1299999999999999e-136
NCTC13359_00019,b2240,0.0
NCTC13359_00020,b3844,8.41e-23
NCTC13359_00021,b3843,0.0
NCTC13359_00023,b3783,0.0
NCTC13359_00025,b3781,8.95e-58
NCTC13359_00026,b2502,6.03e-98
NCTC13359_00028,b2501,3.5999999999999996e-138
NCTC13359_00029,b0369,3.98e-74
NCTC13359_00030,b2136,1.2900000000000001e-31
NCTC13359_00031,b3209,5.58e-96
NCTC13359_00032,b3820,2.1799999999999999e-41
NCTC13359_00033,b0387,2.01e-35
NCTC13359_00035,b3824,1.04e-53
NCTC13359_00038,b3352,0.0
NCTC13359_00041,b3995,8.150000000000001e-21
NCTC13359_00043,b3802,2.82e-32
NCTC13359_00044,b3803,1.88e-17
NCTC13359_00045,b3804,6.99e-27
NCTC13359_00046,b3805,1.61e-145
NCTC13359_00047,b2381,6.749999999999999e-23
NCTC13359_00048,b2126,1.2199999999999999e-24
NCTC13359_00049,b3960,3.3199999999999997e-150
NCTC13359_00055,b3816,6.05e-53
NCTC13359_00059,b3806,2.42e-133
NCTC13359_00061,b0610,1.27e-35
NCTC13359_00063,b3807,3.38e-22
NCTC13359_00065,b2838,9.779999999999999e-48
NCTC13359_00066,b3809,4.64e-115
NCTC13359_00068,b3811,1.67e-98
NCTC13359_00069,b3812,3e-33
NCTC13359_00075,b4056,4.01e-59
NCTC13359_00076,b0451,2.58e-136
NCTC13359_00077,b0450,2.4299999999999997e-61
NCTC13359_00078,b3042,1.9e-12
NCTC13359_00079,b3765,4.82e-171
NCTC13359_00085,b3778,0.0
NCTC13359_00086,b0871,2.43e-171
NCTC13359_00090,b1299,5.809999999999999e-46
NCTC13359_00091,b1190,1.02e-109
NCTC13359_00092,b1809,8.26e-29
NCTC13359_00093,b1189,0.0
NCTC13359_00094,b1383,1.14e-17
NCTC13359_00095,b1382,1.27e-16
NCTC13359_00097,b0889,5.56e-65
NCTC13359_00099,b1046,6.23e-96
NCTC13359_00101,b1300,0.0
NCTC13359_00103,b3636,1.07e-28
NCTC13359_00104,b3637,3.64e-44
NCTC13359_00107,b3638,1.2e-69
NCTC13359_00108,b3639,4.5e-143
NCTC13359_00109,b3640,9.690000000000001e-77
NCTC13359_00110,b2048,1.92e-56
NCTC13359_00111,b3959,2.4600000000000002e-26
NCTC13359_00119,b3642,8.03e-112
NCTC13359_00122,b3643,3.22e-113
NCTC13359_00123,b3644,1.7000000000000002e-85
NCTC13359_00124,b3648,6.6999999999999995e-90
NCTC13359_00125,b3649,7.750000000000001e-22
NCTC13359_00126,b3650,0.0
NCTC13359_00127,b4243,2.8400000000000004e-32
NCTC13359_00132,b3961,1.95e-74
NCTC13359_00133,b3652,0.0
NCTC13359_00137,b2711,2.26e-64
NCTC13359_00139,b2710,1.82e-13
NCTC13359_00140,b2977,9.31e-52
NCTC13359_00141,b4467,0.0
NCTC13359_00142,b4468,8.65e-145
NCTC13359_00143,b2979,0.0
NCTC13359_00144,b2980,1.12e-108
NCTC13359_00145,b4039,4.27e-18
NCTC13359_00146,b4040,5.13e-100
NCTC13359_00148,b0399,5.52e-101
NCTC13359_00149,b0400,1.1200000000000001e-100
NCTC13359_00150,b4218,1.33e-29
NCTC13359_00153,b3724,1.25e-74
NCTC13359_00154,b3725,2.12e-119
NCTC13359_00155,b3726,1.24e-20
NCTC13359_00164,b1253,6.55e-35
NCTC13359_00165,b0311,0.0
NCTC13359_00166,b0312,0.0
NCTC13359_00167,b0313,2.02e-76
NCTC13359_00175,b2157,2.56e-91
NCTC13359_00176,b2158,4.0299999999999996e-120
NCTC13359_00177,b0476,1.1399999999999999e-24
NCTC13359_00187,b1249,1.4900000000000001e-43
NCTC13359_00204,b1802,1.24e-36
NCTC13359_00205,b0872,1.74e-45
NCTC13359_00216,b1780,3.34e-36
NCTC13359_00219,b0522,7.4999999999999994e-62
NCTC13359_00220,b0523,3.66e-59
NCTC13359_00221,b1478,2.22e-83
NCTC13359_00222,b4327,9.06e-60
NCTC13359_00223,b4139,5.9500000000000005e-177
NCTC13359_00228,b3161,0.0
NCTC13359_00235,b2081,0.0
NCTC13359_00238,b3813,0.0
NCTC13359_00240,b2920,4.69e-146
NCTC13359_00248,b2053,5.06e-112
NCTC13359_00264,b2832,1.07e-82
NCTC13359_00268,b4020,5.31e-153
NCTC13359_00275,b4077,0.0
NCTC13359_00280,b0867,1.09e-58
NCTC13359_00281,b3434,2.68e-49
NCTC13359_00284,b3860,6.24e-22
NCTC13359_00287,b3865,8.83e-70
NCTC13359_00289,b3863,0.0
NCTC13359_00294,b1857,1.03e-68
NCTC13359_00295,b4046,1.28e-25
NCTC13359_00296,b1858,9.71e-101
NCTC13359_00297,b1859,2.45e-92
NCTC13359_00299,b0199,7.77e-103
NCTC13359_00301,b0197,1.63e-63
NCTC13359_00303,b1011,4.47e-21
NCTC13359_00312,b1636,1.7299999999999998e-119
NCTC13359_00314,b0478,0.0
NCTC13359_00317,b0596,3.62e-32
NCTC13359_00321,b1450,8.12e-22
NCTC13359_00328,b1252,7.32e-18
NCTC13359_00329,b2173,3.04e-47
NCTC13359_00335,b2817,4.7299999999999995e-93
NCTC13359_00343,b1661,7.9e-57
NCTC13359_00346,b3729,0.0
NCTC13359_00347,b2707,5.84e-66
NCTC13359_00349,b3730,4.01e-178
NCTC13359_00350,b3731,1.0699999999999999e-48
NCTC13359_00351,b3732,0.0
NCTC13359_00352,b3733,6.38e-152
NCTC13359_00353,b3734,0.0
NCTC13359_00354,b3735,5.19e-51
NCTC13359_00355,b3736,2.7e-56
NCTC13359_00356,b3737,1.88e-14
NCTC13359_00357,b3738,5.28e-85
NCTC13359_00361,b3740,9.08e-75
NCTC13359_00362,b3741,0.0
NCTC13359_00364,b3706,0.0
NCTC13359_00365,b3705,4.2e-151
NCTC13359_00366,b3704,1.1000000000000001e-29
NCTC13359_00367,b3703,7.32e-16
NCTC13359_00368,b3702,0.0
NCTC13359_00369,b3701,2.24e-144
NCTC13359_00370,b3700,4.92e-94
NCTC13359_00371,b3699,0.0
NCTC13359_00373,b0200,2.2400000000000002e-29
NCTC13359_00375,b3559,0.0
NCTC13359_00376,b3560,6.69e-177
NCTC13359_00377,b3549,8.73e-66
NCTC13359_00380,b3471,1.8600000000000002e-88
NCTC13359_00383,b3290,0.0
NCTC13359_00384,b3289,2.48e-136
NCTC13359_00385,b3288,3.29e-133
NCTC13359_00386,b3287,4.48e-64
NCTC13359_00388,b4473,3.24e-76
NCTC13359_00389,b3282,6.3699999999999994e-52
NCTC13359_00390,b4051,6.58e-138
NCTC13359_00391,b2436,1.8500000000000002e-157
NCTC13359_00392,b3281,2.68e-91
NCTC13359_00398,b3678,5.57e-35
NCTC13359_00403,b1260,2.4400000000000002e-43
NCTC13359_00404,b1261,1.15e-155
NCTC13359_00424,b4331,6.26e-76
NCTC13359_00429,b1482,1.14e-60
NCTC13359_00436,b3279,1.3299999999999997e-54
NCTC13359_00439,b3498,4.84e-154
NCTC13359_00440,b4551,1.01e-11
NCTC13359_00487,b2267,1.26e-56
NCTC13359_00495,b3243,1.18e-51
NCTC13359_00500,b4108,7.619999999999999e-54
NCTC13359_00501,b2663,0.0
NCTC13359_00510,b0605,3.37e-85
