	enzymes	stoich	carriers
D_at_20A	generic_Dus	nadph_c:-1,h_c:-1,nadp_c:1	
D_at_20	generic_Dus	nadph_c:-1,h_c:-1,nadp_c:1	
t6A_at_37	G1G01-73-MONOMER	hco3_c:-1,thr__L_c:-1,atp_c:-1,amp_c:1,h_c:1,h2o_c:1,ppi_c:1	
m7G_at_46	G1G01-5447-MONOMER	amet_c:-1,ahcys_c:1,h_c:1	
acp3U_at_47		amet_c:-1,5mta_c:1,h_c:1	
m5U_at_54	G1G01-4967-MONOMER	amet_c:-1,ahcys_c:1,h_c:1	
Y_at_55	G1G01-5033-MONOMER		
Y_at_65			
D_at_17	generic_Dus	nadph_c:-1,h_c:-1,nadp_c:1	
cmo5U_at_34	G1G01-1533-MONOMER,G1G01-1532-MONOMER	amet_c:-1,chor_c:-2,ahcys_c:1,h_c:1,C10H8O5_c:1,C9H9O4_c:1	
D_at_16	generic_Dus	nadph_c:-1,h_c:-1,nadp_c:1	
Q_at_34	G1G01-908-MONOMER_mod_zn2(6),G1G01-907-MONOMER,G1G01-5242-MONOMER_mod_adocbl	preq1_c:-1,amet_c:-1,gua_c:1,ade_c:1,met__L_c:1,h_c:2	
m2A_at_37		amet_c:-1,ahcys_c:1,h_c:1	
s4U_at_8	G1G01-5390-MONOMER	atp_c:-1,amp_c:1,ppi_c:1,h_c:1	
m6t6A_at_37	G1G01-73-MONOMER	amet_c:-1,atp_c:-1,hco3_c:-1,thr__L_c:-1,ahcys_c:1,amp_c:1,h_c:2,h2o_c:1,ppi_c:1	
s2C_at_32	G1G01-1739-MONOMER	atp_c:-1,amp_c:1,ppi_c:1,h_c:1	
mnm5U_at_34	CPLX1G01-170_mod_fad_mod_k(2),G1G01-1852-MONOMER_mod_fad	gtp_c:-1,h2o_c:-1,5fthf_c:-1,gly_c:-1,amet_c:-1,ahcys_c:1,h_c:3,gdp_c:1,glx_c:1,pi_c:1,thf_c:1	
Y_at_40	G1G01-2124-MONOMER		
Gm_at_18		amet_c:-1,ahcys_c:1,h_c:1	
Um_at_32		amet_c:-1,ahcys_c:1,h_c:1	
Y_at_38	G1G01-2124-MONOMER		
ac4C_at_34		accoa_c:-1,coa_c:1	
Y_at_39	G1G01-2124-MONOMER		
mnm5s2U_at_34	G1G01-4281-MONOMER,G1G01-2256-MONOMER,G1G01-4263-MONOMER,CPLX1G01-170_mod_fad_mod_k(2),G1G01-1852-MONOMER_mod_fad	atp_c:-1,gtp_c:-1,h2o_c:-1,5fthf_c:-1,gly_c:-1,amet_c:-1,gdp_c:1,pi_c:1,h_c:4,thf_c:1,glx_c:1,ahcys_c:1,amp_c:1,ppi_c:1	
m6A_at_37		amet_c:-1,ahcys_c:1,h_c:1	
Cm_at_32	G1G01-914-MONOMER	amet_c:-1,ahcys_c:1,h_c:1	
ms2i6A_at_37	G1G01-5237-MONOMER_mod_mg2(2)	dmpp_c:-1,amet_c:-2,ppi_c:1,ahcys_c:1,h_c:2,met__L_c:1,dad__5_c:1	
Y_at_32	G1G01-1832-MONOMER		
D_at_21	generic_Dus	nadph_c:-1,h_c:-1,nadp_c:1	
m1G_at_37	G1G01-1556-MONOMER	amet_c:-1,ahcys_c:1,h_c:1	
Y_at_13	G1G01-1716-MONOMER		
k2C_at_34	G1G01-1705-MONOMER	atp_c:-1,lys__L_c:-1,ppi_c:1,amp_c:1,h_c:2	
I_at_34	G1G01-1108-MONOMER_mod_zn2(2)	h2o_c:-1,h_c:-1,nh4_c:1	
i6A_at_37	G1G01-5237-MONOMER_mod_mg2(2)	dmpp_c:-1,ppi_c:1	
D_at_20_in_met_tRNA	G1G01-2310-MONOMER	nadph_c:-1,h_c:-1,nadp_c:1	
D_at_16_in_met_tRNA	G1G01-2310-MONOMER	nadph_c:-1,h_c:-1,nadp_c:1	
D_at_17_in_met_tRNA	G1G01-2310-MONOMER	nadph_c:-1,h_c:-1,nadp_c:1	
D_at_20A_in_met_tRNA	G1G01-2310-MONOMER	nadph_c:-1,h_c:-1,nadp_c:1	
