bnum	position	modification
FIV02_13795	1518	m62A
FIV02_13795	1519	m62A
FIV02_18930	1518	m62A
FIV02_18930	1519	m62A
FIV02_21210	1518	m62A
FIV02_21210	1519	m62A
FIV02_23615	1518	m62A
FIV02_23615	1519	m62A
FIV02_13795	967	m5C
FIV02_18930	967	m5C
FIV02_21210	967	m5C
FIV02_23615	967	m5C
FIV02_13795	966	m2G
FIV02_18930	966	m2G
FIV02_21210	966	m2G
FIV02_23615	966	m2G
FIV02_13795	1498	m3U
FIV02_18930	1498	m3U
FIV02_21210	1498	m3U
FIV02_23615	1498	m3U
FIV02_13795	527	m7G
FIV02_18930	527	m7G
FIV02_21210	527	m7G
FIV02_23615	527	m7G
FIV02_13795	1402	m4Cm
FIV02_18930	1402	m4Cm
FIV02_21210	1402	m4Cm
FIV02_23615	1402	m4Cm
FIV02_13795	516	Y
FIV02_18930	516	Y
FIV02_21210	516	Y
FIV02_23615	516	Y
FIV02_13780	2503	m2A
FIV02_18915	2503	m2A
FIV02_21195	2503	m2A
FIV02_23600	2503	m2A
FIV02_13780	2251	Gm
FIV02_18915	2251	Gm
FIV02_21195	2251	Gm
FIV02_23600	2251	Gm
FIV02_13780	1939	m5U
FIV02_18915	1939	m5U
FIV02_21195	1939	m5U
FIV02_23600	1939	m5U
FIV02_13780	2498	Cm
FIV02_18915	2498	Cm
FIV02_21195	2498	Cm
FIV02_23600	2498	Cm
FIV02_13780	745	m1G
FIV02_18915	745	m1G
FIV02_21195	745	m1G
FIV02_23600	745	m1G
FIV02_13780	1835	m2G
FIV02_18915	1835	m2G
FIV02_21195	1835	m2G
FIV02_23600	1835	m2G
FIV02_13780	1962	m5C
FIV02_18915	1962	m5C
FIV02_21195	1962	m5C
FIV02_23600	1962	m5C
FIV02_13780	1618	m6A
FIV02_18915	1618	m6A
FIV02_21195	1618	m6A
FIV02_23600	1618	m6A
FIV02_13780	2069	m7G
FIV02_18915	2069	m7G
FIV02_21195	2069	m7G
FIV02_23600	2069	m7G
FIV02_13780	2552	Um
FIV02_18915	2552	Um
FIV02_21195	2552	Um
FIV02_23600	2552	Um
FIV02_13780	1911	Y
FIV02_13780	1915	Y
FIV02_13780	1917	Y
FIV02_18915	1911	Y
FIV02_18915	1915	Y
FIV02_18915	1917	Y
FIV02_21195	1911	Y
FIV02_21195	1915	Y
FIV02_21195	1917	Y
FIV02_23600	1911	Y
FIV02_23600	1915	Y
FIV02_23600	1917	Y
