,query,evalue
EWS79_RS00020,b2751,0.0
EWS79_RS00025,b2752,0.0
EWS79_RS00040,b2763,0.0
EWS79_RS00045,b2764,0.0
EWS79_RS00235,b3729,0.0
EWS79_RS00330,b1883,3.81e-106
EWS79_RS00355,b3650,4.33e-166
EWS79_RS00425,b0072,0.0
EWS79_RS00595,b2574,0.0
EWS79_RS00620,b1676,6.83e-94
EWS79_RS00705,b4063,2.93e-50
EWS79_RS00720,b3994,0.0
EWS79_RS00740,b2935,0.0
EWS79_RS00775,b4391,0.0
EWS79_RS00835,b2435,8.349999999999999e-42
EWS79_RS00905,b3186,1.51e-19
EWS79_RS01010,b0161,2.5900000000000002e-73
EWS79_RS01025,b3734,0.0
EWS79_RS01035,b3732,0.0
EWS79_RS01100,b2133,0.0
EWS79_RS01120,b2200,1.53e-18
EWS79_RS01170,b0657,1.0100000000000001e-35
EWS79_RS01220,b0462,0.0
EWS79_RS01275,b4005,1.4299999999999999e-136
EWS79_RS01360,b0048,1.92e-22
EWS79_RS01370,b0026,0.0
EWS79_RS01530,b0779,0.0
EWS79_RS01540,b2411,0.0
EWS79_RS01555,b1851,0.0
EWS79_RS01595,b0439,0.0
EWS79_RS01720,b0882,0.0
EWS79_RS01770,b3463,8.37e-58
EWS79_RS01805,b1683,0.0
EWS79_RS01970,b2780,0.0
EWS79_RS02025,b0414,1.47e-55
EWS79_RS02100,b1845,9.84e-159
EWS79_RS02115,b3870,0.0
EWS79_RS02225,b3340,0.0
EWS79_RS02230,b3980,0.0
EWS79_RS02360,b3295,1.31e-101
EWS79_RS02410,b3164,0.0
EWS79_RS02435,b3168,0.0
EWS79_RS02540,b3813,1.6599999999999998e-176
EWS79_RS02655,b1889,1.3e-48
EWS79_RS02745,b1879,0.0
EWS79_RS02755,b1922,3.16e-38
EWS79_RS02905,b0014,0.0
EWS79_RS03055,b2231,0.0
EWS79_RS03105,b1805,2.54e-30
EWS79_RS03145,b2501,6.4700000000000004e-124
EWS79_RS03240,b3988,0.0
EWS79_RS03255,b3256,0.0
EWS79_RS03285,b4375,0.0
EWS79_RS03360,b1011,4.76e-20
EWS79_RS03385,b1719,0.0
EWS79_RS03540,b3486,0.0
EWS79_RS03570,b0835,0.0
EWS79_RS03585,b3288,6.1099999999999996e-92
EWS79_RS03705,b0094,4.1599999999999996e-60
EWS79_RS03740,b2697,0.0
EWS79_RS03885,b0029,1.14e-115
EWS79_RS03950,b1808,1.9099999999999997e-24
EWS79_RS04105,b0098,0.0
EWS79_RS04230,b0438,0.0
EWS79_RS04300,b2686,2.88e-132
EWS79_RS04340,b1733,2.06e-13
EWS79_RS04455,b3829,0.0
EWS79_RS04460,b4130,8.55e-84
EWS79_RS04755,b2811,1.56e-23
EWS79_RS04860,b1098,2.42e-27
EWS79_RS04975,b3213,4.41e-133
EWS79_RS04980,b3212,0.0
EWS79_RS05025,b2746,2.96e-44
EWS79_RS05075,b4171,6.31e-57
EWS79_RS05080,b0077,0.0
EWS79_RS05130,b0176,1.7699999999999999e-28
EWS79_RS05250,b3404,9.48e-41
EWS79_RS05280,b1208,2.0599999999999998e-30
EWS79_RS05370,b4090,8.800000000000001e-35
EWS79_RS05380,b0413,6.59e-41
EWS79_RS05410,b3747,0.0
EWS79_RS05535,b4046,2.48e-14
EWS79_RS05540,b1478,0.0
EWS79_RS05605,b2196,1.8299999999999999e-147
EWS79_RS05650,b2507,0.0
EWS79_RS05710,b3753,1.8e-41
EWS79_RS05840,b0054,8.68e-15
EWS79_RS05890,b2508,1.3100000000000002e-179
EWS79_RS05985,b0932,0.0
EWS79_RS06030,b3352,0.0
EWS79_RS06335,b2592,0.0
EWS79_RS06385,b0642,0.0
EWS79_RS06530,b3110,0.0
EWS79_RS06555,b3871,0.0
EWS79_RS06810,b2075,0.0
EWS79_RS06850,b0184,0.0
EWS79_RS06955,b0751,4.17e-17
EWS79_RS06980,b0903,0.0
EWS79_RS07000,b2431,4.33e-49
EWS79_RS07070,b3699,0.0
EWS79_RS07090,b4058,0.0
EWS79_RS07110,b4053,1.69e-33
EWS79_RS07120,b3589,1.01e-180
EWS79_RS07125,b0420,0.0
EWS79_RS07175,b2779,0.0
EWS79_RS07215,b0032,1.26e-134
EWS79_RS07230,b3067,1.71e-151
EWS79_RS07250,b4557,1.6e-20
EWS79_RS07350,b1114,0.0
EWS79_RS07420,b3178,0.0
EWS79_RS07625,b0890,1.2e-158
EWS79_RS07720,b0356,5.760000000000001e-173
EWS79_RS07800,b2569,0.0
EWS79_RS07810,b4019,0.0
EWS79_RS08025,b3771,0.0
EWS79_RS08055,b0911,0.0
EWS79_RS08305,b1439,3.5000000000000003e-44
EWS79_RS08475,b4258,0.0
EWS79_RS08605,b3064,1.69e-96
EWS79_RS08620,b2733,0.0
EWS79_RS08650,b2947,8.64e-81
EWS79_RS08720,b4142,4.6800000000000004e-29
EWS79_RS08725,b4143,0.0
EWS79_RS08885,b1479,0.0
EWS79_RS08925,b0720,0.0
EWS79_RS09000,b3740,7.91e-13
EWS79_RS09005,b3741,0.0
EWS79_RS09045,b3783,0.0
ZMO0003,b2750,5.65e-110
ZMO0006,b3368,4.3000000000000005e-164
ZMO0007,b2762,2.3599999999999997e-140
ZMO0012,b2955,3.36e-75
ZMO0013,b2954,4.01e-38
ZMO0014,b3643,1.8899999999999998e-94
ZMO0016,b2614,2.1699999999999997e-24
ZMO0017,b3289,2.05e-47
ZMO0018,b3386,5.9e-85
ZMO0021,b0307,4.39e-106
ZMO0022,b0306,2.2e-36
ZMO0025,b4210,1.99e-30
ZMO0027,b4006,0.0
ZMO0028,b4351,4.03e-57
ZMO0033,b1181,1.65e-44
ZMO0037,b3204,6.89e-35
ZMO0039,b0215,3.37e-58
ZMO0040,b0103,3.02e-16
ZMO0041,b3281,1.74e-36
ZMO0043,b1087,1.52e-26
ZMO0047,b2578,2.72e-18
ZMO0050,b2157,3.66e-41
ZMO0052,b0341,1.33e-65
ZMO0053,b1009,1.37e-12
ZMO0054,b1530,3.17e-14
ZMO0059,b3124,3.0699999999999998e-114
ZMO0061,b1002,3.5400000000000004e-35
ZMO0073,b0658,1.27e-36
ZMO0074,b0659,5.54e-26
ZMO0075,b0660,2.3999999999999997e-90
ZMO0077,b0661,3.54e-140
ZMO0078,b1887,7.21e-30
ZMO0079,b1882,2.14e-25
ZMO0082,b1884,3.84e-51
ZMO0083,b1888,6.23e-148
ZMO0094,b0775,3.44e-117
ZMO0096,b1912,2.47e-25
ZMO0099,b2835,9.98e-12
ZMO0106,b0071,1.04e-48
ZMO0111,b0949,2.61e-121
ZMO0113,b1812,1.07e-98
ZMO0115,b1096,8.26e-24
ZMO0116,b4178,4.11e-11
ZMO0117,b0873,3.5200000000000004e-163
ZMO0119,b0019,2.23e-77
ZMO0121,b0892,3.47e-122
ZMO0125,b0481,3.5400000000000003e-32
ZMO0137,b0644,2.3699999999999998e-61
ZMO0139,b1725,1.1000000000000001e-27
ZMO0140,b2061,2.18e-15
ZMO0142,b2951,6.95e-35
ZMO0143,b0127,1.92e-76
ZMO0149,b2960,1.26e-32
ZMO0153,b1864,2.53e-76
ZMO0154,b1863,6.54e-30
ZMO0155,b1861,1.71e-27
ZMO0157,b3553,1.2200000000000001e-43
ZMO0158,b1860,1.39e-139
ZMO0160,b0736,3.46e-22
ZMO0161,b3006,4.59e-42
ZMO0162,b3005,8.809999999999999e-24
ZMO0165,b0740,8.1e-40
ZMO0166,b0741,8.560000000000001e-33
ZMO0170,b2239,1.5e-13
ZMO0177,b1779,1.64e-106
ZMO0178,b2926,4.12e-105
ZMO0179,b2097,2.05e-44
ZMO0180,b2515,8.0100000000000005e-143
ZMO0186,b0526,5.67e-61
ZMO0188,b1102,1.11e-63
ZMO0189,b2797,1.14e-155
ZMO0192,b2494,3.14e-17
ZMO0193,b1084,2.4500000000000002e-123
ZMO0197,b3396,1.68e-115
ZMO0198,b2891,8.909999999999999e-128
ZMO0199,b4043,1.67e-24
ZMO0200,b1263,4.3599999999999996e-45
ZMO0201,b3360,2.23e-74
ZMO0202,b1886,1.4899999999999999e-61
ZMO0203,b3292,5.58e-20
ZMO0206,b0242,3.1300000000000003e-79
ZMO0207,b3183,4.97e-94
ZMO0209,b3185,7.65e-36
ZMO0214,b4044,1.2900000000000001e-47
ZMO0215,b2912,2.76e-19
ZMO0226,b1539,3.5099999999999996e-94
ZMO0227,b3863,0.0
ZMO0232,b4180,1.19e-41
ZMO0236,b2113,2.57e-54
ZMO0238,b3735,2.37e-15
ZMO0240,b3733,2.2599999999999998e-52
ZMO0244,b0440,6.040000000000001e-21
ZMO0246,b3932,1.5e-72
ZMO0247,b3931,1.22e-154
