modification	positions	type	enzymes	source
D	16,17,20,20A,21	tRNA	ZMO1127-MONOMER	Homology
Y	38,39,40	tRNA	ZMO0810-MONOMER	Homology
t6A	37	tRNA	ZMO0999-MONOMER	Homology
m6t6A	37	tRNA	ZMO0999-MONOMER	Homology
m7G	46	tRNA	ZMO0149-MONOMER	Homology
Um	32	tRNA	ZMO1203-MONOMER	Homology
i6A	37	tRNA	EWS79_RS05075-MONOMER_mod_mg2(2)	Homology
Cm	32	tRNA	ZMO1203-MONOMER	Homology
I	34	tRNA	ZMO0296-MONOMER_mod_zn2(2)	Homology
m1G	37	tRNA	ZMO1078-MONOMER	Homology
k2C	34	tRNA	ZMO1658-MONOMER	Homology
m62A	1518,1519	16S	ZMO1314-MONOMER	Homology
m5C	967	16S	ZMO0017-MONOMER	Homology
m2G	966	16S	ZMO0575-MONOMER	Homology
m3U	1498	16S	ZMO1554-MONOMER	Homology
m7G	527	16S	EWS79_RS09000-MONOMER	Homology
m4Cm	1402	16S	generic_16Sm4Cm1402	Homology
m2A	2503	23S	ZMO1032-MONOMER_mod_4fe4s(1)	Homology
Gm	2251	23S	ZMO0232-MONOMER	Homology
m5U	1939	23S	ZMO1179-MONOMER_mod_4fe4s(1)	Homology
Um	2552	23S	ZMO0402-MONOMER	Homology
Y	1911,1915,1917	23S	ZMO0750-MONOMER_mod_mg2(1)	Homology
m3Y	1915	23S	ZMO1664-MONOMER	Homology
