Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Genes of polypeptide, complex, or RNA	Common-Name	Locations
BSU06910-MONOMER	BSU06910	BSU06910	756417	756986	BSU06910	enzyme component of the inner spore coat	
BSU28530-MONOMER	BSU28530	BSU28530	2916378	2917151	BSU28530	electron transfer flavoprotein (beta subunit)	CCI-CYTOSOL-GP
BSU24080-MONOMER	BSU24080	BSU24080	2502659	2503753	BSU24080	branched-chain amino acid dehydrogenase	
BSU32600-MONOMER	BSU32600	BSU32600	3349761	3351029	BSU32600	glycated amino acid-binding lipoprotein	CCI-PM-BAC-POS-GP
BSU14970-MONOMER	BSU14970	BSU14970	1567651	1568049	BSU14970	sporulation-related protein (coat)	
BSU18640-MONOMER	BSU18640	BSU18640	2033895	2034572	BSU18640	putative membrane protein	CCI-PM-BAC-POS-GP
BSU21920-MONOMER	BSU21920	BSU21920	2306514	2307662	BSU21920	UDP-glucose diacylglyceroltransferase	CCI-PM-BAC-POS-GP
BSU38520-MONOMER	BSU38520	BSU38520	3954987	3955223	BSU38520	D-alanyl carrier protein	CCI-CYTOSOL-GP
BSU11070-MONOMER	BSU11070	BSU11070	1183943	1184479	BSU11070	putative maturation protein of toxin BitM (YitM)	CCI-PM-BAC-POS-GP
BSU01845-MONOMER	BSU01845	BSU01845	206941	209556	BSU01845	subunit of a Na+:bicarbonate transporter MpsA-MpsB; prophage 1 region	CCI-PM-BAC-POS-GP
BSU04840-MONOMER	BSU04840	BSU04840	532292	532552	BSU04840	ICEBs1 mobile element: inhibitor of biofilm formation and sporulation	CCI-CYTOSOL-GP
BSU25440-MONOMER	BSU25440	BSU25440	2623032	2623802	BSU25440	methylase of U1498 in 16S rRNA	CCI-CYTOSOL-GP
BSU31980-MONOMER	BSU31980	BSU31980	3288641	3290260	BSU31980	2,3-dihydroxybenzoate-AMP ligase	CCI-CYTOSOL-GP
BSU05020-MONOMER	BSU05020	BSU05020	548438	548557	BSU05020	ICEBs1 mobile element: secreted regulator of the activity of phosphatase RapI	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
CPLX8J2-85	BSU24360 // BSU36550		2532353	2533009	BSU24360 // BSU36550	SpoIIIAH-SpoIIQ complex	
BSU28780-MONOMER	BSU28780	BSU28780	2944983	2945672	BSU28780	L-ribulose-5-phosphate 4-epimerase	CCI-CYTOSOL-GP
BSU25810-MONOMER	BSU25810	BSU25810	2657317	2657634	BSU25810	transcriptional regulator (ArsR-arsenate); skin element	
BSU30120-MONOMER	BSU30120	BSU30120	3081131	3082252	BSU30120	unsaturated rhamnogalacturonyl hydrolase	CCI-CYTOSOL-GP
BSU07860-MONOMER	BSU07860	BSU07860	860303	861493	BSU07860	putative transporter YfkL	CCI-PM-BAC-POS-GP
BSU16530-MONOMER	BSU16530	BSU16530	1721214	1721996	BSU16530	undecaprenyl pyrophosphate synthase	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU34265-MONOMER	BSU34265	BSU34265	3517485	3519002	BSU34265	putative extracellular matrix component exporter; putative cyclic di-GMP receptor	CCI-PM-BAC-POS-GP
BSU06020-MONOMER	BSU06020	BSU06020	649903	650187	BSU06020	chaperonin small subunit	CCI-CYTOSOL-GP
BSU36430-MONOMER	BSU36430	BSU36430	3748717	3748827	BSU36430	leader peptide required for translation of spoIIID	CCI-CYTOSOL-GP
BSU37410-MONOMER	BSU37410	BSU37410	3839852	3841012	BSU37410	peptidase involved in subtilosin A production	
BSU12210-MONOMER	BSU12210	BSU12210	1291344	1292534	BSU12210	cytochrome P450 CYP109B1, monooxygenase	
BSU14080-MONOMER	BSU14080	BSU14080	1481547	1482095	BSU14080	conserved protein of unknown function	CCI-PM-BAC-POS-GP
BSU35260-MONOMER	BSU35260	BSU35260	3624821	3625507	BSU35260	ATPase FtsE	CCI-PM-BAC-POS-GP
BSU22080-MONOMER	BSU22080	BSU22080	2320355	2321860	BSU22080	metal-dependent carboxypeptidase	
BSU03090-MONOMER	BSU03090	BSU03090	334630	335259	BSU03090	putative metabolite export permease	CCI-PM-BAC-POS-GP
CPLX8J2-104	BSU16160 // BSU16150		1688676	1690079	BSU16160 // BSU16150	ATP-dependent protease	
BSU08080-MONOMER	BSU08080	BSU08080	881049	882245	BSU08080	acetoin dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	
BSU26960-MONOMER	BSU26960	BSU26960	2753065	2753433	BSU26960	forespore-specific protein, putative coat protein	
BSU28760-MONOMER	BSU28760	BSU28760	2943006	2944190	BSU28760	sn-glycerol-1-phosphate dehydrogenase [NAD+] (catabolic, Ni2+-dependent)	CCI-CYTOSOL-GP
BSU00130-MONOMER	BSU00130	BSU00130	20880	22157	BSU00130	seryl-tRNA synthetase	CCI-CYTOSOL-GP
BSU11440-MONOMER	BSU11440	BSU11440	1221594	1222529	BSU11440	oligopeptide ABC transporter membrane subunit OppB	CCI-PM-BAC-POS-GP
BSU19560-MONOMER	BSU19560	BSU19560	2128464	2129066	BSU19560	putative hydrolase	CCI-CYTOSOL-GP
BSU18260-MONOMER	BSU18260	BSU18260	1956218	1957360	BSU18260	short chain acyl-CoA dehydrogenase (leucine degradation)	CCI-CYTOSOL-GP
BSU27140-MONOMER	BSU27140	BSU27140	2771318	2773222	BSU27140	peptidoglycan O-acetyltransferase	CCI-PM-BAC-POS-GP
BSU29350-MONOMER	BSU29350	BSU29350	3005122	3005829	BSU29350	S-alkyl cysteine ABC transporter membrane subunit TcyM	CCI-PM-BAC-POS-GP
BSU31770-MONOMER	BSU31770	BSU31770	3261539	3261937	BSU31770	conserved protein of unknown function	
BSU12900-MONOMER	BSU12900	BSU12900	1357936	1359285	BSU12900	membrane bound serine protease Do, quality control protease and chaperone (heat-shock protein)	CCI-PM-BAC-POS-GP
BSU19410-MONOMER	BSU19410	BSU19410	2115425	2116669	BSU19410	d-gamma-glutamyl-meso-diaminopimelic acid endopeptidase; poly-gamma-glutamic acid endopeptidase	CCI-EXTRACELLULAR-GP
BSU23050-MONOMER	BSU23050	BSU23050	2410017	2410589	BSU23050	riboflavin ECF transporter, S component	CCI-PM-BAC-POS-GP
BSU19850-MONOMER	BSU19850	BSU19850	2153171	2153356	BSU19850	putative nucleic acid binding protein; phage SPbeta	
BSU18390-MONOMER	BSU18390	BSU18390	2003401	2003946	BSU18390	putative bacteriophage integrase / recombinase	
BSU09400-MONOMER	BSU09400	BSU09400	1015647	1017053	BSU09400	shape determination protein involved in spore cortex synthesis (stage V sporulation, but conserved in non sporulating bacteria)	
BSU20840-MONOMER	BSU20840	BSU20840	2208328	2208528	BSU20840	hypothetical protein; phage SPbeta	
BSU04590-MONOMER	BSU04590	BSU04590	512814	513293	BSU04590	resistance to heterologous antibiotics	CCI-PM-BAC-POS-GP
BSU06580-MONOMER	BSU06580	BSU06580	716431	716745	BSU06580	putative transcriptional repressor	
BSU15110-MONOMER	BSU15110	BSU15110	1577409	1578305	BSU15110	2-dehydropantoate 2-reductase	CCI-CYTOSOL-GP
BSU34960-MONOMER	BSU34960	BSU34960	3591288	3591806	BSU34960	dephosphorylated heptaprenylglyceryl phosphate O-acetyltransferase	
BSU26340-MONOMER	BSU26340	BSU26340	2698486	2698716	BSU26340	putative transcriptional regulator; skin element	
BSU11550-MONOMER	BSU11550	BSU11550	1233614	1234513	BSU11550	thiol management effector of SpxA degradation; adaptor protein for ClpX-ClpP-catalyzed Spx degradation	CCI-CYTOSOL-GP
BSU03800-MONOMER	BSU03800	BSU03800	432372	433322	BSU03800	petrobactin iron-siderophore ABC transporter (permease)	CCI-PM-BAC-POS-GP
BSU36710-MONOMER	BSU36710	BSU36710	3773366	3774154	BSU36710	protein sulfur transferase involved in molybdenum cofactor synthesis	CCI-CYTOSOL-GP
BSU33840-MONOMER	BSU33840	BSU33840	3471266	3471823	BSU33840	negative transcriptional regulator of choline uptake systems	
BSU38640-MONOMER	BSU38640	BSU38640	3966745	3967947	BSU38640	putative transporter	CCI-PM-BAC-POS-GP
CPLX8J2-196	BSU31760	BSU31760	3260891	3261442	BSU31760		
BSU38820-MONOMER	BSU38820	BSU38820	3985351	3986244	BSU38820	transcriptional regulator (regulates yxkF-msmX expression)	
BSU00730-MONOMER	BSU00730	BSU00730	81771	82697	BSU00730	cysteine synthase (PLP-dependent)	CCI-CYTOSOL-GP
BSU21690-MONOMER	BSU21690	BSU21690	2287529	2288062	BSU21690	peptide methionine (S)-sulfoxide reductase	CCI-CYTOSOL-GP
MONOMER8J2-137	G8J2-182	G8J2-182	3036354	3036473	G8J2-182	small protein SR7P	
CPLX8J2-143	BSU28720	BSU28720	2938330	2939832	BSU28720		
BSU31660-MONOMER	BSU31660	BSU31660	3251992	3252366	BSU31660	Na<sup>+</sup>:H<sup>+</sup> antiporter subunit A	CCI-PM-BAC-POS-GP
BSU06950-MONOMER	BSU06950	BSU06950	758719	760452	BSU06950	two-component sensor histidine kinase [RhgL]	CCI-PM-BAC-POS-GP
CPLX8J2-174	BSU16170	BSU16170	1690119	1690898	BSU16170	GTP and branched-chain amino acid-dependent transcriptional regulator CodY	
BSU03180-MONOMER	BSU03180	BSU03180	342538	343494	BSU03180	promiscuous acetyl xylan esterase (cephalosporin C) deacetylase	CCI-CYTOSOL-GP
CPLX8J2-166	BSU31090	BSU31090	3188414	3189082	BSU31090	K<sup>+</sup> transporter family protein KtrA	
BSU29220-MONOMER	BSU29220	BSU29220	2989900	2991132	BSU29220	NADP-dependent malic enzyme (conversion of malate into pyruvate, anabolic)	
BSU26089-MONOMER	BSU26089	BSU26089	2680989	2681180	BSU26089	conserved phage protein of unknown function; skin element	
CPLX8J2-268	BSU22070	BSU22070	2319440	2320024	BSU22070		
BSU20780-MONOMER	BSU20780	BSU20780	2203779	2204003	BSU20780	putative transcriptional regulator, lambda repressor-like; phage SPbeta	
BSU31319-MONOMER	BSU31319	BSU31319	3218215	3218478	BSU31319	conserved protein of unknown function	CCI-PM-BAC-POS-GP
BSU21680-MONOMER	BSU21680	BSU21680	2287097	2287528	BSU21680	peptide methionine (R)-sulfoxide reductase	CCI-CYTOSOL-GP
BSU03981-MONOMER	BSU03981	BSU03981	449724	451160	BSU03981	phosphotransferase system (PTS) mannitol-specific enzyme IICB component	CCI-PM-BAC-POS-GP
BSU07955-MONOMER	BSU07955	BSU07955	868007	869128	BSU07955	putative Fe-S oxidoreductase, radical SAM superfamily involved in synthesis of a precursor of EF-P modification	
BSU06480-MONOMER	BSU06480	BSU06480	703237	705465	BSU06480	phosphoribosylformylglycinamidine synthetase main subunit	CCI-CYTOSOL-GP
MONOMER8J2-58	G8J2-173	BSU_04849	532758	532886	G8J2-173	ICEBs1 mobile element; hypothetical protein	
