bnum	position	modification
BSU_rRNA_1	1518	m62A
BSU_rRNA_1	1519	m62A
BSU_rRNA_4	1518	m62A
BSU_rRNA_4	1519	m62A
BSU_rRNA_6	1518	m62A
BSU_rRNA_6	1519	m62A
BSU_rRNA_9	1518	m62A
BSU_rRNA_9	1519	m62A
BSU_rRNA_23	1518	m62A
BSU_rRNA_23	1519	m62A
BSU_rRNA_16	1518	m62A
BSU_rRNA_16	1519	m62A
BSU_rRNA_25	1518	m62A
BSU_rRNA_25	1519	m62A
BSU_rRNA_30	1518	m62A
BSU_rRNA_30	1519	m62A
BSU_rRNA_22	1518	m62A
BSU_rRNA_22	1519	m62A
BSU_rRNA_19	1518	m62A
BSU_rRNA_19	1519	m62A
BSU_rRNA_1	967	m5C
BSU_rRNA_4	967	m5C
BSU_rRNA_6	967	m5C
BSU_rRNA_9	967	m5C
BSU_rRNA_23	967	m5C
BSU_rRNA_16	967	m5C
BSU_rRNA_25	967	m5C
BSU_rRNA_30	967	m5C
BSU_rRNA_22	967	m5C
BSU_rRNA_19	967	m5C
BSU_rRNA_1	966	m2G
BSU_rRNA_4	966	m2G
BSU_rRNA_6	966	m2G
BSU_rRNA_9	966	m2G
BSU_rRNA_23	966	m2G
BSU_rRNA_16	966	m2G
BSU_rRNA_25	966	m2G
BSU_rRNA_30	966	m2G
BSU_rRNA_22	966	m2G
BSU_rRNA_19	966	m2G
BSU_rRNA_1	1498	m3U
BSU_rRNA_4	1498	m3U
BSU_rRNA_6	1498	m3U
BSU_rRNA_9	1498	m3U
BSU_rRNA_23	1498	m3U
BSU_rRNA_16	1498	m3U
BSU_rRNA_25	1498	m3U
BSU_rRNA_30	1498	m3U
BSU_rRNA_22	1498	m3U
BSU_rRNA_19	1498	m3U
BSU_rRNA_1	527	m7G
BSU_rRNA_4	527	m7G
BSU_rRNA_6	527	m7G
BSU_rRNA_9	527	m7G
BSU_rRNA_23	527	m7G
BSU_rRNA_16	527	m7G
BSU_rRNA_25	527	m7G
BSU_rRNA_30	527	m7G
BSU_rRNA_22	527	m7G
BSU_rRNA_19	527	m7G
BSU_rRNA_1	1402	m4Cm
BSU_rRNA_4	1402	m4Cm
BSU_rRNA_6	1402	m4Cm
BSU_rRNA_9	1402	m4Cm
BSU_rRNA_23	1402	m4Cm
BSU_rRNA_16	1402	m4Cm
BSU_rRNA_25	1402	m4Cm
BSU_rRNA_30	1402	m4Cm
BSU_rRNA_22	1402	m4Cm
BSU_rRNA_19	1402	m4Cm
BSU_rRNA_1	516	Y
BSU_rRNA_4	516	Y
BSU_rRNA_6	516	Y
BSU_rRNA_9	516	Y
BSU_rRNA_23	516	Y
BSU_rRNA_16	516	Y
BSU_rRNA_25	516	Y
BSU_rRNA_30	516	Y
BSU_rRNA_22	516	Y
BSU_rRNA_19	516	Y
BSU_rRNA_2	2503	m2A
BSU_rRNA_5	2503	m2A
BSU_rRNA_7	2503	m2A
BSU_rRNA_10	2503	m2A
BSU_rRNA_14	2503	m2A
BSU_rRNA_29	2503	m2A
BSU_rRNA_27	2503	m2A
BSU_rRNA_12	2503	m2A
BSU_rRNA_17	2503	m2A
BSU_rRNA_20	2503	m2A
BSU_rRNA_2	2251	Gm
BSU_rRNA_5	2251	Gm
BSU_rRNA_7	2251	Gm
BSU_rRNA_10	2251	Gm
BSU_rRNA_14	2251	Gm
BSU_rRNA_29	2251	Gm
BSU_rRNA_27	2251	Gm
BSU_rRNA_12	2251	Gm
BSU_rRNA_17	2251	Gm
BSU_rRNA_20	2251	Gm
BSU_rRNA_2	1939	m5U
BSU_rRNA_5	1939	m5U
BSU_rRNA_7	1939	m5U
BSU_rRNA_10	1939	m5U
BSU_rRNA_14	1939	m5U
BSU_rRNA_29	1939	m5U
BSU_rRNA_27	1939	m5U
BSU_rRNA_12	1939	m5U
BSU_rRNA_17	1939	m5U
BSU_rRNA_20	1939	m5U
BSU_rRNA_2	745	m1G
BSU_rRNA_5	745	m1G
BSU_rRNA_7	745	m1G
BSU_rRNA_10	745	m1G
BSU_rRNA_14	745	m1G
BSU_rRNA_29	745	m1G
BSU_rRNA_27	745	m1G
BSU_rRNA_12	745	m1G
BSU_rRNA_17	745	m1G
BSU_rRNA_20	745	m1G
BSU_rRNA_2	1835	m2G
BSU_rRNA_5	1835	m2G
BSU_rRNA_7	1835	m2G
BSU_rRNA_10	1835	m2G
BSU_rRNA_14	1835	m2G
BSU_rRNA_29	1835	m2G
BSU_rRNA_27	1835	m2G
BSU_rRNA_12	1835	m2G
BSU_rRNA_17	1835	m2G
BSU_rRNA_20	1835	m2G
BSU_rRNA_2	1962	m5C
BSU_rRNA_5	1962	m5C
BSU_rRNA_7	1962	m5C
BSU_rRNA_10	1962	m5C
BSU_rRNA_14	1962	m5C
BSU_rRNA_29	1962	m5C
BSU_rRNA_27	1962	m5C
BSU_rRNA_12	1962	m5C
BSU_rRNA_17	1962	m5C
BSU_rRNA_20	1962	m5C
BSU_rRNA_2	2069	m7G
BSU_rRNA_5	2069	m7G
BSU_rRNA_7	2069	m7G
BSU_rRNA_10	2069	m7G
BSU_rRNA_14	2069	m7G
BSU_rRNA_29	2069	m7G
BSU_rRNA_27	2069	m7G
BSU_rRNA_12	2069	m7G
BSU_rRNA_17	2069	m7G
BSU_rRNA_20	2069	m7G
BSU_rRNA_2	1911	Y
BSU_rRNA_2	1915	Y
BSU_rRNA_2	1917	Y
BSU_rRNA_5	1911	Y
BSU_rRNA_5	1915	Y
BSU_rRNA_5	1917	Y
BSU_rRNA_7	1911	Y
BSU_rRNA_7	1915	Y
BSU_rRNA_7	1917	Y
BSU_rRNA_10	1911	Y
BSU_rRNA_10	1915	Y
BSU_rRNA_10	1917	Y
BSU_rRNA_14	1911	Y
BSU_rRNA_14	1915	Y
BSU_rRNA_14	1917	Y
BSU_rRNA_29	1911	Y
BSU_rRNA_29	1915	Y
BSU_rRNA_29	1917	Y
BSU_rRNA_27	1911	Y
BSU_rRNA_27	1915	Y
BSU_rRNA_27	1917	Y
BSU_rRNA_12	1911	Y
BSU_rRNA_12	1915	Y
BSU_rRNA_12	1917	Y
BSU_rRNA_17	1911	Y
BSU_rRNA_17	1915	Y
BSU_rRNA_17	1917	Y
BSU_rRNA_20	1911	Y
BSU_rRNA_20	1915	Y
BSU_rRNA_20	1917	Y
