bnum	position	modification
PA0668.1	1518	m62A
PA0668.1	1519	m62A
PA4280.5	1518	m62A
PA4280.5	1519	m62A
PA4690.5	1518	m62A
PA4690.5	1519	m62A
PA5369.5	1518	m62A
PA5369.5	1519	m62A
PA0668.1	967	m5C
PA4280.5	967	m5C
PA4690.5	967	m5C
PA5369.5	967	m5C
PA0668.1	966	m2G
PA4280.5	966	m2G
PA4690.5	966	m2G
PA5369.5	966	m2G
PA0668.1	1498	m3U
PA4280.5	1498	m3U
PA4690.5	1498	m3U
PA5369.5	1498	m3U
PA0668.1	527	m7G
PA4280.5	527	m7G
PA4690.5	527	m7G
PA5369.5	527	m7G
PA0668.1	1402	m4Cm
PA4280.5	1402	m4Cm
PA4690.5	1402	m4Cm
PA5369.5	1402	m4Cm
PA0668.1	516	Y
PA4280.5	516	Y
PA4690.5	516	Y
PA5369.5	516	Y
PA0668.4	2503	m2A
PA4280.2	2503	m2A
PA4690.2	2503	m2A
PA5369.2	2503	m2A
PA0668.4	2251	Gm
PA4280.2	2251	Gm
PA4690.2	2251	Gm
PA5369.2	2251	Gm
PA0668.4	1939	m5U
PA4280.2	1939	m5U
PA4690.2	1939	m5U
PA5369.2	1939	m5U
PA0668.4	2498	Cm
PA4280.2	2498	Cm
PA4690.2	2498	Cm
PA5369.2	2498	Cm
PA0668.4	745	m1G
PA4280.2	745	m1G
PA4690.2	745	m1G
PA5369.2	745	m1G
PA0668.4	1835	m2G
PA4280.2	1835	m2G
PA4690.2	1835	m2G
PA5369.2	1835	m2G
PA0668.4	1962	m5C
PA4280.2	1962	m5C
PA4690.2	1962	m5C
PA5369.2	1962	m5C
PA0668.4	1618	m6A
PA4280.2	1618	m6A
PA4690.2	1618	m6A
PA5369.2	1618	m6A
PA0668.4	2069	m7G
PA4280.2	2069	m7G
PA4690.2	2069	m7G
PA5369.2	2069	m7G
PA0668.4	2552	Um
PA4280.2	2552	Um
PA4690.2	2552	Um
PA5369.2	2552	Um
PA0668.4	1911	Y
PA0668.4	1915	Y
PA0668.4	1917	Y
PA4280.2	1911	Y
PA4280.2	1915	Y
PA4280.2	1917	Y
PA4690.2	1911	Y
PA4690.2	1915	Y
PA4690.2	1917	Y
PA5369.2	1911	Y
PA5369.2	1915	Y
PA5369.2	1917	Y
