Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
EWS79_RS03380	EWS79_RS03380	755968	756711	EWS79_RS03380-MONOMER
EWS79_RS09025	EWS79_RS09025	2048526	2049830	EWS79_RS09025-MONOMER
EWS79_RS02145	EWS79_RS02145	497670	499778	EWS79_RS02145-MONOMER
EWS79_RS07985	EWS79_RS07985	1824949	1826079	EWS79_RS07985-MONOMER
EWS79_RS06070	EWS79_RS06070	1381031	1381645	EWS79_RS06070-MONOMER
EWS79_RS05350	EWS79_RS05350	1219920	1220558	EWS79_RS05350-MONOMER
EWS79_RS00800	EWS79_RS00800	175346	177712	EWS79_RS00800-MONOMER
EWS79_RS07845	EWS79_RS07845	1795149	1795430	EWS79_RS07845-MONOMER
EWS79_RS01690	EWS79_RS01690	396655	397656	EWS79_RS01690-MONOMER
EWS79_RS01040	EWS79_RS01040	236420	236686	EWS79_RS01040-MONOMER
EWS79_RS03315	EWS79_RS03315	745069	745992	EWS79_RS03315-MONOMER
EWS79_RS07965	EWS79_RS07965	1821681	1822799	EWS79_RS07965-MONOMER
EWS79_RS02865	EWS79_RS02865	640386	640775	EWS79_RS02865-MONOMER
EWS79_RS03585	EWS79_RS03585	813279	814205	EWS79_RS03585-MONOMER
EWS79_RS08720	EWS79_RS08720	1981937	1982224	EWS79_RS08720-MONOMER
EWS79_RS07255	EWS79_RS07255	1667645	1669384	EWS79_RS07255-MONOMER
EWS79_RS06525	EWS79_RS06525	1483716	1483937	EWS79_RS06525-MONOMER
EWS79_RS04680	EWS79_RS04680	1063473	1064309	EWS79_RS04680-MONOMER
EWS79_RS00965	EWS79_RS00965	218710	219459	EWS79_RS00965-MONOMER
EWS79_RS01930	EWS79_RS01930	445306	446790	EWS79_RS01930-MONOMER
EWS79_RS03200	EWS79_RS03200	721780	721977	EWS79_RS03200-MONOMER
EWS79_RS08220	EWS79_RS08220	1875838	1876995	EWS79_RS08220-MONOMER
EWS79_RS05825	EWS79_RS05825	1321469	1322992	EWS79_RS05825-MONOMER
EWS79_RS04660	EWS79_RS04660	1058968	1059432	EWS79_RS04660-MONOMER
EWS79_RS02825	EWS79_RS02825	633756	634754	EWS79_RS02825-MONOMER
EWS79_RS06560	EWS79_RS06560	1493895	1494581	EWS79_RS06560-MONOMER
EWS79_RS02895	EWS79_RS02895	648851	650065	EWS79_RS02895-MONOMER
EWS79_RS06570	EWS79_RS06570	1497773	1498096	EWS79_RS06570-MONOMER
EWS79_RS08925	EWS79_RS08925	2022071	2023360	EWS79_RS08925-MONOMER
EWS79_RS04950	EWS79_RS04950	1126206	1126808	EWS79_RS04950-MONOMER
EWS79_RS06020	EWS79_RS06020	1366422	1366982	EWS79_RS06020-MONOMER
EWS79_RS02490	EWS79_RS02490	563493	566006	EWS79_RS02490-MONOMER
EWS79_RS03910	EWS79_RS03910	890493	891896	EWS79_RS03910-MONOMER
EWS79_RS03560	EWS79_RS03560	808089	808991	EWS79_RS03560-MONOMER
EWS79_RS06755	EWS79_RS06755	1539477	1540601	EWS79_RS06755-MONOMER
EWS79_RS08690	EWS79_RS08690	1971268	1973436	EWS79_RS08690-MONOMER
EWS79_RS02910	EWS79_RS02910	653322	654449	EWS79_RS02910-MONOMER
EWS79_RS01580	EWS79_RS01580	377641	378912	EWS79_RS01580-MONOMER
EWS79_RS04270	EWS79_RS04270	974701	975447	EWS79_RS04270-MONOMER
EWS79_RS06055	EWS79_RS06055	1375769	1375990	EWS79_RS06055-MONOMER
EWS79_RS04620	EWS79_RS04620	1048624	1049850	EWS79_RS04620-MONOMER
EWS79_RS03080	EWS79_RS03080	695851	695927	EWS79_RS03080-tRNA
EWS79_RS05235	EWS79_RS05235	1186886	1188160	EWS79_RS05235-MONOMER
EWS79_RS05480	EWS79_RS05480	1246921	1247856	EWS79_RS05480-MONOMER
EWS79_RS02100	EWS79_RS02100	481473	483539	EWS79_RS02100-MONOMER
EWS79_RS06820	EWS79_RS06820	1560898	1561908	EWS79_RS06820-MONOMER
EWS79_RS03305	EWS79_RS03305	743970	744503	EWS79_RS03305-MONOMER
EWS79_RS00120	EWS79_RS00120	26925	27854	EWS79_RS00120-MONOMER
EWS79_RS00320	EWS79_RS00320	69266	69631	EWS79_RS00320-MONOMER
EWS79_RS07500	EWS79_RS07500	1720173	1721294	EWS79_RS07500-MONOMER
EWS79_RS07590	EWS79_RS07590	1744522	1745061	EWS79_RS07590-MONOMER
