bnum	position	modification
ZMOr003	1518	m62A
ZMOr003	1519	m62A
ZMOr006	1518	m62A
ZMOr006	1519	m62A
ZMOr009	1518	m62A
ZMOr009	1519	m62A
EWS79_RS08410	1518	m62A
EWS79_RS08410	1519	m62A
EWS79_RS07055	1518	m62A
EWS79_RS07055	1519	m62A
EWS79_RS08350	1518	m62A
EWS79_RS08350	1519	m62A
ZMOr003	967	m5C
ZMOr006	967	m5C
ZMOr009	967	m5C
EWS79_RS08410	967	m5C
EWS79_RS07055	967	m5C
EWS79_RS08350	967	m5C
ZMOr003	966	m2G
ZMOr006	966	m2G
ZMOr009	966	m2G
EWS79_RS08410	966	m2G
EWS79_RS07055	966	m2G
EWS79_RS08350	966	m2G
ZMOr003	1498	m3U
ZMOr006	1498	m3U
ZMOr009	1498	m3U
EWS79_RS08410	1498	m3U
EWS79_RS07055	1498	m3U
EWS79_RS08350	1498	m3U
ZMOr003	527	m7G
ZMOr006	527	m7G
ZMOr009	527	m7G
EWS79_RS08410	527	m7G
EWS79_RS07055	527	m7G
EWS79_RS08350	527	m7G
ZMOr003	1402	m4Cm
ZMOr006	1402	m4Cm
ZMOr009	1402	m4Cm
EWS79_RS08410	1402	m4Cm
EWS79_RS07055	1402	m4Cm
EWS79_RS08350	1402	m4Cm
ZMOr002	2503	m2A
ZMOr005	2503	m2A
ZMOr008	2503	m2A
EWS79_RS07040	2503	m2A
EWS79_RS08395	2503	m2A
EWS79_RS08335	2503	m2A
ZMOr002	2251	Gm
ZMOr005	2251	Gm
ZMOr008	2251	Gm
EWS79_RS07040	2251	Gm
EWS79_RS08395	2251	Gm
EWS79_RS08335	2251	Gm
ZMOr002	1939	m5U
ZMOr005	1939	m5U
ZMOr008	1939	m5U
EWS79_RS07040	1939	m5U
EWS79_RS08395	1939	m5U
EWS79_RS08335	1939	m5U
ZMOr002	2552	Um
ZMOr005	2552	Um
ZMOr008	2552	Um
EWS79_RS07040	2552	Um
EWS79_RS08395	2552	Um
EWS79_RS08335	2552	Um
ZMOr002	1911	Y
ZMOr002	1915	Y
ZMOr002	1917	Y
ZMOr005	1911	Y
ZMOr005	1915	Y
ZMOr005	1917	Y
ZMOr008	1911	Y
ZMOr008	1915	Y
ZMOr008	1917	Y
EWS79_RS07040	1911	Y
EWS79_RS07040	1915	Y
EWS79_RS07040	1917	Y
EWS79_RS08395	1911	Y
EWS79_RS08395	1915	Y
EWS79_RS08395	1917	Y
EWS79_RS08335	1911	Y
EWS79_RS08335	1915	Y
EWS79_RS08335	1917	Y
