,query,evalue
NCTC10038_00001,b3702,0.0
NCTC10038_00002,b3701,4.59e-145
NCTC10038_00003,b3700,2.31e-95
NCTC10038_00004,b3699,0.0
NCTC10038_00012,b0200,1.7200000000000001e-29
NCTC10038_00013,b3559,0.0
NCTC10038_00014,b3560,4.79e-179
NCTC10038_00015,b3549,1.95e-62
NCTC10038_00018,b3290,0.0
NCTC10038_00019,b3289,7.53e-137
NCTC10038_00020,b3288,2.21e-129
NCTC10038_00021,b3287,3.35e-67
NCTC10038_00023,b4473,2.76e-75
NCTC10038_00024,b3282,2.5500000000000004e-47
NCTC10038_00025,b4051,2e-135
NCTC10038_00026,b2436,2.4300000000000003e-157
NCTC10038_00027,b3281,3.5e-91
NCTC10038_00028,b1206,7.539999999999999e-46
NCTC10038_00030,b3678,1.36e-36
NCTC10038_00033,b3693,6.900000000000001e-37
NCTC10038_00034,b4477,1.88e-52
NCTC10038_00035,b4478,5.400000000000001e-173
NCTC10038_00036,b3691,5.41e-174
NCTC10038_00038,b1260,1.13e-44
NCTC10038_00039,b1261,6.89e-150
NCTC10038_00044,b3160,3.5900000000000006e-129
NCTC10038_00045,b1482,2.1e-60
NCTC10038_00050,b3279,4.9e-83
NCTC10038_00051,b3498,0.0
NCTC10038_00075,b0199,6.24e-106
NCTC10038_00076,b1732,0.0
NCTC10038_00078,b1859,2.1899999999999997e-90
NCTC10038_00079,b1858,6.73e-102
NCTC10038_00080,b4046,7.05e-28
NCTC10038_00081,b1857,6.76e-68
NCTC10038_00084,b3863,0.0
NCTC10038_00086,b3865,1.31e-67
NCTC10038_00089,b3860,7.12e-19
NCTC10038_00092,b0867,1.13e-62
NCTC10038_00098,b4077,0.0
NCTC10038_00106,b4020,0.0
NCTC10038_00115,b2920,2.18e-152
NCTC10038_00116,b1602,7.950000000000001e-160
NCTC10038_00118,b1603,9.83e-105
NCTC10038_00121,b2371,1.4699999999999998e-81
NCTC10038_00145,b3711,6.520000000000001e-27
NCTC10038_00173,b1644,4.51e-76
NCTC10038_00176,b1614,3.4e-51
NCTC10038_00177,b1024,1.88e-176
NCTC10038_00178,b1023,0.0
NCTC10038_00179,b1022,0.0
NCTC10038_00202,b2270,4.46e-164
NCTC10038_00208,b2661,0.0
NCTC10038_00210,b2662,0.0
NCTC10038_00216,b3917,3.29e-146
NCTC10038_00217,b2424,2.1800000000000003e-79
NCTC10038_00218,b2423,4.36e-96
NCTC10038_00219,b2422,1.37e-117
NCTC10038_00226,b0341,4.76e-92
NCTC10038_00234,b0197,2.41e-65
NCTC10038_00237,b0809,5.07e-91
NCTC10038_00245,b0198,6.2e-53
NCTC10038_00253,b1917,3e-135
NCTC10038_00254,b1918,1.64e-115
NCTC10038_00255,b1920,2.81e-113
NCTC10038_00256,b1919,1.12e-138
NCTC10038_00258,b0314,0.0
NCTC10038_00260,b3001,5.73e-169
NCTC10038_00261,b0368,7.81e-126
NCTC10038_00262,b0367,2.2899999999999997e-106
NCTC10038_00263,b0366,1.82e-108
NCTC10038_00264,b0365,1.1100000000000001e-125
NCTC10038_00265,b2688,4.35e-131
NCTC10038_00267,b3407,0.0
NCTC10038_00268,b3405,3.03e-116
NCTC10038_00269,b3404,5.28e-63
NCTC10038_00270,b0852,2.16e-142
NCTC10038_00272,b1163,1.88e-30
NCTC10038_00273,b3400,2.66e-39
NCTC10038_00274,b2174,2.55e-15
NCTC10038_00275,b3401,1.85e-74
NCTC10038_00276,b3403,2.7599999999999996e-134
NCTC10038_00281,b3361,2.8299999999999996e-52
NCTC10038_00287,b1501,0.0
NCTC10038_00288,b3895,1.18e-56
NCTC10038_00290,b2665,2.48e-50
NCTC10038_00291,b3399,3.79e-53
NCTC10038_00292,b3397,3.88e-59
NCTC10038_00293,b4214,1.46e-62
NCTC10038_00298,b3788,0.0
NCTC10038_00334,b0556,1.97e-16
NCTC10038_00355,b0862,3.44e-59
NCTC10038_00356,b0860,3.5100000000000004e-59
NCTC10038_00358,b2663,0.0
NCTC10038_00365,b2962,3.49e-22
NCTC10038_00366,b2961,1.05e-125
NCTC10038_00371,b2022,2.4799999999999997e-54
NCTC10038_00372,b2023,3.7100000000000004e-36
NCTC10038_00374,b2024,5.21e-34
NCTC10038_00375,b2025,7.399999999999999e-69
NCTC10038_00378,b3614,4.65e-47
NCTC10038_00380,b3613,1.8199999999999997e-54
NCTC10038_00381,b3612,0.0
NCTC10038_00382,b3611,1.18e-22
NCTC10038_00383,b3610,5.08e-33
NCTC10038_00384,b3609,1.73e-59
NCTC10038_00385,b3606,6.25e-66
NCTC10038_00387,b3868,0.0
NCTC10038_00388,b3869,1.4600000000000001e-99
NCTC10038_00392,b3870,0.0
NCTC10038_00393,b0423,9.640000000000001e-173
NCTC10038_00395,b3871,0.0
NCTC10038_00397,b3428,0.0
NCTC10038_00400,b4232,1.59e-83
NCTC10038_00402,b4149,3e-28
NCTC10038_00405,b1742,2.06e-16
NCTC10038_00409,b2678,1.4500000000000002e-70
NCTC10038_00410,b2677,8.72e-111
NCTC10038_00413,b0402,0.0
NCTC10038_00417,b0476,4.24e-28
NCTC10038_00419,b3887,1.4599999999999998e-52
NCTC10038_00420,b1048,0.0
NCTC10038_00421,b1049,0.0
NCTC10038_00424,b0810,7.19e-44
NCTC10038_00429,b3839,7.9e-108
NCTC10038_00434,b3835,0.0
NCTC10038_00435,b3834,5.51e-16
NCTC10038_00436,b3833,2.75e-131
NCTC10038_00446,b3931,0.0
NCTC10038_00447,b3932,1.14e-91
NCTC10038_00449,b1876,0.0
NCTC10038_00450,b3935,0.0
NCTC10038_00451,b3936,3.6e-25
NCTC10038_00452,b2463,1.94e-165
NCTC10038_00453,b3396,0.0
NCTC10038_00457,b3391,5.29e-69
NCTC10038_00458,b3390,4.63e-53
NCTC10038_00459,b3389,3.55e-135
NCTC10038_00461,b3212,0.0
NCTC10038_00462,b3213,0.0
NCTC10038_00463,b3997,0.0
NCTC10038_00464,b1596,1.2399999999999999e-176
NCTC10038_00465,b1595,1.69e-95
NCTC10038_00489,b2582,4.929999999999999e-41
NCTC10038_00490,b1706,1.22e-161
NCTC10038_00491,b0465,0.0
NCTC10038_00492,b1191,0.0
NCTC10038_00497,b1014,0.0
NCTC10038_00498,b1015,0.0
NCTC10038_00502,b3499,7.61e-83
NCTC10038_00503,b4219,1.8900000000000002e-73
NCTC10038_00505,b0115,3.04e-165
NCTC10038_00506,b0114,0.0
NCTC10038_00507,b3053,0.0
NCTC10038_00508,b3620,9.83e-122
NCTC10038_00509,b3621,2.0300000000000002e-116
NCTC10038_00510,b3631,3.74e-141
NCTC10038_00511,b3630,6.59e-110
NCTC10038_00515,b1451,3.06e-153
NCTC10038_00526,b0914,2.64e-156
NCTC10038_00527,b3052,0.0
NCTC10038_00528,b0759,3.4599999999999998e-34
NCTC10038_00532,b0543,1.11e-26
NCTC10038_00534,b3633,2.83e-155
NCTC10038_00535,b3035,1.4199999999999999e-69
NCTC10038_00537,b3994,0.0
NCTC10038_00540,b3034,1.7899999999999997e-61
NCTC10038_00541,b3033,2.7999999999999998e-24
NCTC10038_00542,b3032,8.33e-67
NCTC10038_00543,b3031,5.06e-37
NCTC10038_00544,b3030,0.0
NCTC10038_00547,b3019,0.0
NCTC10038_00550,b4388,1.57e-63
NCTC10038_00551,b4160,1.73e-99
NCTC10038_00554,b1890,1.85e-74
NCTC10038_00555,b1889,4.1e-71
NCTC10038_00556,b4161,3.87e-102
NCTC10038_00557,b4162,7.87e-89
NCTC10038_00558,b3646,2.01e-75
NCTC10038_00559,b4166,5.8200000000000004e-157
NCTC10038_00560,b4167,1.02e-63
NCTC10038_00561,b4168,4.26e-57
NCTC10038_00563,b4170,4.11e-146
NCTC10038_00564,b4171,9.8e-137
NCTC10038_00565,b4172,1.86e-39
NCTC10038_00566,b4173,1.36e-174
NCTC10038_00567,b4174,1.26e-89
NCTC10038_00568,b4175,2.2600000000000002e-70
NCTC10038_00570,b4177,0.0
NCTC10038_00576,b4179,0.0
NCTC10038_00577,b4180,1.9e-97
NCTC10038_00579,b4200,6.45e-56
NCTC10038_00580,b4202,1.02e-40
NCTC10038_00582,b4203,1.1800000000000001e-59
NCTC10038_00583,b4052,0.0
NCTC10038_00584,b4469,0.0
NCTC10038_00592,b1740,1.03e-78
NCTC10038_00593,b0931,1.08e-142
NCTC10038_00602,b1539,2.27e-88
NCTC10038_00609,b3963,7.44e-32
NCTC10038_00611,b3524,0.0
NCTC10038_00618,b0384,2.9199999999999998e-24
NCTC10038_00620,b2069,1.6699999999999998e-54
NCTC10038_00621,b1000,1.91e-102
NCTC10038_00627,b1448,1.87e-74
NCTC10038_00655,b1242,5.2e-22
NCTC10038_00657,b4005,0.0
NCTC10038_00658,b4006,0.0
NCTC10038_00659,b3261,4.31e-29
NCTC10038_00660,b3260,8.340000000000001e-132
NCTC10038_00662,b3259,1.61e-100
NCTC10038_00663,b3256,0.0
NCTC10038_00664,b3255,2.12e-63
NCTC10038_00669,b2299,1.05e-24
NCTC10038_00670,b1282,6.13e-24
NCTC10038_00671,b2938,0.0
NCTC10038_00674,b4044,5.4400000000000005e-86
NCTC10038_00677,b0921,7.83e-59
NCTC10038_00702,b0487,1.7900000000000002e-33
NCTC10038_00705,b0484,2.96e-99
NCTC10038_00714,b1769,1.62e-44
NCTC10038_00715,b1623,1.2099999999999999e-40
NCTC10038_00716,b1216,6.65e-49
NCTC10038_00719,b3848,4.16e-26
NCTC10038_00720,b1013,1.0699999999999999e-55
NCTC10038_00721,b3654,2.2499999999999997e-138
