TU_id	replicon	genes	start	stop	tss	strand	rho_dependent	rnapol
TU8J2-872_from_BSU25200-MONOMER	NC_000964.3	BSU13650	1431027	1431458		+	True	BSU25200-MONOMER
TU8J2-487_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU31520,BSU31530	3237157	3239458		+	True	BSU25200-MONOMER
TU8J2-19_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU28190,BSU28200	2879882	2882790		-	True	BSU25200-MONOMER
TU8J2-1223_from_BSU25200-MONOMER	NC_000964.3	BSU10270	1100980	1102521		+	True	BSU25200-MONOMER
TU8J2-1037_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3	BSU06930,BSU06920,BSU06910,BSU06900,BSU06890	755907	757978		+	True	BSU25200-MONOMER
TU8J2-82_from_BSU25200-MONOMER	NC_000964.3	BSU23310	2432316	2432870		-	True	BSU25200-MONOMER
TU8J2-525_from_BSU25200-MONOMER	NC_000964.3	BSU30360	3108614	3109360		+	True	BSU25200-MONOMER
TU8J2-1559_from_BSU25200-MONOMER	NC_000964.3	BSU35040	3598040	3601909		-	True	BSU25200-MONOMER
TU8J2-1268_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU13130,BSU13120	1378496	1380852		+	True	BSU25200-MONOMER
TU8J2-472_from_BSU25200-MONOMER	NC_000964.3	BSU32010	3292490	3293359		-	True	BSU25200-MONOMER
TU8J2-858_from_BSU25200-MONOMER	NC_000964.3	BSU14040	1476518	1477012		-	True	BSU25200-MONOMER
TU8J2-1209_from_BSU25200-MONOMER	NC_000964.3	BSU00160	23868	25151		-	True	BSU25200-MONOMER
TU8J2-175_from_BSU25200-MONOMER	NC_000964.3	BSU02410	261656	262603		-	True	BSU25200-MONOMER
TU8J2-805_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU17610,BSU17600	1891908	1894895		+	True	BSU25200-MONOMER
TU8J2-1022_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3	BSU07490,BSU07500,BSU07510,BSU07520	822903	826734		-	True	BSU25200-MONOMER
TU8J2-1544_from_BSU25200-MONOMER	NC_000964.3	BSU33190	3404835	3405626		+	True	BSU25200-MONOMER
TU8J2-510_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU30890,BSU30900,BSU30910	3159258	3161894		-	True	BSU25200-MONOMER
TU8J2-458_from_BSU25200-MONOMER	NC_000964.3	BSU33040	3389024	3390412		-	True	BSU25200-MONOMER
TU8J2-1253_from_BSU25200-MONOMER	NC_000964.3	BSU13190	1386024	1386983		-	True	BSU25200-MONOMER
TU8J2-1195_from_BSU25200-MONOMER	NC_000964.3	BSU00490	55866	56159		+	True	BSU25200-MONOMER
TU8J2-843_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3	BSU14930,BSU14920,BSU14910,BSU14900,BSU14890,BSU14880	1559309	1565315		+	True	BSU25200-MONOMER
TU8J2-791_from_BSU25200-MONOMER	NC_000964.3	BSU18010	1929481	1929993		+	True	BSU25200-MONOMER
TU8J2-160_from_BSU25200-MONOMER	NC_000964.3	BSU10770	1153789	1156473		+	True	BSU25200-MONOMER
TU8J2-153_from_BSU25200-MONOMER	NC_000964.3	BSU17260	1861384	1862712		-	True	BSU25200-MONOMER
TU8J2-1008_from_BSU25200-MONOMER	NC_000964.3	BSU07910	863862	865037		-	True	BSU25200-MONOMER
TU8J2-443_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3	BSU34120,BSU34130,BSU34140,BSU34150,BSU34160	3501651	3508518		-	True	BSU25200-MONOMER
TU8J2-497_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU31330,BSU31340,BSU31350	3219837	3222083		-	True	BSU25200-MONOMER
TU8J2-1180_from_BSU25200-MONOMER	NC_000964.3	BSU01550	158515	159072		-	True	BSU25200-MONOMER
TU8J2-1239_from_BSU25200-MONOMER	NC_000964.3	BSU07700	840656	842014		+	True	BSU25200-MONOMER
TU8J2-776_from_BSU25200-MONOMER	NC_000964.3	BSU18720	2041928	2042839		-	True	BSU25200-MONOMER
TU8J2-829_from_BSU25200-MONOMER	NC_000964.3	BSU15960	1671166	1671651		-	True	BSU25200-MONOMER
TU8J2-1515_from_BSU25200-MONOMER	NC_000964.3	BSU30020	3072401	3072622		+	True	BSU25200-MONOMER
TU8J2-1569_from_BSU25200-MONOMER	NC_000964.3	BSU36980	3795491	3795853		+	True	BSU25200-MONOMER
TU8J2-429_from_BSU25200-MONOMER	NC_000964.3	BSU35360	3634987	3635901		-	True	BSU25200-MONOMER
TU8J2-482_from_BSU25200-MONOMER	NC_000964.3	BSU31690	3253529	3255838		-	True	BSU25200-MONOMER
TU8J2-761_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU19750,BSU19760,BSU19770	2146013	2148471		-	True	BSU25200-MONOMER
TU8J2-1219_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3	BSU15910,BSU15900,BSU15890,BSU15880	1661967	1665253		+	True	BSU25200-MONOMER
TU8J2-1500_from_BSU25200-MONOMER	NC_000964.3	BSU27090	2766558	2767946		+	True	BSU25200-MONOMER
TU8J2-815_from_BSU25200-MONOMER	NC_000964.3	BSU16980	1769935	1770195		+	True	BSU25200-MONOMER
TU8J2-996_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3	BSU08120,BSU08130,BSU08140,BSU08150,BSU08160,BSU08170	885844	889686		-	True	BSU25200-MONOMER
TU8J2-1554_from_BSU25200-MONOMER	NC_000964.3	BSU34190	3510780	3512471		+	True	BSU25200-MONOMER
TU8J2-414_from_BSU25200-MONOMER	NC_000964.3	BSU35840	3694239	3695207		+	True	BSU25200-MONOMER
TU8J2-468_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3	BSU32460,BSU32450,BSU32440,BSU32430,BSU32420	3328762	3334990		+	True	BSU25200-MONOMER
TU8J2-747_from_BSU25200-MONOMER	NC_000964.3	BSU21860	2300221	2300655		-	True	BSU25200-MONOMER
TU8J2-1204_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU00260,BSU00250	35845	37638		+	True	BSU25200-MONOMER
TU8J2-1487_from_BSU25200-MONOMER	NC_000964.3	BSU25550	2635815	2636081		+	True	BSU25200-MONOMER
TU8J2-800_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU17880,BSU17870,BSU17860	1918406	1919692		+	True	BSU25200-MONOMER
TU8J2-330_from_BSU25200-MONOMER	NC_000964.3	BSU37970	3897685	3898362		-	True	BSU25200-MONOMER
TU8J2-154_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU35290,BSU35300	3627139	3630835		-	True	BSU25200-MONOMER
TU8J2-40_from_BSU25200-MONOMER	NC_000964.3	BSU28500	2913024	2913338		-	True	BSU25200-MONOMER
TU8J2-453_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU33260,BSU33270,BSU33280	3412128	3415216		-	True	BSU25200-MONOMER
TU8J2-732_from_BSU25200-MONOMER	NC_000964.3	BSU22200	2332784	2333011		-	True	BSU25200-MONOMER
TU8J2-1190_from_BSU25200-MONOMER	NC_000964.3	BSU00640	70538	73021		+	True	BSU25200-MONOMER
TU8J2-1472_from_BSU25200-MONOMER	NC_000964.3	BSU23040	2409729	2409977		+	True	BSU25200-MONOMER
TU8J2-786_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU18350,BSU18360	1998340	2000826		-	True	BSU25200-MONOMER
TU8J2-315_from_BSU25200-MONOMER	NC_000964.3	BSU38370	3937135	3937515		+	True	BSU25200-MONOMER
TU8J2-1525_from_BSU25200-MONOMER	NC_000964.3	BSU31510	3236422	3236979		-	True	BSU25200-MONOMER
TU8J2-386_from_BSU25200-MONOMER	NC_000964.3	BSU36540	3759169	3759591		-	True	BSU25200-MONOMER
TU8J2-439_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU34470,BSU34460,BSU34450	3536012	3540727		+	True	BSU25200-MONOMER
TU8J2-718_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU23090,BSU23100	2413585	2415211		-	True	BSU25200-MONOMER
TU8J2-771_from_BSU25200-MONOMER	NC_000964.3	BSU19030	2076206	2078626		+	True	BSU25200-MONOMER
TU8J2-1458_from_BSU25200-MONOMER	NC_000964.3	BSU20000	2158439	2158684		+	True	BSU25200-MONOMER
TU8J2-1510_from_BSU25200-MONOMER	NC_000964.3	BSU29850	3054746	3055192		+	True	BSU25200-MONOMER
TU8J2-3037_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU04800,BSU04810,BSU04820	529505	531513		-	True	BSU25200-MONOMER
TU8J2-424_from_BSU25200-MONOMER	NC_000964.3	BSU35520	3647406	3648581		+	True	BSU25200-MONOMER
TU8J2-371_from_BSU25200-MONOMER	NC_000964.3	BSU36890	3788426	3789055		-	True	BSU25200-MONOMER
TU8J2-757_from_BSU25200-MONOMER	NC_000964.3	BSU19950	2156239	2156457		+	True	BSU25200-MONOMER
TU8J2-703_from_BSU25200-MONOMER	NC_000964.3	BSU23620	2459326	2460246		+	True	BSU25200-MONOMER
TU8J2-1497_from_BSU25200-MONOMER	NC_000964.3	BSU26880	2746608	2747711		+	True	BSU25200-MONOMER
TU8J2-1445_from_BSU25200-MONOMER	NC_000964.3	BSU19120	2084786	2085109		-	True	BSU25200-MONOMER
TU8J2-340_from_BSU25200-MONOMER	NC_000964.3	BSU37650	3864309	3865208		-	True	BSU25200-MONOMER
TU8J2-3020_from_BSU25200-MONOMER	NC_000964.3	BSU34800	3574363	3575784		-	True	BSU25200-MONOMER
TU8J2-41_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU36640,BSU36650,BSU36660	3766714	3769108		-	True	BSU25200-MONOMER
TU8J2-357_from_BSU25200-MONOMER	NC_000964.3	BSU37210	3818906	3819178		+	True	BSU25200-MONOMER
TU8J2-742_from_BSU25200-MONOMER	NC_000964.3	BSU21950	2308495	2308764		+	True	BSU25200-MONOMER
TU8J2-689_from_BSU25200-MONOMER	NC_000964.3	BSU23890	2483904	2484731		+	True	BSU25200-MONOMER
TU8J2-1482_from_BSU25200-MONOMER	NC_000964.3	BSU25080	2590282	2590671		-	True	BSU25200-MONOMER
TU8J2-1430_from_BSU25200-MONOMER	NC_000964.3	BSU17830	1916006	1916545		-	True	BSU25200-MONOMER
TU8J2-325_from_BSU25200-MONOMER	NC_000964.3	BSU38090	3907844	3910264		+	True	BSU25200-MONOMER
TU8J2-3005_from_BSU25200-MONOMER	NC_000964.3	BSU16490	1717933	1718673		+	True	BSU25200-MONOMER
TU8J2-396_from_BSU25200-MONOMER	NC_000964.3	BSU36340	3741732	3742040		-	True	BSU25200-MONOMER
TU8J2-674_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU24500,BSU24490	2541051	2542442		+	True	BSU25200-MONOMER
TU8J2-728_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU22540,BSU22550,BSU22560	2363111	2365092		-	True	BSU25200-MONOMER
TU8J2-1416_from_BSU25200-MONOMER	NC_000964.3	BSU14630	1534279	1535751		-	True	BSU25200-MONOMER
TU8J2-1468_from_BSU25200-MONOMER	NC_000964.3	BSU22250	2338017	2338394		-	True	BSU25200-MONOMER
TU8J2-2986_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3	BSU16920,BSU16910	1761707	1763204		+	True	BSU25200-MONOMER
TU8J2-310_from_BSU25200-MONOMER	NC_000964.3	BSU38460	3947158	3948399		+	True	BSU25200-MONOMER
TU8J2-1171_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3,NC_000964.3	BSU01980,BSU01970,BSU01960,BSU01950,BSU01935,BSU01920,BSU01910	213941	220032		+	True	BSU25200-MONOMER
TU8J2-381_from_BSU25200-MONOMER	NC_000964.3,NC_000964.3,NC_000964.3	BSU36640,BSU36650,BSU36660	3766714	3769108		-	True	BSU25200-MONOMER
