Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
PPTS312_35770-MONOMER	Periplasm	PPTS312_35770()	Periplasm	s
PPTS312_50630-MONOMER	Outer_Membrane	PPTS312_50630()	Outer_Membrane	sb
CPLX_MINCYCtpp-0	Outer_Membrane	PPTS312_50630()	Outer_Membrane	sb
CPLX_RFAMPtpp-0	Outer_Membrane	PPTS312_50630()	Outer_Membrane	sb
PPTS312_39130-MONOMER	Inner_Membrane	PPTS312_39130()	Inner_Membrane	r
PPTS312_42740-MONOMER	Inner_Membrane	PPTS312_42740()	Inner_Membrane	r
PPTS312_46120-MONOMER	Inner_Membrane	PPTS312_46120()	Inner_Membrane	r
PPTS312_27100-MONOMER	Periplasm	PPTS312_27100()	Periplasm	s
PPTS312_23700-MONOMER	Inner_Membrane	PPTS312_23700()	Inner_Membrane	r
PPTS312_18140-MONOMER	Inner_Membrane	PPTS312_18140()	Inner_Membrane	r
PPTS312_20500-MONOMER	Periplasm	PPTS312_20500()	Periplasm	s
PPTS312_04210-MONOMER	Inner_Membrane	PPTS312_04210()	Inner_Membrane	r
PPTS312_41030-MONOMER	Inner_Membrane	PPTS312_41030()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	PPTS312_41030()	Inner_Membrane	r
PPTS312_41040-MONOMER	Inner_Membrane	PPTS312_41040()	Periplasm	s
CPLX_ARGabcpp-0	Inner_Membrane	PPTS312_41040()	Periplasm	s
PPTS312_41020-MONOMER	Inner_Membrane	PPTS312_41020()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	PPTS312_41020()	Inner_Membrane	r
PPTS312_21330-MONOMER	Inner_Membrane	PPTS312_21330()	Inner_Membrane	r
PPTS312_13330-MONOMER	Inner_Membrane	PPTS312_13330()	Inner_Membrane	r
PPTS312_13310-MONOMER	Inner_Membrane	PPTS312_13310()	Inner_Membrane	p
PPTS312_13320-MONOMER	Inner_Membrane	PPTS312_13320()	Inner_Membrane	r
PPTS312_13300-MONOMER	Inner_Membrane	PPTS312_13300()	Inner_Membrane	p
PPTS312_20820-MONOMER	Periplasm	PPTS312_20820()	Periplasm	s
PPTS312_01150-MONOMER	Inner_Membrane	PPTS312_01150()	Inner_Membrane	r
PPTS312_02770-MONOMER	Inner_Membrane	PPTS312_02770()	Periplasm	s
CPLX_CRO4abcpp-0	Inner_Membrane	PPTS312_02770()	Periplasm	s
PPTS312_02750-MONOMER	Inner_Membrane	PPTS312_02750()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	PPTS312_02750()	Inner_Membrane	r
CPLX_CRO4abcpp-1	Inner_Membrane	PPTS312_02750()	Inner_Membrane	r
PPTS312_02760-MONOMER	Inner_Membrane	PPTS312_02760()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	PPTS312_02760()	Inner_Membrane	r
CPLX_CRO4abcpp-1	Inner_Membrane	PPTS312_02760()	Inner_Membrane	r
PPTS312_43850-MONOMER	Inner_Membrane	PPTS312_43850()	Inner_Membrane	r
PPTS312_43040-MONOMER	Inner_Membrane	PPTS312_43040()	Inner_Membrane	r
PPTS312_15620-MONOMER	Inner_Membrane	PPTS312_15620()	Inner_Membrane	p
PPTS312_15630-MONOMER	Inner_Membrane	PPTS312_15630()	Inner_Membrane	p
PPTS312_15650-MONOMER	Inner_Membrane	PPTS312_15650()	Periplasm	s
PPTS312_21650-MONOMER	Periplasm	PPTS312_21650()	Periplasm	s
PPTS312_16320-MONOMER	Inner_Membrane	PPTS312_16320()	Inner_Membrane	r
PPTS312_38670-MONOMER	Inner_Membrane	PPTS312_38670()	Inner_Membrane	r
PPTS312_10640-MONOMER	Inner_Membrane	PPTS312_10640()	Inner_Membrane	s
PPTS312_10950-MONOMER	Inner_Membrane	PPTS312_10950()	Inner_Membrane	r
CPLX_MPTG-0	Inner_Membrane	PPTS312_10950()	Inner_Membrane	r
CPLX_MPTG-1	Inner_Membrane	PPTS312_10950()	Inner_Membrane	r
CPLX_MPTG-2	Inner_Membrane	PPTS312_10950()	Inner_Membrane	r
PPTS312_27930-MONOMER	Inner_Membrane	PPTS312_27930()	Inner_Membrane	r
PPTS312_33910-MONOMER	Inner_Membrane	PPTS312_33910()	Inner_Membrane	r
PPTS312_03530-MONOMER	Inner_Membrane	PPTS312_03530()	Inner_Membrane	r
PPTS312_02390-MONOMER	Inner_Membrane	PPTS312_02390()	Inner_Membrane	r
PPTS312_04110-MONOMER	Outer_Membrane	PPTS312_04110()	Inner_Membrane	s
PPTS312_22040-MONOMER	Outer_Membrane	PPTS312_22040()	Outer_Membrane	sb
PPTS312_04100-MONOMER	Outer_Membrane	PPTS312_04100()	Inner_Membrane	p
PPTS312_38760-MONOMER	Inner_Membrane	PPTS312_38760()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	PPTS312_38760()	Inner_Membrane	r
PPTS312_38750-MONOMER	Inner_Membrane	PPTS312_38750()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	PPTS312_38750()	Inner_Membrane	r
PPTS312_17270-MONOMER	Inner_Membrane	PPTS312_17270()	Inner_Membrane	r
PPTS312_38070-MONOMER	Inner_Membrane	PPTS312_38070()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	PPTS312_38070()	Inner_Membrane	p
PPTS312_38180-MONOMER	Inner_Membrane	PPTS312_38180()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PPTS312_38180()	Inner_Membrane	r
PPTS312_38150-MONOMER	Inner_Membrane	PPTS312_38150()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PPTS312_38150()	Inner_Membrane	r
PPTS312_38160-MONOMER	Inner_Membrane	PPTS312_38160()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	PPTS312_38160()	Inner_Membrane	p
PPTS312_38170-MONOMER	Inner_Membrane	PPTS312_38170()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PPTS312_38170()	Inner_Membrane	r
PPTS312_38130-MONOMER	Inner_Membrane	PPTS312_38130()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PPTS312_38130()	Inner_Membrane	r
PPTS312_38190-MONOMER	Inner_Membrane	PPTS312_38190()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	PPTS312_38190()	Inner_Membrane	r
PPTS312_16700-MONOMER	Inner_Membrane	PPTS312_16700()	Inner_Membrane	r
PPTS312_17170-MONOMER	Outer_Membrane	PPTS312_17170()	Outer_Membrane	sb
PPTS312_18550-MONOMER	Inner_Membrane	PPTS312_18550()	Inner_Membrane	r
PPTS312_27950-MONOMER	Inner_Membrane	PPTS312_27950()	Inner_Membrane	r
PPTS312_10790-MONOMER	Inner_Membrane	PPTS312_10790()	Inner_Membrane	r
PPTS312_45250-MONOMER	Outer_Membrane	PPTS312_45250()	Inner_Membrane	pa
CPLX_CMtpp-0	Outer_Membrane	PPTS312_45250()	Inner_Membrane	pa
CPLX_MINCYCtpp-0	Outer_Membrane	PPTS312_45250()	Inner_Membrane	pa
CPLX_RFAMPtpp-0	Outer_Membrane	PPTS312_45250()	Inner_Membrane	pa
PPTS312_34420-MONOMER	Inner_Membrane	PPTS312_34420()	Inner_Membrane	r
PPTS312_14100-MONOMER	Inner_Membrane	PPTS312_14100()	Inner_Membrane	r
PPTS312_41250-MONOMER	Inner_Membrane	PPTS312_41250()	Inner_Membrane	r
CPLX_Kt2pp-0	Inner_Membrane	PPTS312_41250()	Inner_Membrane	r
PPTS312_17720-MONOMER	Inner_Membrane	PPTS312_17720()	Inner_Membrane	r
PPTS312_45350-MONOMER	Inner_Membrane	PPTS312_45350()	Inner_Membrane	r
PPTS312_13340-MONOMER	Inner_Membrane	PPTS312_13340()	Inner_Membrane	r
PPTS312_15120-MONOMER	Periplasm	PPTS312_15120()	Periplasm	s
PPTS312_47410-MONOMER	Inner_Membrane	PPTS312_47410()	Inner_Membrane	r
PPTS312_47400-MONOMER	Inner_Membrane	PPTS312_47400()	Inner_Membrane	r
CPLX_CIO3pp_q8-0	Inner_Membrane	PPTS312_47400()	Inner_Membrane	r
PPTS312_47390-MONOMER	Inner_Membrane	PPTS312_47390()	Inner_Membrane	r
CPLX_CIO3pp_q8-0	Inner_Membrane	PPTS312_47390()	Inner_Membrane	r
PPTS312_36120-MONOMER	Inner_Membrane	PPTS312_36120()	Inner_Membrane	r
PPTS312_06680-MONOMER	Inner_Membrane	PPTS312_06680()	Inner_Membrane	r
PPTS312_06050-MONOMER	Inner_Membrane	PPTS312_06050()	Inner_Membrane	r
PPTS312_10100-MONOMER	Inner_Membrane	PPTS312_10100()	Inner_Membrane	r
PPTS312_18600-MONOMER	Inner_Membrane	PPTS312_18600()	Inner_Membrane	r
PPTS312_45070-MONOMER	Periplasm	PPTS312_45070()	Periplasm	s
PPTS312_47600-MONOMER	Inner_Membrane	PPTS312_47600()	Inner_Membrane	r
PPTS312_35760-MONOMER	Inner_Membrane	PPTS312_35760()	Periplasm	s
CPLX_RIBabcpp-0	Inner_Membrane	PPTS312_35760()	Periplasm	s
PPTS312_35740-MONOMER	Inner_Membrane	PPTS312_35740()	Inner_Membrane	r
CPLX_RIBabcpp-0	Inner_Membrane	PPTS312_35740()	Inner_Membrane	r
PPTS312_09820-MONOMER	Inner_Membrane	PPTS312_09820()	Inner_Membrane	r
CPLX_FDHr-0	Inner_Membrane	PPTS312_09820()	Inner_Membrane	r
CPLX_FDH4pp-0	Inner_Membrane	PPTS312_09820()	Inner_Membrane	r
PPTS312_09810-MONOMER	Inner_Membrane	PPTS312_09810()	Inner_Membrane	t
CPLX_FDHr-0	Inner_Membrane	PPTS312_09810()	Inner_Membrane	t
CPLX_FDH4pp-0	Inner_Membrane	PPTS312_09810()	Inner_Membrane	t
PPTS312_09800-MONOMER	Inner_Membrane	PPTS312_09800()	Periplasm	t
CPLX_FDHr-0	Inner_Membrane	PPTS312_09800()	Periplasm	t
CPLX_FDH4pp-0	Inner_Membrane	PPTS312_09800()	Periplasm	t
PPTS312_05000-MONOMER	Inner_Membrane	PPTS312_05000()	Inner_Membrane	r
CPLX_ATPS4rpp-0	Inner_Membrane	PPTS312_05000()	Inner_Membrane	r
PPTS312_04950-MONOMER	Inner_Membrane	PPTS312_04950()	Inner_Membrane	y
CPLX_ATPS4rpp-0	Inner_Membrane	PPTS312_04950()	Inner_Membrane	y
