,query,evalue
PPTS312_00590,b3085,7.000000000000001e-73
PPTS312_00650,b2927,6.779999999999999e-128
PPTS312_00660,b2935,0.0
PPTS312_00680,b2942,0.0
PPTS312_00690,b3647,7.17e-136
PPTS312_00700,b3097,1.56e-17
PPTS312_00720,b2813,2.4600000000000002e-36
PPTS312_00780,b3941,4.9300000000000006e-73
PPTS312_00810,b0797,4.78e-159
PPTS312_00820,b1056,1.72e-76
PPTS312_00830,b1057,1.0299999999999999e-69
PPTS312_00860,b0774,1.61e-100
PPTS312_00870,b2946,7.539999999999999e-67
PPTS312_00880,b2899,5.7e-44
PPTS312_00950,b2947,1.76e-150
PPTS312_00970,b2948,2.0600000000000002e-47
PPTS312_00980,b2949,1.43e-47
PPTS312_01000,b4245,1.57e-42
PPTS312_01020,b3932,7.53e-96
PPTS312_01030,b3931,0.0
PPTS312_01130,b3833,9.97e-133
PPTS312_01150,b3835,0.0
PPTS312_01160,b2026,5.860000000000001e-21
PPTS312_01200,b3839,2.09e-106
PPTS312_01220,b1421,3e-44
PPTS312_01230,b4355,5.839999999999999e-45
PPTS312_01250,b0810,1.2e-49
PPTS312_01270,b1049,0.0
PPTS312_01280,b1048,0.0
PPTS312_01290,b3887,1.8799999999999997e-54
PPTS312_01330,b0402,0.0
PPTS312_01360,b1742,6.73e-14
PPTS312_01420,b4232,2.14e-87
PPTS312_01430,b3428,0.0
PPTS312_01450,b3871,0.0
PPTS312_01460,b0423,1.32e-175
PPTS312_01470,b3870,0.0
PPTS312_01480,b3869,2.22e-102
PPTS312_01490,b3868,0.0
PPTS312_01510,b3606,1.6599999999999999e-69
PPTS312_01520,b3609,7.54e-57
PPTS312_01530,b3610,7.210000000000001e-32
PPTS312_01540,b3611,8.04e-25
PPTS312_01550,b3612,0.0
PPTS312_01560,b3613,1.53e-48
PPTS312_01580,b3614,1.96e-45
PPTS312_01600,b0313,2.0600000000000003e-73
PPTS312_01610,b0312,0.0
PPTS312_01620,b0311,0.0
PPTS312_01650,b1191,0.0
PPTS312_01660,b0465,0.0
PPTS312_01670,b1706,4.5e-153
PPTS312_01680,b2582,4.19e-42
PPTS312_01700,b1595,1.1699999999999999e-94
PPTS312_01710,b1596,4.9599999999999995e-172
PPTS312_01720,b3024,1.18e-15
PPTS312_01730,b3997,0.0
PPTS312_01740,b3213,0.0
PPTS312_01750,b3212,0.0
PPTS312_01770,b3389,2.9399999999999997e-135
PPTS312_01780,b3390,1.0600000000000001e-43
PPTS312_01790,b3391,2.93e-78
PPTS312_01830,b3396,0.0
PPTS312_01840,b2463,1.0500000000000001e-164
PPTS312_01860,b3936,2.9100000000000004e-26
PPTS312_01870,b3935,0.0
PPTS312_01880,b1876,0.0
PPTS312_01910,b0227,7.75e-41
PPTS312_01920,b2950,5.05e-84
PPTS312_01930,b2951,3.0599999999999998e-83
PPTS312_01940,b0386,2e-43
PPTS312_01950,b2952,3.3300000000000003e-31
PPTS312_01990,b2954,2.95e-65
PPTS312_02000,b2955,1.1999999999999999e-150
PPTS312_02020,b2960,4.96e-102
PPTS312_02030,b3991,8.94e-62
PPTS312_02050,b2807,9.68e-22
PPTS312_02060,b3208,3.13e-72
PPTS312_02070,b3461,8.97e-125
PPTS312_02080,b3462,1.0799999999999999e-54
PPTS312_02090,b3463,1.2700000000000001e-85
PPTS312_02100,b3464,9.480000000000001e-144
PPTS312_02130,b3465,4.78e-58
PPTS312_02140,b1494,7.75e-19
PPTS312_02160,b3353,3.97e-80
PPTS312_02170,b2521,5e-33
PPTS312_02220,b3634,5.129999999999999e-68
PPTS312_02230,b2562,5.7899999999999995e-30
PPTS312_02240,b3635,7.99e-109
PPTS312_02260,b0967,1.85e-66
PPTS312_02280,b3771,0.0
PPTS312_02310,b1729,0.0
PPTS312_02320,b0048,3.54e-40
PPTS312_02390,b3469,3.32e-133
PPTS312_02400,b3292,1.21e-26
PPTS312_02420,b2827,2.7399999999999998e-62
PPTS312_02430,b2828,2.88e-93
PPTS312_02460,b2829,0.0
PPTS312_02470,b2830,2.57e-78
PPTS312_02510,b2914,3.65e-96
PPTS312_02520,b4333,7.169999999999999e-48
PPTS312_02540,b1180,6.21e-72
PPTS312_02560,b2913,0.0
PPTS312_02660,b0459,4.7899999999999997e-67
PPTS312_02680,b3661,9.7e-60
PPTS312_02740,b2422,6.86e-116
PPTS312_02750,b2423,2.31e-98
PPTS312_02760,b2424,1.1700000000000001e-79
PPTS312_02770,b3917,2.1799999999999998e-141
PPTS312_02820,b0857,6.75e-107
PPTS312_02830,b0856,9.42e-123
PPTS312_02840,b0855,1.06e-158
PPTS312_02900,b1297,2.25e-136
PPTS312_02910,b2818,7.96e-161
PPTS312_02920,b3957,3.45e-128
PPTS312_02930,b3054,5.6699999999999996e-30
PPTS312_02980,b2903,0.0
PPTS312_02990,b2904,6.64e-55
PPTS312_03000,b2905,1.1600000000000001e-144
PPTS312_03030,b2906,1.36e-100
PPTS312_03050,b2907,3.61e-84
PPTS312_03060,b2908,2.44e-137
PPTS312_03070,b2909,1.06e-15
PPTS312_03100,b2912,5.27e-40
PPTS312_03130,b3487,3.2599999999999997e-74
